English	Croatian
Bangkok	Bangkok
Bangladesh	Bangladeš
Bangladesh	Kategorija:Bangladeš
Bangui	Bangui
Banjul	Banjul
Bank	Banka
Baptism	Krštenje
Baptist	Baptisti
Bar (unit)	Bar (jedinica)
Barbados	Barbados
Barbados	Kategorija:Barbados
Barbarian	Barbari
Barcelona	Barcelona
Barents Sea	Barentsovo more
Bari	Bari
Barium	Barij
Barley	Ječam
Barn Swallow	Lastavica pokućarka
Barometer	Barometar
Baroque	Barok
Barrel (unit)	Barel
Baryon	Barion
Basalt	Bazalt
Base (chemistry)	Baza (kemija)
Baseball	Bejzbol
Baseball	Kategorija:Bejzbol
Basel	Basel
Bash	Bash
Basil	Bosiljak
Basil of Caesarea	Bazilije Veliki
Basilica	Bazilika
Basilicata	Basilicata
Basiliscus	Bazilisk, bizantski car
Basilisk	Bazilisk (mitologija)
Basketball	Košarka
Basketball	Kategorija:Košarka
Bass guitar	Bas gitara
Basse-Normandie	Donja Normandija
Basseterre	Basseterre
Bassoon	Fagot
Bast (mythology)	Bast
Bat	Šišmiši
Batman	Batman
Bats	Kategorija:Šišmiši
Battalion	Bojna
Battery (electricity)	Baterija
Battle of Britain	Bitka za Britaniju
Battle of Hastings	Bitka kod Hastingsa
Battle of Lepanto (1571)	Bitka kod Lepanta
Battle of Marathon	Bitka kod Maratona
Battle of Midway	Pomorska bitka kod Midwaya
Battle of Thermopylae	Bitka kod Termopila
Battle of Trafalgar	Bitka kod Trafalgara
Battle of Verdun	Bitka za Verdun
Battle of Waterloo	Bitka kod Waterlooa
Battle of the Bulge	Bitka u Ardenima 1944.
Battle of the Somme	Bitka na Sommi (1916.)
Battleship	Bojni brod
Bauhaus	Bauhaus
Bauxite	Boksit
Bavaria	Bavarska
Bavaria	Kategorija:Bavarska
Bay Laurel	Lovor
Bay of Bengal	Bengalski zaljev
Bayonet	Bajoneta
Beach	Plaža
Beak	Kljun
Bear	Medvjedi
Beaufort scale	Beaufortova ljestvica
Beaver	Dabrovi
Bebop	Be-bop
Bee	Pčele
Beekeeping	Kategorija:Pčelarstvo
Beer	Pivo
Beer	Kategorija:Pivo
Behaviorism	Biheviorizam
Beijing	Peking
Beirut	Beirut
Belarus	Bjelorusija
Belarus	Kategorija:Bjelorusija
Belfast	Belfast
Belgium	Belgija
Belgium	Kategorija:Belgija
Belgrade	Beograd
Belisarius	Belizar
Belize	Belize
Belize	Kategorija:Belize
Belly dance	Trbušni ples
Belo Horizonte	Belo Horizonte
Beluga	Beluga
Benelux	Benelux
Benin	Benin
Benin	Kategorija:Benin
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bering Sea	Beringovo more
Bering Strait	Beringov prolaz
Berkelium	Berkelij
Berlin	Berlin
Berlin	Kategorija:Berlin
Bermuda	Bermudi
Bermuda Triangle	Bermudski trokut
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Bern
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl	Beril
Beryllium	Berilij
Beta (letter)	Beta (β)
Bethlehem	Betlehem
Bette Davis	Bette Davis
Bey	Beg
Bhutan	Kraljevina Butan
Bhutan	Kategorija:Butan
Bible	Biblija
Bible	Kategorija:Biblija
Bibliography	Bibliografija
Bicycle	Bicikl
Big Bang	Veliki prasak
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Biochemistry	Biokemija
Biochemistry	Kategorija:Biokemija
Biogeography	Biogeografija
Biography	Životopis
Biography	Portal:Biografije
Biology	Biologija
Biology	Kategorija:Biologija
Biology	Portal:Biologija
Biotechnology	Biotehnologija
Biotin	Biotin
Bipolar disorder	Bipolarni afektivni poremećaj
Bird	Ptice
Birmingham	Birmingham, Alabama
