Frisian	English
Kategory:Twadde Wrâldkriich	World War II
Wyoming	Wyoming
Ksylofoan	Xylophone
Jier	Year
Jemen	Yemen
Jerevan	Yerevan
Jom Kipoer	Yom Kippur
Sambia	Zambia
Sansibar	Zanzibar
Saragossa (stêd)	Zaragoza
Zenboedisme	Zen
Zeno	Zeno (emperor)
Simbabwe	Zimbabwe
Soölogy	Zoology
Zoroastrisme	Zoroastrianism
