English	Serbian
Beryllium	Берилијум
Betelgeuse	Бетелгез
Bette Davis	Бети Дејвис
Bey	Бег
Bhutan	Бутан
Bhutan	Категорија:Бутан
Bible	Библија
Bible	Категорија:Библија
Bibliography	Библиографија
Bicycle	Бицикл
Big Bang	Велики прасак
Bihar	Бихар
Bikini	Бикини
Bile	Жуч
Bill Clinton	Бил Клинтон
Bill Gates	Бил Гејтс
Billy Wilder	Били Вајлдер
Binary star	Dvojne i višestruke zvezde
Biochemistry	Биохемија
Biochemistry	Категорија:Биохемија
Biodiversity	Биолошка разноврсност
Biogeography	Биогеографија
Biography	Биографија
Biography	Портал:Биографија
Biological warfare	Биолошко ратовање
Biology	Биологија
Biology	Категорија:Биологија
Biology	Портал:Биологија
Biometrics	Биометрија
Biophysics	Биофизика
Biopsy	Биопсија
Biosphere	Биосфера
Biotechnology	Биотехнологија
Biotin	Витамин Х
Bipolar disorder	Манично-депресивна психоза
Birch	Бреза
Bird	Птице
Birmingham	Бермингам (Алабама)
Birth control	Контрола рађања
Bisexuality	Бисексуалност
Bishkek	Бишкек
Bishop	Епископ
Bishop (chess)	Ловац (шах)
Bismuth	Бизмут
Bissau	Бисао
Bit	Бит (рачунарство)
Bivalvia	Шкољке
Black	Црно
Black Death	Црна смрт
Black Forest	Шварцвалд
Black Sea	Црно море
Black Stork	Црна рода
Black hole	Црна рупа
Black pepper	Бибер
Blaise Pascal	Блез Паскал
Blitzkrieg	Блицкриг
Blog	Блог
Blood	Крв
Blood plasma	Крвна плазма
Blood pressure	Крвни притисак
Blood type	Крвне групе
Blood vessel	Крвни судови
Blue	Плава боја
Blue Whale	Плави кит
Blues	Bluz
Boar	Divlja svinja
Board game	Игре на табли
Boat	Чамац
Bob Dylan	Боб Дилан
Bob Marley	Боб Марли
Bobby Fischer	Роберт Фишер
Bobsleigh	Боб
Bodhisattva	Бодисатва
Body mass index	Индекс телесне масе
Bohemia	Чешка (Бохемија)
Bohrium	Боријум
Boiling point	Тачка кључања
Bolivia	Боливија
Bolivia	Категорија:Боливија
Bologna	Болоња
Bolzano	Болцано
Bond (finance)	Обвезница
Bone	Кост
Bone marrow	Коштана срж
Bonn	Бон
Bonsai	Бонсаи
Book	Књига
Book of Numbers	Четврта књига Мојсијева
Boolean algebra (structure)	Булова алгебра
Bordeaux	Бордо
Boris Godunov	Борис Годунов
Boris Pasternak	Борис Пастернак
Boris Spassky	Борис Спаски
Borneo	Борнео
Boron	Бор (хемијски елемент)
Bosnia and Herzegovina	Босна и Херцеговина
Bosnia and Herzegovina	Категорија:Босна и Херцеговина
Boson	Бозони
Bosporus	Босфор
Boston	Бостон
Boston Tea Party	Бостонска чајанка
Botanical garden	Ботаничка башта
Botany	Ботаника
