Greek	English
Μπενελούξ	Benelux
Βεγγάζη	Benghazi
Μπενίν	Benin
Κατηγορία:Μπενίν	Benin
Μπενίτο Μουσολίνι	Benito Mussolini
Βενιαμίν Φραγκλίνος	Benjamin Franklin
Μπέογουλφ (έπος)	Beowulf
Βερίγγειος Πορθμός	Bering Strait
Μπερκέλιο	Berkelium
Μπέρκσαϊρ	Berkshire
Βερολίνο	Berlin
Κατηγορία:Βερολίνο	Berlin
Βερμούδες	Bermuda
Κατηγορία:Βερμούδες	Bermuda
Βέρνη	Berne
Μπέρναρντ Ρίμαν	Bernhard Riemann
Μούρο	Berry
Μπέρτολτ Μπρεχτ	Bertolt Brecht
Μπέρτραντ Ράσελ	Bertrand Russell
Βηρύλλιο	Beryllium
Βήτα	Beta (letter)
Διάσπαση βήτα	Beta decay
Βηθλεέμ	Bethlehem
Μπέτι Ντέιβις	Bette Davis
Μπέης	Bey
Μπουτάν	Bhutan
Αγία Γραφή	Bible
Κατηγορία:Βίβλος	Bible
Ποδήλατο	Bicycle
Μεγάλη έκρηξη	Big Bang
Χολή	Bile
Μπιλ Κλίντον	Bill Clinton
Μπιλ Γκέιτς	Bill Gates
Βιοχημεία	Biochemistry
Κατηγορία:Βιοχημεία	Biochemistry
Βιοποικιλότητα	Biodiversity
Βιογεωγραφία	Biogeography
Βιολογία	Biology
Κατηγορία:Βιολογία	Biology
Βιομάζα	Biomass
Βιοφυσική	Biophysics
Βιόσφαιρα	Biosphere
Βιοτεχνολογία	Biotechnology
Διπολική διαταραχή	Bipolar disorder
Σημύδα	Birch
Αμφιφυλοφιλία	Bisexuality
Επίσκοπος	Bishop
Αξιωματικός (σκάκι)	Bishop (chess)
Βισμούθιο	Bismuth
Μπισσάου	Bissau
Bit	Bit
Βιθυνία	Bithynia
Μαύρο	Black
Μαύρη Πανώλη	Black Death
Μέλανας Δρυμός	Black Forest
Μαύρη Θάλασσα	Black Sea
Μαυροπελαργός	Black Stork
Μέλαν σώμα	Black body
Μαύρη τρύπα	Black hole
Μπλουμφοντέιν	Bloemfontein
Ιστολόγιο	Blog
Αίμα	Blood
Μπλε	Blue
Μπλουζ	Blues
Αγριόχοιρος	Boar
Επιτραπέζιο	Board game
Λέμβος	Boat
Μπομπ Ντίλαν	Bob Dylan
Μπόμπι Φίσερ	Bobby Fischer
Σωματοδόμηση	Bodybuilding
Βοημία	Bohemia
Μπόριο	Bohrium
Βολιβία	Bolivia
Κατηγορία:Βολιβία	Bolivia
Μπολόνια	Bologna
Μπολτζάνο	Bolzano
Βόμβα	Bomb
Ομόλογο	Bond (finance)
Οστό	Bone
Βόννη	Bonn
Βιβλίο	Book
Το Βιβλίο του Μόρμον	Book of Mormon
Αποκάλυψη του Ιωάννη	Book of Revelation
Μπορντό	Bordeaux
Μπαρίς Γκοντουνόβ	Boris Godunov
Μπορίς Παστερνάκ	Boris Pasternak
Μπόρις Σπάσκυ	Boris Spassky
Βόριο	Boron
Βοσνία και Ερζεγοβίνη	Bosnia and Herzegovina
Κατηγορία:Βοσνία και Ερζεγοβίνη	Bosnia and Herzegovina
Μποζόνιο	Boson
Βόσπορος	Bosporus
Βοστώνη	Boston
Βοτανικός Κήπος	Botanical garden
Βοτανική	Botany
Κατηγορία:Βοτανική	Botany
Μποτσουάνα	Botswana
Κατηγορία:Μποτσουάνα	Botswana
Φιάλη (δοχείο)	Bottle
Βουργουνδία	Bourgogne
Μπουβέ	Bouvet Island
Τόξο (όπλο)	Bow (weapon)
Μπόουλινγκ	Bowling
Κατηγορία:Πυγμάχοι	Boxers
Πυγμαχία	Boxing
Νόμος του Μπόιλ	Boyle's law
Μπράγκα	Braga
Σύστημα Μπράιγ	Braille
εγκέφαλος	Brain
Μπραμ Στόκερ	Bram Stoker
Βραδεμβούργο	Brandenburg
Ορείχαλκος	Brass
Μπρατισλάβα	Bratislava
Βραζιλία	Brazil
Κατηγορία:Βραζιλία	Brazil
Ψωμί	Bread
Βρέμη	Bremen
Βρέστη	Brest
Τούβλο	Brick
Γέφυρα	Bridge
Κατηγορία:Γέφυρες	Bridges
Μπριτζτάουν	Bridgetown
Μπρίντιζι	Brindisi
Βρετανική Κολομβία	British Columbia
Βρετανικά Νησιά	British Isles
Βρετανικές Παρθένοι Νήσοι	British Virgin Islands
Κατηγορία:Βρετανοί	British people
Μπρνο	Brno
