English	Urdu
Expected value	متوقع قدر
Eye	آنکھ
Ezra Pound	ازرا پاونڈ
Factorial	عاملیہ
Fahrenheit	فارنہائٹ
Fairy	پریاں
Fax	نسخۂ کامل
February	فروری
Federal Bureau of Investigation	ایف بی آئی
Fermion	فیرمیون
Feudalism	جاگیر دارانہ نظام
Finland	فن لینڈ
Floppy disk	قرصیچہ
Florida	فلوریڈا
Fluid	سیال
Foot	فٹ
Force	قوت
Fractal	Fractal
France	فرانس
France	زمرہ:فرانس
Francis Bacon	فرانسس بیکن
Francis Crick	فرانسس کرک
Francis Drake	فرانسس ڈریک
Francis Ford Coppola	فرانسس فورڈ کپولا
Franco-Prussian War	فرانسیسی جرمن جنگ 1870-71
Frederick I	فریڈرک باربروسا
French Revolution	انقلاب فرانس
French people	زمرہ:فرانسیسی شخصیات
Frequency	تعدد
Friday	جمعہ
Friedrich Engels	فریڈرک اینگلز
Friuli-Venezia Giulia	فریولی وینیزیا جولیا
Fuel cell	ایندھنی خلیہ
Fundamental	زمرہ:زمرہ القاعدہ
Fundamental interaction	بنیادی تفاعل
Fundamentalism	بنیاد پرستی
Fyodor Dostoevsky	فیدرو دوستوفسکی
Gaborone	گبرون
Gabriel	جبرائیل
Galaxy	کہکشاں
Galen	جالینوس
Gamal Abdel Nasser	جمال عبدالناصر
Ganesha	گنیش
Ganges	دریائے گنگا
Garlic	لہسن
Gautama Buddha	گوتم بدھ
Gemstone	جواہرات
Gene	وراثہ
General Officer	منصبِ جامع
Genetics	وراثیات
Geneva	جنیوا
Genie	جن
Genus	جنس
Geoffrey Chaucer	چاسر
Geography	جغرافيہ
Geography	زمرہ:جغرافیہ
Geography	باب:جغرافیہ
Geology	ارضیات
Geometry	ہندسہ
Geopolitics	جیو پالیٹکس
George Orwell	جارج اورول
George W. Bush	جارج ڈبلیو بش
Georgia (U.S. state)	ریاست جارجیا
Georgia (country)	جارجیا
Gerald Ford	جیرالڈ فورڈ
German language	جرمن زبان
Germanium	جرمانیئم
Germany	جرمنی
Germany	زمرہ:جرمنی
Ghana	گھانا
Giordano Bruno	گیوردانو برونو
Giovanni Boccaccio	بوکاچیو
Giuseppe Garibaldi	گیریبالڈی
Glass	شیشہ
Gold	سونا
Golf	گولف
Google	گوگل
Gospel	انجیل
Gram	گرام
Granada	غرناطہ
Graphical user interface	مخطط صارفی سطح البین
Gravitation	کششِ ثقل
Great Wall of China	دیوار چین
Greatest common divisor	عاد اعظم
Greece	یونان
Greece	زمرہ:یونان
Green	سبز
Greenwich Mean Time	مرکزی یورپی وقت
Gross domestic product	خام ملکی پیداوار
Group (periodic table)	گروہ (دوری جدول)
Guglielmo Marconi	مارکونی
Guinea	جمہوریہ گنی
Guinea-Bissau	گنی بساؤ
Gujarat	بھارتی گجرات
Gulf of Aden	خلیج عدن
Gulf of Oman	خلیج عمان
HTML	وراۓمتن زبان تدوین
Hadron	ثقیلہ
Haemophilia	انس الدم
Hagia Sophia	ایاصوفیہ
Haiti	ہیٹی
Hajj	حج
Hallucination	خطاۓ حس
Hamas	حماس
Hammurabi	حمورابی
Hans Christian Andersen	کرسچن اینڈرسن
Hawaii	ہوائی
Health	صحت
Heart	قلب
Hemoglobin	حمریچہ
Hemorrhoid	بواسیر
Henri Bergson	ہنری برگساں
Henrik Ibsen	ہنرک ابسن
Henry James	ہنری جیمز
Hepatitis	الکحولی التہاب جگر
Hertz	ہرٹز
Hinduism	ہندو مت
Hippocrates	بقراط
Hippopotamus	دریائی گھوڑا
Hispaniola	ہسپانیولا
History	تاريخ
History	زمرہ:تاریخ
Holy Roman Empire	مقدس رومی سلطنت
Homeopathy	معالجہ المثلیہ
Homeostasis	استتباط
Hookah	حقہ
Hormone	Hormone
Hour	گھنٹہ
Human	انسان
Hungary	ہنگری
Hyderabad	حیدر آباد دکن
Hydrogen	آبگر
Iceland	آئس لینڈ
Ichthyology	اسماکیات
Idaho	ایڈاہو
Identity matrix	شناخت میٹرکس
Iguazu Falls	اگوازو آبشار
Illinois	الینوائے
Immanuel Kant	کانٹ
Impressionism	تاثریت
India	بھارت
India	زمرہ:ہندوستان
Indian Ocean	بحر ہند
Indiana	انڈیانا
