English	Dutch
Poetry	Poëzie
Poetry	Categorie:Dichtkunst
Pogrom	Pogrom
Point (geometry)	Punt (meetkunde)
Poison	Vergif
Poitiers	Poitiers
Poitou-Charentes	Poitou-Charentes
Poker	Poker
Poland	Polen
Poland	Categorie:Polen
Polar bear	IJsbeer
Polaris	Polaris
Police	Politie
Poliomyelitis	Poliomyelitis
Political party	Politieke partij
Political science	Politicologie
Political science	Categorie:Politicologie
Politician	Politicus
Politics	Politiek
Politics	Categorie:Politiek
Pollen	Stuifmeel
Pollination	Bestuiving
Pollution	Milieuverontreiniging
Polo	Polo (sport)
Polonium	Polonium
Polyethylene	Polyetheen
Polygamy	Polygamie
Polygon	Veelhoek
Polyhedron	Polyhedron
Polyhymnia	Polyhymnia
Polymer	Polymeer
Polynesia	Polynesië
Polynomial	Polynoom
Polytheism	Polytheïsme
Polyvinyl chloride	Polyvinylchloride
Pomegranate	Granaatappel
Pomelo	Pompelmoes
Pompeii	Pompeii
Pompey	Pompeius
Pontius Pilate	Pontius Pilatus
Pop art	Pop-art
Pop music	Popmuziek
Pope	Paus
Pope Alexander VI	Paus Alexander VI
Poplar	Populier
Population	Bevolking
Populism	Populisme
Porcelain	Porselein
Pornography	Pornografie
Port	Haven
Port Louis	Port Louis (stad)
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland	Portland (Oregon)
Portland	Portland
Porto	Porto (stad)
Portrait	Portret
Portsmouth	Portsmouth (Engeland)
Portugal	Portugal
Portugal	Categorie:Portugal
Poseidon	Poseidon (mythologie)
Positron	Positron
Postage stamp	Postzegel
Postal code	Postcode
Postmodernism	Postmodernisme
Potassium	Kalium
Potassium nitrate	Kaliumnitraat
Potato	Aardappel
Potential energy	Potentiële energie
Potsdam	Potsdam
Pound (mass)	Pond (massa)
Pound sterling	Pond sterling
Poverty	Armoede
Power (physics)	Vermogen (natuurkunde)
Power station	Elektriciteitscentrale
Praetor	Praetor
Prague	Praag
Prague	Categorie:Praag
Praia	Praia
Praseodymium	Praseodymium
Prayer	Gebed
Precambrian	Precambrium
Precession	Precessie
Precipitation (meteorology)	Neerslag (atmosfeer)
Pregnancy	Zwangerschap
Prehistory	Prehistorie
Prehistory	Categorie:Prehistorie
President	President
President of the United States	President van de Verenigde Staten
Pressure	Druk
Pretoria	Pretoria
Priam	Priamus
Price	Prijs (betaling)
Priest	Priester
Primate	Primaten
Primates	Categorie:Primaat
Prime Meridian	Meridiaan van Greenwich
Prime minister	Minister-president
Prime number	Priemgetal
Prince Edward Island	Prins Edwardeiland (Canada)
Prince Philip	Philip Mountbatten
Prince of Wales	Prins van Wales
Princeton University	Princeton-universiteit
Principle of relativity	Relativiteitstheorie
Printing	Boekdrukkunst
Prion	Prion
Prism (geometry)	Prisma (wiskunde)
Prism (optics)	Prisma (optica)
Prison	Gevangenis
Prisoner of war	Krijgsgevangene
Prix Goncourt	Prix Goncourt
Probability	Kans (statistiek)
Probability theory	Kansrekening
Probability theory	Categorie:Kansrekening
Procyonidae	Kleine beren
Professor	Professor
Profit	Winst (onderneming)
Programmer	Programmeur
Programming language	Programmeertaal
Progressive rock	Progressieve rock
Project	Project
Prokaryote	Prokaryoten
Prolog	Prolog
Prometheus	Prometheus (mythologie)
Promethium	Promethium
Pronoun	Voornaamwoord
Propaganda	Propaganda (communicatie)
Propane	Propaan
Prophet	Profeet
Prose	Proza
Prostate	Prostaat
Protactinium	Protactinium
Protectorate	Protectoraat
Protein	Proteïne
Proterozoic	Proterozoïcum
Protestant Reformation	Reformatie
Protestantism	Protestantisme
Protist	Protisten
Protista	Categorie:Protista
Protocol	Protocol
Proton	Proton (deeltje)
Protozoa	Protozoa
Providence	Providence (Rhode Island)
Proxima Centauri	Proxima Centauri
Prunus	Prunus
Prussia	Pruisen
Psalms	Psalmen
Pseudonym	Pseudoniem
Pseudoscience	Categorie:Pseudowetenschap
Pseudoscience	Pseudowetenschap
Psi (letter)	Psi (letter)
Psoriasis	Psoriasis
Psychiatry	Psychiatrie
Psychiatry	Categorie:Psychiatrie
Psychoanalysis	Psychoanalyse
Psychology	Psychologie
Psychology	Categorie:Psychologie
Psychosis	Psychose
Psychotherapy	Psychotherapie
Ptah	Ptah
Pterosaur	Pterosauriërs
Ptolemaic dynasty	Ptolemaeën
Ptolemy	Claudius Ptolemaeus
Puberty	Puberteit
Public domain	Publiek domein
Public relations	Public relations
Puerto Rico	Puerto Rico
Puerto Rico	Categorie:Puerto Rico
Pula	Pula (Kroatië)
Pulley	Katrol
Pulsar	Pulsar
Pump	Pomp (machine)
Punctuation	Leesteken
Punjab (India)	Punjab (India)
Punk	Categorie:Punk
Punk rock	Punk (muziek)
Pupil	Pupil (oog)
Puppis	Achtersteven (sterrenbeeld)
Pyongyang	Pyongyang
Pyramid	Piramide (bouwwerk)
Pyramid (geometry)	Piramide (ruimtelijke figuur)
Pyrenees	Pyreneeën
Pyrite	Pyriet
Pyrrhic victory	Pyrrusoverwinning
Pythagoras	Pythagoras
Python (programming language)	Python (programmeertaal)
Pyxis	Kompas (sterrenbeeld)
Q	Q (letter)
Qatar	Qatar
Qatar	Categorie:Qatar
Qin Dynasty	Qin-dynastie
Qing Dynasty	Qing-dynastie
Quadratic equation	Vierkantsvergelijking
Quadrilateral	Vierhoek
Quaestor	Quaestor (Rome)
Quantum field theory	Kwantumveldentheorie
Quantum mechanics	Kwantummechanica
Quantum mechanics	Categorie:Kwantumfysica
Quarantine	Quarantaine
Quark	Quark
Quartz	Kwarts
Quasar	Quasar
Quaternary	Quartair
Quaternion	Quaternion
Quebec	Québec (provincie)
Quebec	Categorie:Québec
Quebec City	Québec (stad)
Quechua	Quechua (taal)
Queen (chess)	Dame (schaken)
Queens	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Question mark	Vraagteken
Quetzalcoatl	Quetzalcoatl
Quince	Kweepeer
Quito	Quito
R	R (letter)
RAF (disambiguation)	RAF
RAID	Redundant Array of Independent Disks
RNA	RNA
Ra	Ra (god)
Rabat	Rabat (Marokko)
Rabbi	Rabbijn
Rabindranath Tagore	Rabindranath Tagore
Raccoon Dog	Wasbeerhond
Race	Menselijk ras
Rachel Carson	Rachel Carson
Racism	Racisme
Racism	Categorie:Racisme
Radar	Radar
Radian	Radiaal
Radio	Categorie:Radio
Radio telescope	Radiotelescoop
Radioactive decay	Radioactief verval
Radiocarbon dating	C14-datering
Radiology	Radiologie
Radium	Radium
Radius	Straal (wiskunde)
Radon	Radon (element)
Rain	Regen (neerslag)
Rainbow	Regenboog (optica)
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh	Raleigh (North Carolina)
Ralph Waldo Emerson	Ralph Waldo Emerson
Rama	Rama
Ramadan	Ramadan
Ramayana	Ramayana
Ramesses II	Ramses II
Random access memory	Random Access Memory
Ranunculaceae	Ranonkelfamilie
Rape	Verkrachting
Rapeseed	Koolzaad
Raphael	Rafaël Santi
Raphael (archangel)	Rafaël (aartsengel)
Rapid transit	Categorie:Metro
Raspberry	Framboos
Rat	Rattus
Rational number	Rationaal getal
Ratite	Loopvogels
Ravenna	Ravenna (stad)
Rawalpindi	Rawalpindi
Ray Bradbury	Ray Bradbury
Read-only memory	Read Only Memory
Real number	Reëel getal
Recession	Recessie
Recife	Recife
Rectangle	Rechthoek
Rectifier	Gelijkrichter
Recursion	Recursie
Recycling	Hergebruik
Red	Rood (kleur)
Red Army Faction	Rote Armee Fraktion
Red Deer	Edelhert
Red Fox	Vos (dier)
Red Panda	Kleine panda
Red Sea	Rode Zee
Red blood cell	Rode bloedcel
Red dwarf	Rode dwerg
Red giant	Rode reus
Redshift	Roodverschuiving
Redshift (disambiguation)	Roodverschuiving
Reduced instruction set computer	Reduced Instruction Set Computer
Referendum	Volksraadpleging
Refraction	Lichtbreking
Refractive index	Brekingsindex
Refugee	Vluchteling
Regent	Regent (bestuurder)
Reggae	Reggae
Regiment	Regiment
Regina	Regina (Canada)
Region	Regio
Reims	Reims
Reincarnation	Reïncarnatie
Reindeer	Rendier
Relation (mathematics)	Relatie (wiskunde)
Relativism	Relativisme
Relativity	Categorie:Relativiteit
Relay	Relais
Religion	Religie
Religion	Categorie:Religie
Religious Society of Friends	Genootschap der Vrienden
Rembrandt	Rembrandt van Rijn
Renaissance	Renaissance
Renaissance	Categorie:Renaissance
Reproduction	Voortplanting (biologie)
Reptile	Reptielen
Republic	Republiek
Republic of China	Republiek China
Republic of Ireland	Ierland (land)
Republic of Ireland	Categorie:Ierland
Republic of the Congo	Congo-Brazzaville
Republic of the Congo	Categorie:Congo-Brazzaville
Republican Party (United States)	Republikeinse Partij (Verenigde Staten)
Requiem	Requiem (muziek)
Resistor	Elektrische weerstand (component)
Restaurant	Restaurant
Reticulum	Net (sterrenbeeld)
Retina	Netvlies
Retinol	Retinol
Revolution	Revolutie
Revolver	Revolver (wapen)
Rhea (moon)	Rhea (maan)
Rhea (mythology)	Rhea (mythologie)
Rhenium	Renium
Rhetoric	Retorica
Rhetoric	Categorie:Retorica
Rhine	Rijn
Rhinoceros	Neushoorns
Rho (letter)	Rho (letter)
Rhode Island	Rhode Island (staat)
Rhode Island	Categorie:Rhode Island
Rhodes	Rodos (eiland)
Rhodium	Rhodium
Rhombus	Ruit (meetkunde)
Rhyme	Rijm (stijlfiguur)
Rhythm	Ritme
Rhythm and blues	Rhythm-and-blues
Rib	Rib (anatomie)
Riboflavin	Riboflavine
Ribosome	Ribosoom
Rice	Rijst
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (musician)	Richard Wright (Pink Floyd)
Richmond	Richmond (Virginia)
Riga	Riga
Rigel	Rigel
Right ascension	Rechte klimming
Ring (mathematics)	Ring (wiskunde)
Ringo Starr	Ringo Starr
Rio Grande	Rio Grande (Río Bravo)
Rio de Janeiro	Rio de Janeiro (stad)
Rio de Janeiro (state)	Rio de Janeiro (staat)
River	Rivier
River Thames	Theems
Riyadh	Riyad (stad)
Road	Weg
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert Heinlein
Robert Andrews Millikan	Robert Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Rock	Steen, papier, schaar
Rock (geology)	Rots (steen)
Rock and roll	Rock-'n-roll
Rock music	Rock
Rock music	Categorie:Rock
Rocket	Raket
Rocky Mountains	Rocky Mountains
Rococo	Rococo
Rodent	Knaagdieren
Roe Deer	Ree
Roentgenium	Roentgenium
Roger Bacon	Roger Bacon
Roman Catholic Church	Rooms-katholieke Kerk
Roman Empire	Romeinse Rijk
Roman Republic	Romeinse Republiek
Roman calendar	Romeinse kalender
Roman law	Romeins recht
Roman legion	Legioen
Roman mythology	Romeinse mythologie
Roman mythology	Categorie:Romeinse godsdienst
Romania	Roemenië
Romania	Categorie:Roemenië
Romansh	Reto-Romaans
Romanticism	Romantiek (stroming)
Rome	Rome (stad)
Rome	Categorie:Rome
Ronald Reagan	Ronald Reagan
Roof	Dakconstructie
Rook (bird)	Roek
Rook (chess)	Toren (schaken)
Roosevelt	Roosevelt
Root	Wortel (plant)
Rosa Parks	Rosa Parks
Rosaceae	Rozenfamilie
Rosales	Rosales (orde)
Rosario	Rosario (Argentinië)
Rosary	Rozenkrans
Rose	Rozen
Roseau	Roseau (Dominica)
Rosemary	Rozemarijn
Rosetta Stone	Steen van Rosetta
Rosh Hashanah	Rosj Hasjana
Ross Sea	Rosszee
Rostock	Rostock
Rotifer	Raderdieren
Rotterdam	Rotterdam
Router	Router
Rowing (sport)	Roeien (sport)
Royal Air Force	Royal Air Force
Royal Society	Royal Society
Rubber	Rubber
Rubicon	Rubicon (Italiaanse rivier)
Rubidium	Rubidium
Ruble	Roebel
Rubus idaeus	Framboos
Ruby	Robijn (edelsteen)
Ruby (programming language)	Ruby (programmeertaal)
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Hess
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby football	Rugby (balspel)
Rupert Murdoch	Rupert Murdoch
Russia	Rusland
Russia	Categorie:Rusland
Russian Orthodox Church	Russisch-orthodoxe Kerk
Russian Revolution (1917)	Russische Revolutie
Russo-Japanese War	Russisch-Japanse Oorlog
Ruthenium	Ruthenium
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Rutherfordium
Rwanda	Rwanda
Rwanda	Categorie:Rwanda
Rye	Rogge
S	S (letter)
SOAP	Simple Object Access Protocol
SOS	SOS
Sacrament	Sacrament
Sacramento	Sacramento (Californië)
Saddam Hussein	Saddam Hoessein
Safari (web browser)	Safari (browser)
Saffron	Saffraan
Sagitta	Pijl (sterrenbeeld)
Sagittarius (constellation)	Boogschutter
Sahara	Sahara
Sail	Zeil (schip)
Saint	Heilige (christendom)
Saint Andrew	Andreas (apostel)
Saint George	Joris (heilige)
Saint Kitts and Nevis	Saint Kitts en Nevis
Saint Kitts and Nevis	Categorie:Saint Kitts en Nevis
Saint Lawrence River	Saint Lawrencerivier
Saint Lucia	Saint Lucia
Saint Lucia	Categorie:Saint Lucia
Saint Martin	Sint-Maarten (eiland)
Saint Nicholas	Nicolaas van Myra
Saint Patrick	Patricius
Saint Paul	Saint Paul (Minnesota)
Saint Peter	Petrus
Saint Petersburg	Sint-Petersburg
Saint Petersburg	Categorie:Sint-Petersburg
Saint Vincent and the Grenadines	Saint Vincent en de Grenadines
Saint Vincent and the Grenadines	Categorie:Saint Vincent en de Grenadines
Sake	Sake
Saladin	Saladin
Salah	Salat
Salamander	Salamanders
Salem	Salem (Oregon)
Salerno	Salerno (stad)
Saliva	Speeksel
Salman Rushdie	Salman Rushdie
Salmonidae	Zalmen
Salt	Keukenzout
Salt (chemistry)	Zouten
Salt Lake City	Salt Lake City
Salvador	Salvador (stad)
Salzburg	Salzburg (stad)
Salzburg (state)	Salzburg (deelstaat)
Samara	Samara (stad)
Samarium	Samarium
Samarkand	Samarkand
Samoa	Samoa
Samoa	Categorie:Samoa
Samsara	Samsara
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samurai	Samoerai
San Antonio	San Antonio (Texas)
San Diego	San Diego
San Francisco	San Francisco
San Jose	San José (Californië)
San Juan	San Juan (Puerto Rico)
San Marino	San Marino
San Marino	Categorie:San Marino
San Marino	San Marino (stad)
San Salvador	San Salvador (stad)
Sand	Zand
Sandro Botticelli	Sandro Botticelli
Sandstone	Zandsteen
Sandwich	Sandwich (gerecht)
Sanskrit	Sanskriet
Santa Claus	Kerstman
Santa Fe	Santa Fe (New Mexico)
Santiago	Santiago (Chili)
Santiago	Santiago
Santiago de Cuba	Santiago de Cuba (stad)
Santo Domingo	Santo Domingo (Dominicaanse Republiek)
Santos (Săo Paulo)	Santos
Sapphire	Saffier
Sappho	Sappho
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Saratov	Saratov
Sarcophagus	Sarcofaag
Sardine	Sardine
Sardinia	Sardinië
Sari	Sari (stad)
Sarin	Sarin
Saskatchewan	Saskatchewan
Satan	Satan
Satanism	Satanisme
Satellite	Kunstmaan
Satire	Satire
Saturday	Zaterdag
Saturn	Saturnus (planeet)
Saturn	Categorie:Saturnus
Saturn (disambiguation)	Saturnus
Saturn (mythology)	Saturnus (god)
Satyr	Satyr
Sauce	Saus
Saudi Arabia	Saoedi-Arabië
Saudi Arabia	Categorie:Saoedi-Arabië
Saul Bellow	Saul Bellow
Sausage	Worst
Savanna	Savanne (landschap)
Saxony	Saksen (deelstaat)
Saxony	Categorie:Saksen
Saxophone	Saxofoon
Scandinavia	Scandinavië
Scandinavia	Categorie:Scandinavië
Scandinavian Peninsula	Scandinavisch schiereiland
Scandium	Scandium
Scapula	Schouderblad
Scheldt	Schelde (rivier)
Scheme (programming language)	Scheme
Schizophrenia	Schizofrenie
Scholasticism	Scholastiek
School	Schoolgebouw
Schutzstaffel	Schutzstaffel
Science	Wetenschap
Science	Categorie:Wetenschap
Science fiction	Sciencefiction
Science fiction	Categorie:Sciencefiction
Scientific method	Wetenschappelijke methode
Scientist	Wetenschapper
Scientology	Scientology
Scipio Africanus	Publius Cornelius Scipio Africanus maior
Scissors	Schaar
Sciuridae	Eekhoorns
Scorpion	Schorpioenen
Scorpius	Schorpioen (sterrenbeeld)
Scotland	Schotland
Scotland	Categorie:Schotland
Scots Pine	Grove den
Scottish Gaelic	Schots-Gaelisch
Scouting	Scouting
Scrabble	Scrabble
Screw	Schroef (verbinding)
Screwdriver	Schroevendraaier
Scrotum	Scrotum
Sculptor (constellation)	Beeldhouwer (sterrenbeeld)
Sculpture	Beeldhouwkunst
Sculpture	Categorie:Beeldhouwkunst
Sea	Zee
Sea Otter	Zeeotter
Sea anemone	Zeeanemonen
Sea cucumber	Zeekomkommers
Sea level	Zeeniveau
Sea of Azov	Zee van Azov
Sea of Japan	Japanse Zee
Sea of Marmara	Zee van Marmara
Sea of Okhotsk	Zee van Ochotsk
Sea urchin	Zee-egels
Seaborgium	Seaborgium
Seahorse	Zeepaard
Search engine	Zoekmachine
Sears Tower	Sears Tower
Season	Seizoen
Seattle	Seattle
Second	Seconde
Second Crusade	Tweede Kruistocht
Second Vatican Council	Tweede Vaticaans Concilie
Second law of thermodynamics	Tweede wet van de thermodynamica
Sect	Sekte
Security	Categorie:Beveiliging
Sedimentary rock	Sedimentair gesteente
Seed	Zaad (plant)
Segovia	Segovia (stad)
Seine	Seine
Seismology	Seismologie
Selene	Selene
Selenium	Seleen
Seleucus I Nicator	Seleucus I Nicator
Semantics	Semantiek
Semantics	Categorie:Semantiek
Semen	Sperma
Semicolon	Puntkomma
Semiconductor	Halfgeleider
Semiotics	Semiotiek
Semitic	Semieten
Senate	Senaat (volksvertegenwoordiging)
Senegal	Senegal
Senegal	Categorie:Senegal
Seoul	Seoel
Seppuku	Seppuku
September	September
September 11	11 september
September 11	Aanslagen op 11 september 2001
September 17	17 september
September 29	29 september
Septuagint	Septuagint
Sequence	Rij (wiskunde)
Serbia	Servië
Serbia	Categorie:Servië
Serbia and Montenegro	Servië en Montenegro
Serbia and Montenegro	Categorie:Servië en Montenegro
Serfdom	Horigheid
Sergei Eisenstein	Sergej Eisenstein
Sergei Rachmaninoff	Sergej Rachmaninov
Series (mathematics)	Reeks (wiskunde)
Serine	Serine
Serotonin	Serotonine
Serpens	Slang (sterrenbeeld)
Server (computing)	Server
Set	Verzameling (wiskunde)
Set (mythology)	Seth (Egyptische mythologie)
Set theory	Verzamelingenleer
Set theory	Categorie:Verzamelingenleer
Sevastopol	Sebastopol
Seven Years' War	Zevenjarige Oorlog (18e eeuw)
Severe acute respiratory syndrome	SARS
Seville	Sevilla (stad)
Sex	Sekse
Sex organ	Geslachtsorgaan
Sexism	Seksisme
Sextant	Sextant (navigatie)
Sexual intercourse	Geslachtsgemeenschap
Sexuality	Categorie:Seksualiteit
Sexually transmitted disease	Seksueel overdraagbare aandoening
Seychelles	Seychellen
Seychelles	Categorie:Seychellen
Shah	Sjah
Shahadah	Shahadah
Shamanism	Sjamanisme
Shanghai	Sjanghai
Share (finance)	Aandeel
Shareware	Shareware
Sharia	Sharia
Shark	Haaien
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetland	Shetlandeilanden
Shield	Schild (bescherming)
Shikoku	Shikoku (Japan)
Shinto	Shintoïsme
Ship	Schip (transportmiddel)
Shiva	Shiva
Shogi	Shogi
Shogun	Shogun
Shorthand	Stenografie
Shrimp	Garnalen
Shrub	Struik
Siberia	Siberië
Siberian Husky	Siberische husky
Sichuan	Sichuan
Sicily	Sicilië
Sicily	Categorie:Sicilië
Siemens (unit)	Siemens (eenheid)
Sierra Leone	Sierra Leone
Sierra Leone	Categorie:Sierra Leone
Sigma	Sigma (letter)
Sigmund Freud	Sigmund Freud
Sign language	Gebarentaal
Sigrid Undset	Sigrid Undset
Sikhism	Sikhisme
Sikkim	Sikkim
Silesia	Silezië
Silicon	Silicium
Silicon Valley	Silicon Valley
Silicon dioxide	Siliciumdioxide
Silk	Zijde (textiel)
Silk Road	Zijderoute
Silurian	Siluur
Silver	Zilver
Simone de Beauvoir	Simone de Beauvoir
Sin	Zonde
Sinai Peninsula	Sinaï (schiereiland)
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Singapore	Categorie:Singapore
Single (music)	Single (muziek)
Siren	Sirene (halfgodin)
Sirenia	Zeekoeien
Sirius	Sirius (ster)
Sistine Chapel	Sixtijnse Kapel
Sisyphus	Sisyphos
Sitting Bull	Sitting Bull
Situation comedy	Sitcom
Six-Day War	Zesdaagse Oorlog
Skagerrak	Skagerrak
Skateboard	Skateboard
Skeletal system	Categorie:Skelet
Skepticism	Scepticisme
Skin	Huid
Skinhead	Skinhead
Skopje	Skopje
Skull	Schedel
Skylab	Skylab
Skyscraper	Wolkenkrabber
Slash (musician)	Slash (artiest)
Slavery	Slavernij
Slayer	Slayer
Sleep	Slaap (rust)
Slovakia	Slowakije
Slovakia	Categorie:Slowakije
Slovenia	Slovenië
Slovenia	Categorie:Slovenië
Small intestine	Dunne darm
Smog	Smog
Smolensk	Smolensk
Snake	Slangen
Snooker	Snooker
Snow	Sneeuw
Soap	Zeep (reiniging)
Social psychology	Sociale psychologie
Socialism	Socialisme
Socialism	Categorie:Socialisme
Socialist Party (France)	Parti Socialiste (Frankrijk)
Society	Categorie:Mens en maatschappij
Society	Maatschappij
Society of Jesus	Jezuïeten
Sociolinguistics	Sociolinguïstiek
Sociology	Sociologie
Sociology	Categorie:Sociologie
Socrates	Socrates
Sodium	Natrium
Sodium bicarbonate	Natriumwaterstofcarbonaat
Sodium chloride	Natriumchloride
Sodium hydroxide	Natriumhydroxide
Sofia	Sofia (stad)
Softball	Softbal
Software	Categorie:Software
Soil	Bodem
Solanaceae	Nachtschadefamilie
Solanaceae	Categorie:Solanaceae
Solar System	Zonnestelsel
Solar System	Categorie:Zonnestelsel
Solar cell	Fotovoltaïsche cel
Solar eclipse	Zonsverduistering
Solar energy	Zonne-energie
Solar wind	Zonnewind
Solid	Vaste stof
Solid state	Solid state
Solidarity	Solidarność
Solomon	Salomo
Solomon Islands	Salomonseilanden
Solomon Islands	Categorie:Salomonseilanden
Solon	Solon
Solstice	Zonnewende
Solution	Oplossing (scheikunde)
Solvent	Oplosmiddel
Somalia	Somalië
Somalia	Categorie:Somalië
Somerset	Somerset
Somme	Somme (departement)
Sonata	Sonate
Song	Lied
Song of Solomon	Hooglied
Sonnet	Sonnet
Sophia Loren	Sophia Loren
Sophism	Sofistiek
Sophocles	Sophokles
Soprano	Sopraan (zangstem)
Sorbonne	Sorbonne
Sorghum	Sorghum
Sorting algorithm	Sorteeralgoritme
Soul	Ziel
Sound	Geluid
Soup	Soep (voedsel)
Source code	Broncode
South	Zuid
South Africa	Categorie:Zuid-Afrika
South America	Zuid-Amerika
South America	Categorie:Zuid-Amerika
South Australia	Zuid-Australië
South Carolina	South Carolina
South Carolina	Categorie:South Carolina
South China Sea	Zuid-Chinese Zee
South Dakota	South Dakota
South Dakota	Categorie:South Dakota
South Island	Zuidereiland
South Korea	Zuid-Korea
South Korea	Categorie:Zuid-Korea
South Pole	Zuidpool
South Vietnam	Zuid-Vietnam
Southeast Asia	Zuidoost-Azië
Southern Hemisphere	Zuidelijk halfrond
Sovereignty	Soevereiniteit
Soviet Union	Sovjet-Unie
Soviet Union	Categorie:Sovjet-Unie
Soybean	Sojaboon
Space	Ruimte (geografie)
Space Shuttle	Ruimteveer
Space station	Ruimtestation
Spacecraft	Ruimtevaartuig
Spaghetti	Spaghetti
Spain	Spanje
Spain	Categorie:Spanje
Spam (electronic)	Spam
Spanish Civil War	Spaanse Burgeroorlog
Spanish people	Categorie:Spaans persoon
Spanish-American War	Spaans-Amerikaanse Oorlog
Sparta	Sparta (Griekenland)
Spear	Speer
Special relativity	Speciale relativiteitstheorie
Species	Soort
Spectroscopy	Spectroscopie
Speed	Snelheid
Speed of light	Lichtsnelheid
Speleology	Speleologie
Spencer Tracy	Spencer Tracy
Sperm Whale	Potvis
Spermatophyte	Zaadplanten
Spermatozoon	Zaadcel
Sphere	Bol (lichaam)
Sphinx	Sfinx
Spice	Specerij
Spider	Spinnen (dieren)
Spin (physics)	Spin (kwantummechanica)
Spinach	Spinazie
Spinal cord	Ruggenmerg
Spiral galaxy	Spiraalvormig sterrenstelsel
Spleen	Milt
Split	Split
Sponge	Sponsdieren
Sport	Sport
Spreadsheet	Spreadsheet
Spree	Spree
Spring (season)	Lente
Springfield	Springfield (Illinois)
Spyware	Spyware
Squamata	Schubreptielen
Square (geometry)	Vierkant (meetkunde)
Square metre	Vierkante meter
Square root	Vierkantswortel
Squash (sport)	Squash
Squirrel	Eekhoorn
Sri Lanka	Sri Lanka
Sri Lanka	Categorie:Sri Lanka
St. Louis	Saint Louis (Missouri)
Stadium	Stadion
Stained glass	Gebrandschilderd glas
Stainless steel	Roestvast staal
Stalinism	Stalinisme
Standard Generalized Markup Language	Standard Generalized Markup Language
Standard deviation	Standaardafwijking
Stanford University	Stanford-universiteit
Stanley Kubrick	Stanley Kubrick
Star	Ster (hemellichaam)
Star of David	Davidster
Starch	Zetmeel
Starfish	Zeesterren
State	Staat
Staten Island	Staten Island
Statistical mechanics	Statistische thermodynamica
Statistics	Statistiek
Statistics	Categorie:Statistiek
Statue of Liberty	Vrijheidsbeeld (New York)
Stavanger	Stavanger
Steam	Stoom
Steam engine	Stoommachine
Steel	Staal (metaal)
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegosaurus
Stem cell	Stamcel
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Steppe	Steppe
Steradian	Steradiaal
Sternum	Borstbeen
Steroid	Steroïde
Steven Spielberg	Steven Spielberg
Sting	Sting
Stock exchange	Beurshandel
Stockholm	Stockholm
Stoicism	Stoa
Stomach	Maag
Stone Age	Steentijd
Stonehenge	Stonehenge
Stork	Ooievaars
Storm	Storm (wind)
Strait	Zeestraat
Strait of Gibraltar	Straat van Gibraltar
Strait of Hormuz	Straat van Hormuz
Strait of Magellan	Straat Magellaan
Strait of Messina	Straat van Messina
Straits	Categorie:Zeestraat
Strasbourg	Straatsburg
Strategy	Strategie
Stratigraphy	Stratigrafie
Stratosphere	Stratosfeer
Strawberry	Aardbei
Stress (medicine)	Stress
String theory	Snaartheorie
Stroke	Beroerte
Strong interaction	Sterke kernkracht
Strontium	Strontium
Structuralism	Structuralistische taalkunde
Stub	Sjabloon:Beg
Student	Student
Stupa	Stoepa
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Styx	Styx (mythologie)
Sub-Saharan Africa	Sub-Sahara Afrika
Subculture	Subcultuur
Sublimation (chemistry)	Sublimatie
Submarine	Onderzeeboot
Subset	Deelverzameling
Subtraction	Aftrekken (wiskunde)
Subversion (software)	Subversion
Sucre	Sucre (Bolivia)
Sucrose	Sacharose
Sudan	Soedan
Sudan	Categorie:Soedan
Sudoku	Sudoku
Suez Canal	Suezkanaal
Suffix	Suffix
Sufism	Soefisme
Sugar	Tafelsuiker
Suharto	Soeharto
Sukarno	Soekarno
Sulawesi	Celebes
Sulfur	Zwavel
Sulfur dioxide	Zwaveldioxide
