English	Welsh
Charlemagne	Siarlymaen
Charleroi	Charleroi
Charles	Y Tywysog Siarl, Tywysog Cymru
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Siarl Foel
Charlie Chaplin	Charles Chaplin
Charon (moon)	Charon (lloeren)
Charon (mythology)	Charon (mytholeg)
Chartres	Chartres
Che Guevara	Che Guevara
Cheese	Caws
Chemical element	Elfen gemegol
Chemical warfare	Arf gemegol
Chemistry	Cemeg
Chemistry	Categori:Cemeg
Chennai	Chennai
Chert	Callestr
Chess	Gwyddbwyll
Chess	Categori:Gwyddbwyll
Chess opening	Agoriadau gwyddbwyll
Chester A. Arthur	Chester A. Arthur
Chi (letter)	Chi (llythyren)
Chicago	Chicago
Chicken	Iâr (ddof)
Chihuahua	Chihuahua
Chile	Chile
Chile	Categori:Chile
Chimpanzee	Tsimpansî
China	Tsieina
Chlorine	Clorin
Chlorophyll	Cloroffyl
Chocolate	Siocled
Cholera	Colera
Chordate	Cordog
Christiaan Huygens	Christiaan Huygens
Christianity	Cristnogaeth
Christianity	Categori:Cristnogaeth
Christmas	Nadolig
Christmas	Categori:Nadolig
Christmas tree	Coeden Nadolig
Christopher Columbus	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Chromosome	Cromosom
Chronology	Categori:Cronoleg
Chuck Berry	Chuck Berry
Church (building)	Eglwys
Church of England	Eglwys Loegr
Cicero	Cicero
Circle	Cylch
Citizenship	Dinasyddiaeth
City-state	Dinas-wladwriaeth
Civil war	Rhyfel cartref
Civilization	Gwareiddiad
Class (biology)	Dosbarth (bioleg)
Classical music	Cerddoriaeth glasurol
Classical music	Categori:Cerddoriaeth glasurol
Claude Monet	Claude Monet
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudius
Cleopatra (disambiguation)	Cleopatra (gwahaniaethu)
Climate	Categori:Hinsawdd
Clitoris	Clitoris
Clothing	Categori:Dillad
Clothing	Dillad
Cloud	Cwmwl
Cnidaria	Cnidariad
Coal	Glo
Coat of arms	Arfbais
Cocktail	Coctêl
Coffee	Coffi
Coffee	Categori:Coffi
Cola	Cola
Cold War	Y Rhyfel Oer
Cold War	Categori:Y Rhyfel Oer
Cologne	Cwlen
Colombia	Colombia
Colombia	Categori:Colombia
Colombo	Colombo
Color	Lliw
Colorado	Colorado
Colorado	Categori:Colorado
Colorado River	Afon Colorado (Arizona)
Colosseum	Colosseum
Colossus of Rhodes	Colossus Rhodes
Columba (constellation)	Columba (cytser)
Columbidae	Colomen
Comet	Comed
Commerce	Categori:Masnach
Common cold	Annwyd
Commonwealth of Independent States	Cymanwlad y Gwladwriaethau Annibynnol
Commonwealth of Nations	Y Gymanwlad
Communism	Comiwnyddiaeth
Communism	Categori:Comiwnyddiaeth
Comoros	Comoros
Comoros	Categori:Comoros
Compact Disc	Crynoddisg
Composer	Cyfansoddwr
Computer	Cyfrifiadur
Computing	Category:Cyfrifiaduron
Confederation	Conffederasiwn
