Korean	English
분류:야구	Baseball
바젤	Basel
본 어게인 셸	Bash
바질	Basil
바실리스쿠스	Basiliscus
바실리스크	Basilisk
농구	Basketball
분류:농구	Basketball
베이스 기타	Bass guitar
바스노르망디	Basse-Normandie
바스테르 (세인트키츠 네비스)	Basseterre
바순	Bassoon
바스티유 감옥	Bastille
박쥐	Bat
배턴루지	Baton Rouge
분류:박쥐	Bats
전지	Battery (electricity)
아우스터리츠 전투	Battle of Austerlitz
영국 본토 항공전	Battle of Britain
헤이스팅스 전투	Battle of Hastings
미드웨이 해전	Battle of Midway
트라팔가르 해전	Battle of Trafalgar
워털루 전투	Battle of Waterloo
벌지 전투	Battle of the Bulge
솜므 전투	Battle of the Somme
전함	Battleship
바우하우스	Bauhaus
보크사이트	Bauxite
바이에른 주	Bavaria
분류:바이에른 주	Bavaria
벵골 만	Bay of Bengal
비스케이 만	Bay of Biscay
모래톱	Beach
부리	Beak
곰	Bear
보퍼트 해	Beaufort Sea
비버	Beaver
베크렐	Becquerel
침대	Bed
베다 베네라빌리스	Bede
벌 (곤충)	Bee
맥주	Beer
분류:맥주	Beer
딱정벌레목	Beetle
행동주의	Behaviorism
베이징	Beijing
베이루트	Beirut
벨라루스	Belarus
분류:벨라루스	Belarus
벨파스트	Belfast
벨기에	Belgium
분류:벨기에	Belgium
베오그라드	Belgrade
벨리사리우스	Belisarius
벨리즈	Belize
분류:벨리즈	Belize
종 (악기)	Bell (instrument)
벨레로폰	Bellerophon
벨루오리존치	Belo Horizonte
흰돌고래	Beluga
베네룩스	Benelux
벵골	Bengal
베냉	Benin
분류:베냉	Benin
베니토 무솔리니	Benito Mussolini
벤저민 브리튼	Benjamin Britten
벤저민 프랭클린	Benjamin Franklin
벤저민 해리슨	Benjamin Harrison
베오울프	Beowulf
베링 해	Bering Sea
베링 해협	Bering Strait
버클륨	Berkelium
버크셔 주	Berkshire
베를린	Berlin
분류:베를린	Berlin
버뮤다	Bermuda
분류:버뮤다	Bermuda
버뮤다 삼각지대	Bermuda Triangle
베르나르도 베르톨루치	Bernardo Bertolucci
베른	Berne
베른하르트 리만	Bernhard Riemann
베르톨트 브레히트	Bertolt Brecht
버트런드 러셀	Bertrand Russell
베릴륨	Beryllium
Β	Beta (letter)
베타 붕괴	Beta decay
베텔게우스	Betelgeuse
베들레헴	Bethlehem
부탄	Bhutan
분류:부탄	Bhutan
성경	Bible
분류:성서	Bible
서지학	Bibliography
자전거	Bicycle
빅뱅	Big Bang
비하르 주	Bihar
비키니	Bikini
빌 클린턴	Bill Clinton
빌 게이츠	Bill Gates
쌍성	Binary star
쌍안경	Binoculars
생화학	Biochemistry
분류:생화학	Biochemistry
생물다양성	Biodiversity
전기 (문학)	Biography
생물학 무기	Biological warfare
생물학	Biology
분류:생물학	Biology
생물 군계	Biome
생물리학	Biophysics
바이오틴	Biotin
조울증	Bipolar disorder
자작나무속	Birch
새	Bird
버밍햄 (앨라배마 주)	Birmingham
피임	Birth control
양성애	Bisexuality
비슈케크	Bishkek
주교	Bishop
비숍 (체스)	Bishop (chess)
비즈마크 (노스다코타 주)	Bismarck
비스마르크	Bismarck (disambiguation)
비스무트	Bismuth
비사우	Bissau
비트	Bit
비티니아	Bithynia
이매패류	Bivalvia
검정	Black
흑사병	Black Death
검은숲	Black Forest
흑해	Black Sea
먹황새	Black Stork
흑체	Black body
블랙홀	Black hole
후추	Black pepper
블레즈 파스칼	Blaise Pascal
블렌더 (소프트웨어)	Blender (software)
전격전	Blitzkrieg
볼룸폰테인	Bloemfontein
블로그	Blog
혈액	Blood
혈장	Blood plasma
혈압	Blood pressure
