English	Icelandic
Charlie Chaplin	Charlie Chaplin
Charlotte	Charlotte (Norður-Karólína)
Che Guevara	Che Guevara
Cheese	Ostur
Cheetah	Blettatígur
Chemical compound	Efnasamband
Chemical element	Frumefni
Chemical engineering	Efnaverkfræði
Chemical reaction	Efnahvarf
Chemical warfare	Efnavopn
Chemistry	Efnafræði
Chemistry	Flokkur:Efnafræði
Chess	Skák
Chess	Flokkur:Skák
Chester A. Arthur	Chester A. Arthur
Chewing gum	Tyggigúmmí
Chi (letter)	Kí
Chicago	Chicago
Chicken	Kjúklingur
Child	Barn
Chile	Chile
Chile	Flokkur:Chile
China	Flokkur:Kína
China	Kína
Chitin	Kítín
Chlorine	Klór
Chloroplast	Grænukorn
Chocolate	Súkkulaði
Cholera	Kólera
Chondrichthyes	Brjóskfiskar
Chordate	Seildýr
Christiaan Huygens	Christiaan Huygens
Christianity	Kristni
Christianity	Flokkur:Kristni
Christmas	Jól
Christmas	Flokkur:Jól
Christmas Eve	Aðfangadagur
Christmas tree	Jólatré
Christopher Columbus	Kristófer Kólumbus
Christopher Marlowe	Christopher Marlowe
Chromium	Króm
Chukchi Sea	Tjúktahaf
Church	Kirkja
Cicero	Cíceró
Cigarette	Sígaretta
Circulatory system	Blóðrásarkerfi
Cirrhosis	Skorpulifur
City-state	Borgríki
Civil war	Borgarastríð
Civilization	Siðmenning
Civilization (computer game)	Civilization (tölvuleikur)
Clarinet	Klarínett
Class (biology)	Flokkur (flokkunarfræði)
Class (computer science)	Klasi (forritun)
Classical mechanics	Sígild aflfræði
Classical music	Klassísk tónlist
Classical music	Flokkur:Klassísk tónlist
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudíus
Cleveland	Cleveland (Ohio)
Climate	Loftslag
Climatology	Veðurfarsfræði
Climatology	Flokkur:Veðurfarsfræði
Clio	Klíó
Clitoris	Snípur
Clock	Klukka
Clock Tower	Klukkuturn Westminsterhallar
Clothing	Flokkur:Fatnaður
Clothing	Fatnaður
Cloud	Ský
Cnidaria	Holdýr
Coal	Kol
Coast	Strönd
Coat of arms	Skjaldarmerki
Cobalt	Kóbolt
Cocaine	Kókaín
Cockroach	Kakkalakkar
Cocos (Keeling) Islands	Kókoseyjar
Coffee	Kaffi
Coffee	Flokkur:Kaffi
Cognitive psychology	Hugræn sálfræði
Cognitive science	Vitsmunavísindi
Cola	Kóladrykkur
Colchis	Kolkis
Cold War	Kalda stríðið
Cold War	Flokkur:Kalda stríðið
Collage	Klippimynd
Cologne	Köln
Colombia	Kólumbía
Colombia	Flokkur:Kólumbía
Colony	Nýlenda
Color	Litur
Colorado	Colorado
Colosseum	Colosseum
Columbia	Columbia
Columbia University	Columbia-háskóli
Columbidae	Dúfur
Columbiformes	Flokkur:Dúfnafuglar
Columbiformes	Dúfnafuglar
Columbus	Columbus (Ohio)
Columbus	Columbus
Combustion	Bruni
Comet	Halastjarna
Common cold	Kvef
Commonwealth of Independent States	Samveldi sjálfstæðra ríkja
Commonwealth of Nations	Breska samveldið
Communication	Samskipti
Communism	Kommúnismi
Communism	Flokkur:Kommúnismi
Comoros	Kómoreyjar
Comoros	Flokkur:Kómoreyjar
Compact Disc	Geisladiskur
Company (military unit)	Undirfylki
Compiler	Þýðandi
Complex number	Tvinntölur
Composer	Tónskáld
Computed tomography	CAT
Computer	Tölva
Computer display	Tölvuskjár
Computer hardware	Vélbúnaður
Computer hardware	Flokkur:Tölvuíhlutir
Computer program	Tölvuforrit
Computer programming	Flokkur:Forritun
Computer science	Tölvunarfræði
Computer science	Flokkur:Tölvunarfræði
Computer software	Hugbúnaður
Conakry	Kónakrí
Condom	Smokkur
Confucianism	Konfúsíusismi
Confucius	Konfúsíus
Congo	Kongó
Congo River	Kongófljót
Connecticut	Connecticut
Connecticut	Flokkur:Connecticut
Conquistador	Landvinningamaður
Conservation of energy	Orkuvarðveisla
Conservatism	Íhaldsstefna
Consonant	Samhljóð
Constantine I	Konstantínus mikli
Constitution (political)	Stjórnarskrá
Continent	Heimsálfa
Continental shelf	Landgrunn
Coordinated Universal Time	UTC
Copenhagen	Kaupmannahöfn
Copper	Kopar
Copyright	Höfundarréttur
Coraciiformes	Meitilfuglar
Cork (city)	Cork
Cornell University	Cornell-háskóli
Cornwall	Cornwall
Corsica	Korsíka
Corvette	Korvetta
Cosmology	Heimsfræði
Cosmology	Flokkur:Heimsfræði
Costa Rica	Kosta Ríka
Costa Rica	Flokkur:Kosta Ríka
Cotonou	Cotonou
Cotton	Baðmull
Coulomb	Kúlomb
Coulomb's law	Kúlombskraftur
Counterpoint	Kontrapunktur
Coventry	Coventry
Cretaceous	Krítartímabilið
Crete	Krít (eyja)
Cricket	Krikket
Crime	Glæpur
