English	Icelandic
Prolog	Prolog (forritunarmál)
Pronoun	Fornafn
Propaganda	Áróður
Prose	Óbundið mál
Protein	Prótín
Protestant Reformation	Siðaskiptin
Protestantism	Mótmælendatrú
Protist	Frumvera
Proton	Róteind
Prussia	Prússland
Pseudonym	Dulnefni
Pseudoscience	Hjáfræði
Psi (letter)	Psí
Psychoanalysis	Sálgreining
Psychology	Sálfræði
Psychology	Flokkur:Sálfræði
Ptolemaic dynasty	Ptolemajaríkið
Puerto Rico	Púertó Ríkó
Puerto Rico	Flokkur:Púertó Ríkó
Pulley	Talía
Punctuation	Greinarmerki
Pyongyang	Pjongjang
Pyramid	Pýramídi
Pyrenees	Pýreneafjöll
Pyrrhic victory	Pyrrosarsigur
Pythagoras	Pýþagóras
Python (programming language)	Python (forritunarmál)
Q	Q
Qatar	Katar
Qatar	Flokkur:Katar
Qing Dynasty	Kingveldið
Quadratic equation	Annars stigs jafna
Quantum mechanics	Skammtafræði
Quark	Kvarki
Quaternion	Fertölur
Quebec	Québec
Quechua	Quechua
Queens	Queens
Queensland	Queensland
Question mark	Spurningarmerki
Quito	Quito
R	R
RNA	Ríbósakjarnsýra
Ra	Ra
Rabat	Rabat
Rachel Carson	Rachel Carson
Racism	Kynþáttahyggja
Radio	Flokkur:Útvarp
Radioactive decay	Geislavirkni
Radiocarbon dating	C-14 aldursgreining
Radium	Radín
Radius	Geisli (rúmfræði)
Radon	Radon
Rain	Rigning
Rainbow	Regnbogi
Rainer Maria Rilke	Rainer Maria Rilke
Ramadan	Ramadan
Ramayana	Ramayana
Random access memory	RAM
Rape	Nauðgun
Rapeseed	Repja
Raphael	Raffaello Sanzio
Rational number	Ræðar tölur
Ratite	Strútar
Ravenna	Ravenna
Read-only memory	Lesminni
Real number	Rauntala
Recife	Recife
Rectangle	Rétthyrningur
Recursion	Endurkvæmt fall
Recycling	Endurvinnsla
Red	Rauður
Red Fox	Rauðrefur
Red Panda	Rauð panda
Red Sea	Rauðahaf
Red blood cell	Rauð blóðkorn
Referendum	Þjóðaratkvæðagreiðsla
Refugee	Flóttamaður
Reggae	Reggí
Reindeer	Hreindýr
Relativism	Afstæðishyggja
Religion	Trúarbrögð
Religion	Flokkur:Trúarbrögð
Rembrandt	Rembrandt
Renaissance	Endurreisnin
Reproduction	Æxlun
Reptile	Skriðdýr
Republic	Lýðveldi
Republic of China	Lýðveldið Kína
Republic of Ireland	Írska lýðveldið
Republic of Ireland	Flokkur:Írland
Republic of the Congo	Vestur-Kongó
Republic of the Congo	Flokkur:Vestur-Kongó
Republican Party (United States)	Repúblikanaflokkurinn
Respiratory system	Öndunarfæri
Restaurant	Veitingahús
Retinol	A-vítamín
Revolver	Sexhleypa
Rhenium	Renín
Rhetoric	Mælskufræði
Rhetoric	Flokkur:Mælskufræði
Rhine	Rín (fljót)
Rhinoceros	Nashyrningur
Rho (letter)	Hró
Rhode Island	Rhode Island
Rhode Island	Flokkur:Rhode Island
Rhodes	Ródos
Rhodium	Ródín
Rhyme	Rím
Rhythm	Taktur
Rhythm and blues	Ryþmablús
Rice	Hrísgrjón
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Wagner	Richard Wagner
Riga	Ríga
Rio de Janeiro	Rio de Janeiro
River	Á (landform)
River Thames	Thames
Riyadh	Ríad
Road	Vegur
Roald Amundsen	Roald Amundsen
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Schumann	Robert Schumann
Robin Hood	Hrói höttur
Rock	Steinn, skæri, blað
Rock (geology)	Berg
Rock and roll	Rokktónlist
Rock music	Rokk
Rock music	Flokkur:Rokk
Rocky Mountains	Klettafjöll
Rodent	Nagdýr
Roman Catholic Church	Rómversk-kaþólska kirkjan
Roman Empire	Rómverska keisaradæmið
Roman law	Rómarréttur
Roman mythology	Rómversk goðafræði
Roman mythology	Flokkur:Rómversk goðafræði
Romania	Rúmenía
Romania	Flokkur:Rúmenía
Romanticism	Rómantíkin
Rome	Róm
Rome	Flokkur:Róm
Ronald Reagan	Ronald Reagan
Rook (bird)	Bláhrafn
Rosa Parks	Rosa Parks
Rosaceae	Rósaætt
Rosales	Rósabálkur
Rose	Rós
Rotterdam	Rotterdam
Rubidium	Rúbidín
Rudolf Hess	Rudolf Hess
Rudyard Kipling	Rudyard Kipling
Rugby football	Ruðningur
Russia	Rússland
Russia	Flokkur:Rússland
Russian Revolution (1917)	Rússneska byltingin 1917
Ruthenium	Rúþen
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Rutherfordín
Rwanda	Rúanda
Rwanda	Flokkur:Rúanda
Rye	Rúgur
S	S
SOAP	SOAP
Sacramento	Sacramento
Saddam Hussein	Saddam Hussein
Sahara	Sahara
Saint	Dýrlingur
Saint Kitts and Nevis	Sankti Kristófer og Nevis
Saint Lucia	Sankti Lúsía
Saint Peter	Pétur postuli
Saint Petersburg	Sankti Pétursborg
Saint Vincent and the Grenadines	Sankti Vinsent og Grenadíneyjar
Saladin	Saladín
Saliva	Munnvatn
Salman Rushdie	Salman Rushdie
Salmonidae	Laxfiskaætt
Salt	Salt
Salt (chemistry)	Sölt
Salzburg	Salzburg
Salzburg (state)	Salzburg (fylki)
Samara	Samara
Samarkand	Samarkand
Samoa	Samóa
Samuel Beckett	Samuel Beckett
Samurai	Bushi
San Antonio	San Antonio
San Diego	San Diego
San Francisco	San Francisco
San Jose	San Jose
San Marino	San Marínó
San Marino	Flokkur:San Marínó
Sand	Sandur
Sandro Botticelli	Sandro Botticelli
Sandstone	Sandsteinn
Sandwich	Samloka
Sanskrit	Sanskrít
Santa Claus	Jólasveinn
Santiago	Santíagó
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santó Dómingó
Santos (Săo Paulo)	Santos
Sappho	Saffó
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevó
Sardinia	Sardinía
Saturday	Laugardagur
Saturn	Satúrnus (reikistjarna)
Saturn (disambiguation)	Satúrnus
Saturn (mythology)	Satúrnus (guð)
Satyr	Satýr
Saudi Arabia	Sádí-Arabía
Saudi Arabia	Flokkur:Sádí-Arabía
Scandinavia	Skandinavía
Scandinavian Peninsula	Skandinavíuskaginn
Scandium	Skandín
Schizophrenia	Geðklofi
Scholasticism	Skólaspeki
School	Skóli
Schutzstaffel	SS-sveitirnar
Science	Vísindi
Science	Flokkur:Vísindi
Scipio Africanus	Scipio Africanus
Scotland	Skotland
Scotland	Flokkur:Skotland
Scots Pine	Skógarfura
Scouting	Skátahreyfingin
Screw	Skrúfa
Scrotum	Pungur
Sculpture	Höggmyndalist
Sea	Sjór
Sea Otter	Sæotur
Sea level	Sjávarmál
Sea of Marmara	Marmarahaf
Sea urchin	Ígulker
Seaborgium	Seborgín
Season	Árstíð
Seattle	Seattle
Second	Sekúnda
Sect	Sértrúarsöfnuður
Sedimentary rock	Setberg
Segovia	Segóvía
Seismology	Jarðskjálftafræði
Seismology	Flokkur:Jarðskjálftafræði
Selene	Selena
Selenium	Selen
Semantics	Merkingarfræði
Semantics	Flokkur:Merkingarfræði
Semiconductor	Hálfleiðari
Semiotics	Táknfræði
Senegal	Senegal
Seoul	Seúl
Seppuku	Seppuku
September	September
September 11	11. september
September 11	Hryðjuverkin 11. september 2001
September 17	17. september
September 29	29. september
Sequence	Runa
Serbia	Serbía
Serbia	Flokkur:Serbía
Serbia and Montenegro	Serbía og Svartfjallaland
Sergei Eisenstein	Sergei Eisenstein
Sergei Rachmaninoff	Sergei Rachmaninoff
Series (mathematics)	Röð (stærðfræði)
Set	Mengi
Set theory	Mengjafræði
Set theory	Flokkur:Mengjafræði
Seville	Sevilla
Sex	Kynlíf
Sexism	Kynjamismunun
Sextant	Sextant
Sexually transmitted disease	Kynsjúkdómur
Seychelles	Seychelles-eyjar
Shahadah	Trúarjátning múslima
Shanghai	Sjanghæ
Shark	Háfiskar
Sheffield	Sheffield
Shetland	Hjaltlandseyjar
Shinto	Sjintóismi
Ship	Skip
Shiva	Síva
Shogi	Shōgi
Siberia	Síbería
Siberian Husky	Síberískur husky
Sicily	Sikiley
Siemens (unit)	Símens
Sierra Leone	Síerra Leóne
Sigma	Sigma
Sigmund Freud	Sigmund Freud
Sikhism	Síkismi
Silicon	Kísill
Silicon Valley	Silicon Valley
Silk	Silki
Silurian	Sílúrtímabilið
Silver	Silfur
Simone de Beauvoir	Simone de Beauvoir
Sinai Peninsula	Sínaískagi
Sinclair Lewis	Sinclair Lewis
Singapore	Singapúr
Singapore	Flokkur:Singapúr
Single (music)	Smáskífa
Sitting Bull	Sitjandi Naut
Skagerrak	Skagerrak
Skeletal system	Flokkur:Beinagrind
Skepticism	Efahyggja
Skin	Húð
Skopje	Skopje
Skull	Höfuðkúpa
Skyscraper	Skýjakljúfur
Slavery	Þrælahald
Sleep	Svefn
Slovakia	Slóvakía
Slovakia	Flokkur:Slóvakía
Slovenia	Slóvenía
Slovenia	Flokkur:Slóvenía
Small intestine	Mjógirni
Smolensk	Smolensk
Snake	Slöngur
Snow	Snjór
Soap	Sápa
Social psychology	Félagssálfræði
Socialism	Jafnaðarstefna
Socialism	Flokkur:Jafnaðarstefna
Society	Þjóðfélag
Sociology	Félagsfræði
Sociology	Flokkur:Félagsfræði
Socrates	Sókrates
Sodium	Natrín
Sodium chloride	Borðsalt
Sofia	Sófía
Software	Flokkur:Hugbúnaður
Soil	Jarðvegur
Solanaceae	Náttskuggaætt
Solanaceae	Flokkur:Náttskuggaætt
Solar System	Sólkerfið
Solar System	Flokkur:Sólkerfið
Solar energy	Sólarorka
Solid	Storkuhamur
Solid state	Storkuhamur
Solidarity	Samstaða
Solomon Islands	Salómonseyjar
Solon	Sólon
Somalia	Sómalía
Somalia	Flokkur:Sómalía
Somerset	Somerset
Song	Lag
Sonnet	Sonnetta
Sophocles	Sófókles
Sorghum	Dúrra
Sorting algorithm	Röðunarreiknirit
Soul	Sál
Sound	Hljóð
Soup	Súpa
South	Suður
South Africa	Flokkur:Suður-Afríka
South America	Suður-Ameríka
South Australia	Suður-Ástralía
South Carolina	Suður-Karólína
South China Sea	Suður-Kínahaf
South Dakota	Suður-Dakóta
South Korea	Suður-Kórea
South Korea	Flokkur:Suður-Kórea
South Pole	Suðurheimskautið
Southeast Asia	Suðaustur-Asía
Southern Hemisphere	Suðurhvel
Sovereignty	Fullveldi
Soviet Union	Sovétríkin
Soybean	Sojabaun
Spain	Spánn
Spain	Flokkur:Spánn
Spanish Civil War	Spænska borgarastyrjöldin
Spanish people	Flokkur:Spánverjar
Sparta	Sparta
Spear	Spjót
Special relativity	Takmarkaða afstæðiskenningin
Species	Tegund (líffræði)
Speed	Hraði
Speed of light	Ljóshraði
Spice	Krydd
Spider	Könguló
Spinach	Spínat
Spinal cord	Mæna
Spleen	Milta
Sponge	Svampdýr
Sport	Íþrótt
Spring (season)	Vor
Squamata	Hreisturdýr
Square (geometry)	Ferningur
Square metre	Fermetri
Square root	Ferningsrót
Sri Lanka	Srí Lanka
Sri Lanka	Flokkur:Srí Lanka
Stainless steel	Ryðfrítt stál
Stalinism	Stalínismi
Stanford University	Stanford-háskóli
Stanley Kubrick	Stanley Kubrick
Star	Sólstjarna
Starch	Sterkja
Starfish	Krossfiskar
State	Ríki
Staten Island	Staten Island
Statistical mechanics	Safneðlisfræði
Statistics	Tölfræði
Statistics	Flokkur:Tölfræði
Statue of Liberty	Frelsisstyttan
Stavanger	Stafangur
Steam engine	Gufuvél
Steel	Stál
Stefan Zweig	Stefan Zweig
Steven Spielberg	Steven Spielberg
Stock exchange	Hlutabréfamarkaður
Stockholm	Stokkhólmur
Stoicism	Stóuspeki
Stomach	Magi
Stone Age	Steinöld
Stonehenge	Stonehenge
Storm	Stormur
Strait	Sund
Strait of Gibraltar	Gíbraltarsund
Strait of Hormuz	Hormússund
Strait of Messina	Messínasund
Straits	Flokkur:Sund (landform)
Strasbourg	Strassborg
Stratigraphy	Jarðlagafræði
Stroke	Heilablóðfall
Strontium	Strontín
Stub	Snið:Stubbur
Student	Nemandi
Stupa	Stúpa
Stuttgart	Stuttgart
Styx	Styx (fljót)
Sub-Saharan Africa	Afríka sunnan Sahara
Submarine	Kafbátur
Subset	Hlutmengi
Subtraction	Frádráttur
Sucre	Súkre
Sucrose	Súkrósi
Sudan	Súdan
Suez Canal	Súesskurðurinn
Suffix	Viðskeyti
Sufism	Súfismi
Sugar	Matarsykur
Sulfur	Brennisteinn
Sulfuric acid	Brennisteinssýra
Sumer	Súmer
Summer	Sumar
Sun	Sólin
Sunday	Sunnudagur
Sunni Islam	Súnní
Suriname	Súrínam
Surrey	Surrey
Svalbard	Svalbarði
Swaziland	Svasíland
Sweden	Svíþjóð
Sweden	Flokkur:Svíþjóð
Sweet potato	Sætar kartöflur
Swimming	Sund (hreyfing)
Swimming	Flokkur:Sund (hreyfing)
Swiss people	Flokkur:Svisslendingar
Switzerland	Sviss
Switzerland	Flokkur:Sviss
Sword	Sverð
Sydney	Sydney
Sylvia Plath	Sylvia Plath
Symbiosis	Samlífi
Symphony	Sinfónía
Synagogue	Sýnagóga
Synesthesia	Samskynjun
Synonym	Samheiti
Syntax	Setningafræði
Syphilis	Sárasótt
Syria	Sýrland
Syria	Flokkur:Sýrland
T	T
T. S. Eliot	T. S. Eliot
Tacitus	Tacítus
Taekwondo	Taekwondo
Tagus	Tagus
Taipei	Taípei
Taiwan	Tævan
Taj Mahal	Taj Mahal
Tajikistan	Tadsjikistan
Tajikistan	Flokkur:Tadsjikistan
Taliban	Talíbanar
Tallinn	Tallinn
Talmud	Talmúd
Tampere	Tampere
Tanakh	Tanakh
Tang Dynasty	Tangveldið
Tank	Skriðdreki
Tantalum	Tantal
Tanzania	Tansanía
Tanzania	Flokkur:Tansanía
Taoism	Taóismi
Tashkent	Taskent
Tasmania	Tasmanía
Tasmanian Devil	Tasmaníuskolli
Tau	Tá (bókstafur)
Tax	Skattur
Taxation	Flokkur:Sköttun
Taxus baccata	Ýviður
Tbilisi	Tíblisi
Tea	Te
Tea	Flokkur:Te
Technetium	Teknetín
Technology	Tækni
Tegucigalpa	Tegucigalpa
Tehran	Teheran
Tel Aviv	Tel Avív
Telecommunication	Fjarskipti
Telegraphy	Ritsími
Telephone	Sími
Television	Sjónvarp
Television	Flokkur:Sjónvarp
Tellurium	Tellúr
Temperature	Hiti
Ten Commandments	Boðorðin tíu
Tenerife	Tenerífe
Tennessee	Tennessee
Tennessee	Flokkur:Tennessee
Tennis	Tennis
Tenor	Tenór
Tenzing Norgay	Tenzing Norgay
Terrorism	Hryðjuverk
Terrorism	Flokkur:Hryðjuverk
Tesla (unit)	Tesla
Testicle	Eista
Tetrapod	Ferfætlingar
Texas	Texas
Texas	Flokkur:Texas
Thailand	Taíland
Thailand	Flokkur:Taíland
Thales	Þales
Thallium	Þallín
The Gambia	Gambía
The Gambia	Flokkur:Gambía
The Hague	Haag
The Star-Spangled Banner	The Star-Spangled Banner
Theatre	Leiklist
Themistocles	Þemistókles
Theocracy	Guðveldi
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Theology	Guðfræði
Theology	Flokkur:Guðfræði
Theorem	Setning (stærðfræði)
Theory	Kenning
Theory of relativity	Afstæðiskenningin
Thermodynamics	Varmafræði
Thermodynamics	Flokkur:Varmafræði
Theseus	Þeseifur
Thessaloniki	Þessaloniki
Thessaly	Þessalía
Theta	Þeta
Thiamine	B1-vítamín
Thirty Years' War	Þrjátíu ára stríðið
Thomas Aquinas	Tómas af Aquino
Thomas Edison	Thomas Alva Edison
Thomas Hardy	Thomas Hardy
Thomas Hobbes	Thomas Hobbes
Thomas Jefferson	Thomas Jefferson
Thomas Mann	Thomas Mann
Thomas Paine	Thomas Paine
Thor	Þór (norræn goðafræði)
Thought	Hugsun
Thrace	Þrakía
Thucydides	Þúkýdídes
Thulium	Túlín
Thursday	Fimmtudagur
Tiberius	Tíberíus
Tide	Sjávarföll
Tigris	Tígris
Timbuktu	Timbúktú
Time	Tími
Time	Flokkur:Tími
Time zone	Tímabelti
Timur	Tímúr
Tin	Tin
Tirana	Tírana
Tissue (biology)	Vefur
Titanic (disambiguation)	Titanic (aðgreining)
Titanium	Títan
Titus	Títus
Tivoli	Tívolí (Ítalíu)
Tobacco	Tóbak
Tofu	Tófú
Togo	Tógó
Togo	Flokkur:Tógó
Tokyo	Tókýó
Tom Hanks	Tom Hanks
Tomato	Tómatur
Tonga	Tonga
Tonga	Flokkur:Tonga
Toni Morrison	Toni Morrison
Tony Blair	Tony Blair
Tool	Verkfæri
Tooth	Tönn
Topology	Grannfræði
Topology	Flokkur:Grannfræði
Torah	Torah
Tornado	Hvirfilbylur
Toronto	Torontó
Totalitarianism	Alræði
Toulouse	Toulouse
Tourism	Ferðaþjónusta
Tourism	Flokkur:Ferðamennska
Tower	Turn
Town	Bær
Toy	Leikfang
Toyota	Toyota
Trade union	Stéttarfélag
Trademark	Vörumerki
Train	Járnbrautarlest
Trajan	Trajanus
Transformer	Spennubreytir
Transistor	Smári (rafeindafræði)
Transmission Control Protocol	TCP
Transportation	Flokkur:Samgöngur
Transylvania	Transylvanía
Treaty	Þjóðréttarsamningur
Treaty of Versailles	Versalasamningurinn
Tree	Tré
Trenton	Trenton (New Jersey)
Triangle	Þríhyrningur
Triassic	Trías
Tributary	Þverá
Trigonometric function	Hornafall
Trigonometry	Hornafall
Trinidad and Tobago	Trínidad og Tóbagó
Trinidad and Tobago	Flokkur:Trínidad og Tóbagó
Trinity	Heilög þrenning
Tripoli	Trípólí
Trojan Horse	Trójuhestur
Trojan War	Trójustríðið
Trondheim	Þrándheimur
Trotskyism	Trotskíismi
Troy	Trója
Truck	Vörubíll
Trumpet	Trompet
Truth	Sannleikur
Tsunami	Flóðbylgja
Tuber (genus)	Jarðsveppur
Tuberculosis	Berklar
Tuesday	Þriðjudagur
Tundra	Freðmýri
Tungsten	Volfram
Tunis	Túnis (borg)
Tunisia	Túnis
Tunisia	Flokkur:Túnis
Tunnel	Jarðgöng
Turin	Tórínó
Turkey	Tyrkland
Turkey	Flokkur:Tyrkland
Turkmenistan	Túrkmenistan
Turkmenistan	Flokkur:Túrkmenistan
Turtle	Skjaldbökur
Tuscany	Toskana
Tuvalu	Túvalúeyjar
Tuvalu	Flokkur:Túvalúeyjar
Tycho Brahe	Tycho Brahe
Typography	Týpógrafía
Typography	Flokkur:Týpógrafía
Tyrannosaurus	Grameðla
Tyre	Týros
Tyrol (state)	Tirol
Tyrrhenian Sea	Tyrrenahaf
U	U
UNESCO	Mennta-, vísinda- og menningarstofnun Sameinuðu þjóðanna
Ufa	Ufa
Uganda	Úganda
Uganda	Flokkur:Úganda
Ukraine	Úkraína
Ukraine	Flokkur:Úkraína
Ulan Bator	Úlan Bator
Ultraviolet	Útfjólublátt ljós
Ulysses S. Grant	Ulysses S. Grant
Umbrella	Regnhlíf
Umbria	Úmbría
Unicorn	Einhyrningur (dýr)
Unidentified flying object	Fljúgandi furðuhlutur
Uniform Resource Locator	Veffang
Union (set theory)	Sammengi
United Arab Emirates	Sameinuðu arabísku furstadæmin
United Arab Emirates	Flokkur:Sameinuðu arabísku furstadæmin
United Kingdom	Bretland
United Kingdom	Flokkur:Bretland
United Nations	Sameinuðu þjóðirnar
United Nations	Flokkur:Sameinuðu þjóðirnar
United Nations Children's Fund	Barnahjálp Sameinuðu þjóðanna
United States	Bandaríkin
United States	Flokkur:Bandaríkin
United States Congress	Bandaríkjaþing
United States Constitution	Stjórnarskrá Bandaríkjanna
United States Senate	Öldungadeild Bandaríkjaþings
United States Virgin Islands	Bandarísku Jómfrúaeyjar
United States dollar	Bandaríkjadalur
Universe	Alheimurinn
University	Háskóli
University of Chicago	Chicago-háskóli
University of Pennsylvania	Pennsylvaníuháskóli
Unix	Unix
Unix	Flokkur:Unix
Upanishad	Upanishad
Uppsala	Uppsalir
Upsilon	Upsílon
Ural Mountains	Úralfjöll
Uranium	Úran
Uranus	Úranus (reikistjarna)
Urea	Þvagefni
Uruguay	Úrúgvæ
Uruguay	Flokkur:Úrúgvæ
Utah	Utah
Utah	Flokkur:Utah
Utilitarianism	Nytjastefna
Uzbekistan	Úsbekistan
Uzbekistan	Flokkur:Úsbekistan
V	V
Vacuum	Lofttæmi
Vaduz	Vaduz
Vagina	Leggöng
Valence (chemistry)	Eingildi
Valletta	Valletta
Vampire	Vampíra
Vanadium	Vanadín
Vanir	Vanir
Vanuatu	Vanúatú
Vanuatu	Flokkur:Vanúatú
Varna	Varna
Vatican City	Vatíkanið
Vatican City	Flokkur:Vatíkanið
Vector (spatial)	Vigur (stærðfræði)
Vegetable	Grænmeti
Vegetarianism	Grænmetishyggja
Vein	Bláæð
Velociraptor	Snareðla
Velocity	Hraði
Veneto	Venetó
Venezuela	Venesúela
Venezuela	Flokkur:Venesúela
Venice	Feneyjar
Venus	Venus (reikistjarna)
Venus (disambiguation)	Venus
Verb	Sagnorð
Vermont	Vermont
Versailles	Versalir
Vertebral column	Hryggsúla
Vertebrate	Hryggdýr
Vespasian	Vespasíanus
Vice President of the United States	Varaforseti Bandaríkjanna
Victor Hugo	Victor Hugo
Victoria (Australia)	Victoria
Victoria Falls	Viktoríufossar
Video	Myndband
Video game	Tölvuleikur
Vienna	Vín (Austurríki)
Vientiane	Vientiane
Vietnam	Víetnam
Vietnam	Flokkur:Víetnam
Vietnam War	Víetnamstríðið
Vietnam War	Flokkur:Víetnamstríðið
Viking	Víkingar
Vilnius	Vilníus
Vincent van Gogh	Vincent van Gogh
Viola	Víóla
Violin	Fiðla
Virgil	Virgill
Virgin Islands	Jómfrúaeyjar
Virginia	Virginía (fylki)
Virginia	Flokkur:Virginía
Virginia Woolf	Virginia Woolf
Virtue	Dygð
Virus	Veira
Viscosity	Seigja
Vishnu	Visnjú
Vistula	Visla
Vitamin	Vítamín
Vitamin A	A-vítamín
Vitamin K	K-vítamín
Vitus Bering	Vitus Bering
Vladimir Lenin	Vladímír Lenín
Vladimir Nabokov	Vladimir Nabokov
Vladimir Putin	Vladímír Pútín
Vladivostok	Vladivostok
Vocative case	Ávarpsfall
Vodka	Vodka
Volcano	Eldstöð
Volcanology	Flokkur:Eldfjallafræði
Volga River	Volga
Volleyball	Blak
Volt	Volt
Voltage	Rafspenna
Voltaire	Voltaire
Vomiting	Uppköst
Vulcan (mythology)	Vulcanus
W	W
WYSIWYG	WYSIWYG
Wake Island	Varsímaeyja
Wales	Wales
Wales	Flokkur:Wales
Walrus	Rostungur
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
War	Stríð
Warsaw	Varsjá
Wart	Varta
Washington	Washington (borg)
Washington	Washington (fylki)
Washington	Flokkur:Washingtonfylki
Washington (disambiguation)	Washington
Water	Vatn
Water polo	Sundknattleikur
Waterfall	Foss
Watergate scandal	Watergate-hneykslið
Watt	Vatt
Watt-hour	Kílóvattstund
Wavelength	Bylgjulengd
Wax	Vax
Weapon	Vopn
Weather	Veður
Web browser	Vafri
Web page	Vefsíða
Weber (unit)	Veber (SI-mælieining)
Wednesday	Miðvikudagur
Week	Vika
Weight	Þyngd
Weimar Republic	Weimar lýðveldið
Wellington	Wellington
West	Vestur
West Africa	Vestur-Afríka
West Bank	Vesturbakkinn
West Germany	Vestur-Þýskaland
West Sussex	Vestur-Sussex
West Virginia	Vestur-Virginía
West Virginia	Flokkur:Vestur-Virginía
Western Australia	Vestur-Ástralía
Western Roman Empire	Vestrómverska keisaradæmið
Western Sahara	Vestur-Sahara
Western Sahara	Flokkur:Vestur-Sahara
Whale	Hvalur
Wheat	Hveiti
Wheel	Hjól
White Sea	Hvítahaf
White blood cell	Hvít blóðkorn
White dwarf	Hvítur dvergur
Wicca	Wicca
Wide area network	Víðnet
Wiesbaden	Wiesbaden
Wildcat	Villiköttur
Will (law)	Erfðaskrá
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Golding	William Golding
William Henry Harrison	William Henry Harrison
William Howard Taft	William Howard Taft
William II	Vilhjálmur 2. Þýskalandskeisari
William James	William James
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Wordsworth	William Wordsworth
Wind instrument	Blásturshljóðfæri
Wind power	Vindorka
Windhoek	Windhoek
Windmill	Vindmylla
Window	Gluggi
Wine	Vín
Winston Churchill	Winston Churchill
Winter	Vetur
Winter Olympic Games	Flokkur:Vetrarólympíuleikar
Wisconsin	Wisconsin
Wisconsin	Flokkur:Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Woman	Kona
Wood	Viður
Woodrow Wilson	Woodrow Wilson
Woodwind instrument	Tréblásturshljóðfæri
Woody Allen	Woody Allen
Worcestershire	Worcestershire
Word	Orð
World Health Organization	Alþjóða heilbrigðisstofnunin
World Meteorological Organization	Alþjóða veðurfræðistofnunin
World Trade Center	World Trade Center
World Trade Organization	Alþjóðaviðskiptastofnunin
World War I	Fyrri heimsstyrjöldin
World War I	Flokkur:Fyrri heimsstyrjöldin
World War II	Seinni heimsstyrjöldin
World War II	Flokkur:Seinni heimsstyrjöldin
World Wide Web	Veraldarvefurinn
World Wide Web	Flokkur:Veraldarvefurinn
Wyoming	Wyoming
X	X
X-ray	Röntgengeislun
Xenon	Xenon
Xenophanes	Xenofanes
Xenophon	Xenofon
Xi	Xí
Y	Y
Yale University	Yale-háskóli
Yangtze River	Jangtse
Yasser Arafat	Yasser Arafat
Year	Ár
Years	Flokkur:Ár
Yellow	Gulur
Yellowstone National Park	Yellowstone-þjóðgarðurinn
Yemen	Jemen
Yerevan	Jerevan
Yggdrasil	Askur Yggdrasils
Yoga	Jóga
Yoko Ono	Yoko Ono
York	York
Ytterbium	Ytterbín
Yttrium	Yttrín
Yuan Dynasty	Júanveldið
Yugoslavia	Júgóslavía
Yugoslavia	Flokkur:Júgóslavía
Yuri Gagarin	Júrí Gagarín
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Zambezi	Sambesí
Zambia	Sambía
Zambia	Flokkur:Sambía
Zanzibar	Sansibar
Zaragoza	Zaragoza
Zealand	Sjáland
Zenith	Hvirfilpunktur
Zeno of Citium	Zenon frá Kítíon
Zeno of Elea	Zenon frá Eleu
Zeta	Zeta
Zeus	Seifur
Zimbabwe	Simbabve
Zimbabwe	Flokkur:Simbabve
Zinc	Sink
Zionism	Zíonismi
Zirconium	Sirkon
Zombie	Uppvakningur
Zoology	Dýrafræði
Zoology	Flokkur:Dýrafræði
Zoroaster	Saraþústra
Zoroastrianism	Sóróismi
