Croatian	English
Billy Wilder	Billy Wilder
Biokemija	Biochemistry
Kategorija:Biokemija	Biochemistry
Biogeografija	Biogeography
Životopis	Biography
Portal:Biografije	Biography
Biologija	Biology
Kategorija:Biologija	Biology
Portal:Biologija	Biology
Biotehnologija	Biotechnology
Biotin	Biotin
Bipolarni afektivni poremećaj	Bipolar disorder
Ptice	Bird
Birmingham, Alabama	Birmingham
Biseksualnost	Bisexuality
Biškek	Bishkek
Biskup	Bishop
Lovac (šah)	Bishop (chess)
Bismarck (razdvojba)	Bismarck (disambiguation)
Bizmut	Bismuth
Bissau	Bissau
Bit	Bit
Školjkaši	Bivalvia
Crna	Black
Doba kuge	Black Death
Schwarzwald	Black Forest
Crno more	Black Sea
Crna roda	Black Stork
Crno tijelo	Black body
Crna rupa	Black hole
Kos	Blackbird
Blaise Pascal	Blaise Pascal
Blender	Blender (software)
Sljepoća	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Krv	Blood
Krvna plazma	Blood plasma
Krvni tlak	Blood pressure
Krvne žile	Blood vessel
Plava	Blue
Plavi kit	Blue Whale
Blues	Blues
Divlja svinja	Boar
Igre na ploči	Board game
Čamac	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Robert Fischer	Bobby Fischer
Bob	Bobsleigh
Indeks tjelesne mase	Body mass index
Body building	Bodybuilding
Češka (povijesna pokrajina)	Bohemia
Bohrij	Bohrium
Vrelište	Boiling point
Bolivija	Bolivia
Kategorija:Bolivija	Bolivia
Bologna	Bologna
Boljševizam	Bolshevik
Bozen	Bolzano
Bomba	Bomb
Bombarder	Bomber
Obveznica	Bond (finance)
Kosti	Bone
Koštana srž	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Knjiga	Book
Jošua (knjiga)	Book of Joshua
Knjiga o Sucima	Book of Judges
Knjiga Brojeva	Book of Numbers
Otkrivenje	Book of Revelation
Ruta (knjiga)	Book of Ruth
Booleova algebra	Boolean algebra (structure)
Bumerang	Boomerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov
Boris Pasternak	Boris Pasternak
Borneo	Borneo
Bor (element)	Boron
Bosna i Hercegovina	Bosnia and Herzegovina
Kategorija:Bosna i Hercegovina	Bosnia and Herzegovina
Bozoni	Boson
Bospor	Bosporus
Boston, Massachusetts	Boston
Bostonska čajanka	Boston Tea Party
Botanički vrt	Botanical garden
Botanika	Botany
Kategorija:Botanika	Botany
Bocvana	Botswana
Kategorija:Bocvana	Botswana
Boca	Bottle
Dobri dupin	Bottlenose Dolphin
Burgundija	Bourgogne
Otok Bouvet	Bouvet Island
Šupljorošci	Bovid
Luk (oružje)	Bow (weapon)
Kuglanje	Bowling
Kategorija:Boksači	Boxers
Boks	Boxing
Kategorija:Boks	Boxing
Boyle-Mariotteov zakon	Boyle's law
Zagrade	Bracket
Brahma	Brahma
Brailleovo pismo	Braille
Ljudski mozak	Brain
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Mjed	Brass
Bratislava	Bratislava
Brazil	Brazil
Kategorija:Brazil	Brazil
Brazzaville	Brazzaville
Kruh	Bread
Dojka	Breast
Rak dojke	Breast cancer
Bremen	Bremen
Bremen (pokrajina)	Bremen (state)
Bretanja	Bretagne
Most	Bridge
Kategorija:Mostovi	Bridges
Bridgetown	Bridgetown
Brigada	Brigade
Britanska Kolumbija	British Columbia
Britansko Carstvo	British Empire
Britanski otoci	British Isles
Britanski Djevičanski otoci	British Virgin Islands
Kategorija:Biografije, Ujedinjeno Kraljevstvo	British people
Brno	Brno
Brom	Bromine
Bronca	Bronze
Brončano doba	Bronze Age
Brooklyn	Brooklyn
Mrki medvjed	Brown Bear
Brownovo gibanje	Brownian motion
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunej	Brunei
Kategorija:Brunej	Brunei
Bruxelles	Brussels
Kuga	Bubonic plague
Bukurešt	Bucharest
Buckinghamska palača	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Heljda	Buckwheat
Budimpešta	Budapest
Buda	Buddha
Budizam	Buddhism
Kategorija:Budizam	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bugarska	Bulgaria
Kategorija:Bugarska	Bulgaria
Bumbari	Bumblebee
Arhimedov zakon	Buoyancy
Burkina Faso	Burkina Faso
Kategorija:Burkina Faso	Burkina Faso
Mjanma	Burma
Kategorija:Mianmar	Burma
Kategorija:Burundi	Burundi
Autobus	Bus
Sabirnica	Bus (computing)
Buster Keaton	Buster Keaton
Butan (alkan)	Butane
Bydgoszcz	Bydgoszcz
Bajt	Byte
Kategorija:Bizant	Byzantine Empire
C	C
C (programski jezik)	C (programming language)
C. S. Lewis	C. S. Lewis
CHAOS	CHAOS (Linux distribution)
COBOL	COBOL
Kakaovac	Cacao
Priručna memorija	Cache
Kaktusi	Cactus
Kadmij	Cadmium
Dlijeto (zviježđe)	Caelum
Cezij	Caesium
Kofein	Caffeine
Kairo	Cairo
Kolač	Cake
Kalabrija	Calabria
Calais	Calais
Kalcit	Calcite
Kalcij	Calcium
Kalkulator	Calculator
Kalendar	Calendar
Kalibar	Caliber
Kalifornija	California
Kategorija:Kalifornija	California
Kalifornij	Californium
Kaligula	Caligula
Kalif	Caliph
Kalifat	Caliphate
Kaliopa	Calliope
Kalista (mjesec)	Callisto (moon)
