English	Basque
Gobi Desert	গোবি মরুভূমি
God	ঈশ্বর
Golan Heights	গোলান মালভূমি
Gold	সোনা
Golf	গল্‌ফ
Google	গুগল অনুসন্ধান
Gorilla	গরিলা
Government	সরকার
Graham Greene	গ্রাহাম গ্রীন
Grammar	ব্যাকরণ
Granada	গ্রানাডা
Grand Canyon	গ্র্যান্ড ক্যানিয়ন
Grandmaster (chess)	আন্তর্জাতিক গ্র্যান্ড মাস্টার (দাবা)
Gravitation	মহাকর্ষ
Gravitational constant	মহাকর্ষ ধ্রুবক
Great Barrier Reef	গ্রেট ব্যারিয়ার রিফ
Great Rift Valley	গ্রেট রীফট্‌ ভ্যালি
Great Wall of China	চীনের মহাপ্রাচীর
Greece	গ্রীস
Greek alphabet	গ্রিক বর্ণমালা
Greenhouse effect	গ্রীন হাউজ প্রতিক্রিয়া
Greenland	গ্রিনল্যান্ড
Gregor Mendel	গ্রেগর ইয়োহান মেন্ডেল
Gregorian calendar	গ্রেগরিয়ান বর্ষপঞ্জী
Grover Cleveland	গ্রোভার ক্লিভ্‌ল্যান্ড
Grus (constellation)	সারস মণ্ডল
Guadeloupe	গুয়াদ্যলুপ
Guam	গুয়াম
Guatemala City	গুয়াতেমালা সিটি
Guglielmo Marconi	গুলিয়েলমো মার্কোনি
Guinea	গিনি
Guinea-Bissau	গিনি-বিসাউ
Guitar	গীটার
Gujarat	গুজরাট
Gulf of Bothnia	বথনিয়া উপসাগর
Gunpowder Plot	গানপাউডার প্লট
Gustav Ludwig Hertz	গুস্টাফ লুটভিগ হের্ৎস
Guy de Maupassant	গি দ্য মোপাসঁ
Gynaecology	স্ত্রীরোগবিদ্যা
H. G. Wells	এইচ জি ওয়েল্‌স
HIV	এইচআইভি
HTML	হাইপার টেক্সট মার্ক আপ ল্যাঙ্গুয়েজ
Hades	হেডিস
Hadith	হাদিস
Hadron	হ্যাড্রন
Haemophilia	হিমোফিলিয়া
Hafnium	হ্যাফনিয়াম
Haiku	হাইকু
Haiti	হাইতি
Hajj	হজ্জ
Halogen	হ্যালোজেন
Hanging Gardens of Babylon	ব্যাবিলনের শূন্য উদ্যান
Hannibal	হ্যানিবল
Hanoi	হ্যানয়
Hans Bethe	হান্স বেটে
Hans Christian Andersen	হান্স ক্রিশ্চিয়ান এন্ডারসন
Harold Pinter	হ্যারল্ড পিন্টার
Hassium	হাসিয়াম
Hawaii	হাওয়াই
Health	স্বাস্থ্য
Heart	হৃৎপিন্ড
Hebrew alphabet	হিব্রু বর্ণমালা
Heinrich Hertz	হাইন্‌রিশ হের্ৎস
Helen	হেলেন
Helium	হিলিয়াম
Helsinki	হেলসিঙ্কি
Hematology	রক্তবিদ্যা
Hemoglobin	হিমোগ্লোবিন
Henri Becquerel	অঁতোয়ান অঁরি বেক্যরেল
Henri Matisse	অঁরি মাতিস
Henrik Ibsen	হেনরিক ইবসেন
Henry James	হেনরি জেমস
Hephaestus	হেফেস্টাস
Hera	হেরা
Herbert Hoover	হার্বার্ট হুভার
Hercules	হারকিউলিস
Hercules (constellation)	হারকিউলিস মণ্ডল
Hermann Hesse	হেরমান হেস
Hermes	হার্মিস
Herodotus	হিরোডোটাস
Hestia	হেস্টিয়া
Hideki Yukawa	হিদেকি ইউকাওয়া
Hilbert space	হিলবার্ট জগৎ
Himalayas	হিমালয় পর্বতমালা
Hinduism	হিন্দু ধর্ম
Hinduism	Category:হিন্দু ধর্ম
Hippocrates	হিপোক্রেটিস
Hippopotamus	জলহস্তী
Historiography	ইতিহাস লিখনধারা
History	ইতিহাস
Hobby	শখ
Hokusai	হোকুসাই
Hollywood	হলিউড
Holmium	হলমিয়াম
Homeopathy	হোমিওপ্যাথি
Homer	হোমার
Honey	মধু
Hong Kong	হংকং
Horse	ঘোড়া
Hosni Mubarak	হোসনি মুবারক
House	ঘর
Hudson River	হাডসন নদী
Human	মানুষ
Humanism	মানবতাবাদ
Humerus	প্রগণ্ডাস্থি
Humidity	আর্দ্রতা
Humour	হাস্যরস
Hungary	হাঙ্গেরি
Hutu	হুটু
Hyderabad	হায়দ্রাবাদ
Hydra (constellation)	হ্রদসর্প মণ্ডল
Hydrogen	হাইড্রোজেন
Hydrosphere	জলমণ্ডল
Hydrus	হ্রদ মণ্ডল
Hyena	হায়েনা
Hypertext Transfer Protocol	হাইপার টেক্সট ট্রান্সফার প্রোটোকল
Ice cream	আইসক্রিম
Iceland	আইসল্যান্ড
Idaho	আইডাহো
Igloo	ইগলু
Igor Stravinsky	ইগর স্ট্রাভিনস্কি
Iguazu Falls	ইগুয়াসু জলপ্রপাত
Iliad	ইলিয়াড
Illinois	ইলিনয়
Image scanner	ইমেজ স্ক্যানার
Immanuel Kant	ইমানুয়েল কান্ট
Immune system	অনাক্রম্যতন্ত্র
Impressionism	ইমপ্রেশনিজ্‌ম
India	ভারত
India	Category:ভারত
Indian Ocean	ভারত মহাসাগর
Indiana	ইন্ডিয়ানা
Indira Gandhi	ইন্দিরা গান্ধী
Indium	ইন্ডিয়াম
Indonesia	ইন্দোনেশিয়া
Indus (constellation)	সিন্ধু মণ্ডল
Indus River	সিন্ধু নদী
Industry	শিল্প কারখানা
Inequality	অসমতা
Infectious disease	সংক্রামক ব্যাধি
Infinity	অসীম
Inflation	মুদ্রাস্ফীতি
Information	তথ্য
Infrared	অবলোহিত বিকিরণ
Ingmar Bergman	ইংমার বারিমান
Integer	পূর্ণ সংখ্যা
Integrated circuit	সমন্বিত বর্তনী
International Atomic Energy Agency	আন্তর্জাতিক পরমাণু শক্তি সংস্থা
International Court of Justice	আন্তর্জাতিক ন্যায়বিচার আদালত
International Monetary Fund	আন্তর্জাতিক অর্থ তহবিল
International System of Units	এস্‌আই একক
Internet	ইন্টারনেট
Internet Explorer	ইন্টারনেট এক্সপ্লোরার
Iodine	আয়োডিন
Ion	আয়ন
Iowa	আইওয়া
Iran	ইরান
Iran	Category:ইরান
Iran-Iraq War	ইরান-ইরাক যুদ্ধ
Iraq	ইরাক
Ireland	আয়ারল্যান্ড
Iridium	ইরিডিয়াম
Iris (anatomy)	আইরিস (শারীরবিদ্যা)
Iron	লোহা
Iron Age	লৌহ যুগ
Iron Maiden	আয়রন মেইডেন
Irrational number	অমূলদ সংখ্যা
Isaac Asimov	আইজাক আসিমভ
Isaac Newton	আইজাক নিউটন
Isis	আইসিস
Islam	ইসলাম
Islamabad	ইসলামাবাদ
Islamic calendar	ইসলামি বর্ষপঞ্জি
Isle of Man	আইল অফ ম্যান
Israel	ইসরায়েল
Istanbul	ইস্তানবুল
Italy	ইতালি
Jack the Ripper	জ্যাক দা রিপার
Jacques Cartier	জাক কার্তিয়ে
Jaguar	জাগুয়ার
Jainism	জৈন ধর্ম
Jakarta	জাকার্তা
Jalalabad	জালালাবাদ
Jamaica	জামাইকা
James A. Garfield	জেমস গারফিল্ড
James Buchanan	জেমস বিউকানান
James Clerk Maxwell	জেম্‌স ক্লার্ক ম্যাক্সওয়েল
James Cook	জেমস কুক
James Franck	জেম্‌স ফ্রাংক
James Joyce	জেমস জয়েস
James K. Polk	জেমস নক্স পোক্‌
James Madison	জেমস ম্যাডিসন
James Monroe	জেমস মন্‌রো
Jammu and Kashmir	জম্মু ও কাশ্মীর
Jane Austen	জেন অস্টেন
January	জানুয়ারি
January 1	জানুয়ারি ১
January 19	জানুয়ারি ১৯
January 20	জানুয়ারি ২০
January 6	জানুয়ারি ৬
Japan	জাপান
Java	জাভা দ্বীপ
Java (disambiguation)	জাভা (দ্ব্যর্থতা নিরসন)
Java (programming language)	জাভা (প্রোগ্রামিং ভাষা)
Jawaharlal Nehru	জওহরলাল নেহ্‌রু
Jazz	জ্যাজ সঙ্গীত
Jean-Jacques Rousseau	জঁ-জাক রুসো
Jean-Paul Sartre	জঁ-পল সার্ত্র্‌
Jellyfish	জেলিফিশ
Jerusalem	জেরুসালেম
Jesus	যিশু
Jew	ইহুদি
Jimmy Carter	জিমি কার্টার
Joan of Arc	জোন অফ আর্ক
Johann Bernoulli	ইয়োহান বার্নুয়ি
Johann Sebastian Bach	ইয়োহান সেবাস্টিয়ান বাখ
Johann Wolfgang von Goethe	ইয়োহান ভল্‌ফগাং ফন গোটে
Johannes Diderik van der Waals	ইয়োহানেস ডিডেরিক ফান ডার ভাল্‌স
Johannes Kepler	ইয়োহানেস কেপলার
Johannes Vilhelm Jensen	ইয়োহানেস ইয়েনসেন
John Adams	জন অ্যাডাম্‌স
John Bardeen	জন বারডিন
John Lennon	জন লেনন
John Locke	জন লক
John Major	জন মেজর
John Milton	জন মিলটন
John Quincy Adams	জন কুইন্সি এডাম্‌স
John Steinbeck	জন স্টাইন্‌বেক্‌
John Tyler	জন টাইলার
John Wayne	জন ওয়েইন
John von Neumann	জন ভন নিউম্যান
Jordan	জর্দান
Jordan River	জর্দান নদী
Joseph Schumpeter	জোসেফ শুম্পটার
Joseph Stalin	জোসেফ স্টালিন
Joule	জুল
Judaism	ইহুদি ধর্ম
Jules Verne	জুল ভার্ন
Julius Caesar	জুলিয়াস সিজার
July	জুলাই
July 1	জুলাই ১
June	জুন
June 14	জুন ১৪
June 21	জুন ২১
June 23	জুন ২৩
June 24	জুন ২৪
June 29	জুন ২৯
June 3	জুন ৩
Juno (mythology)	ইউনো
Jupiter	জুপিটার
K2	কে২
Kaaba	কাবা
Kabul	কাবুল
Kalahari Desert	কালাহারি মরুভূমি
Kandahar	কান্দাহার প্রদেশ
Kangaroo	ক্যাংগারু
Kansas	ক্যানসাস
Karachi	করাচী
Karl Marx	কার্ল মার্ক্স্
Karl Popper	কার্ল পপার
Karnataka	কর্ণাটক
Kathmandu	কাঠমান্ডু
Kazakhstan	কাজাখস্তান
Kelvin	কেলভিন
Kentucky	কেন্টাকি
Kenya	কেনিয়া
Kernel (computer science)	কার্নেল
Khan	খান
Khufu	খুফু
Kidney	বৃক্ক
Kiev	কিয়েভ
Kilogram	কিলোগ্রাম
Kilometre	কিলোমিটার
Kimono	কিমোনো
Kiribati	কিরিবাস
Kite	ঘুড়ি
Knowledge	জ্ঞান
Koala	কোয়ালা
Kolkata	কলকাতা
Kosovo	কসোভো
Krakatoa	ক্রাকাতোয়া
Krishna	কৃষ্ণ
Krypton	ক্রিপটন
Kuala Lumpur	কুয়ালালামপুর
Kublai Khan	কুবলাই খান
Kurdistan Workers Party	পার্তিয়া কারকেরেন কুর্দিস্তান
Kurt Waldheim	কার্ট ওয়াল্ডহেইম
Kuwait	কুয়েত
Kuwait City	কুয়েত সিটি
KwaZulu-Natal	কোয়া-জুলু নাটাল প্রদেশ
Kyrgyzstan	কিরগিজিস্তান
LAMP (software bundle)	ল্যাম্প (সফটওয়্যার গুচ্ছ)
La Plata	লা প্লাতা
LaTeX	ল্যাটেক
Lacerta	গোধা মণ্ডল
Lagos	লেগোস
Lake	হ্রদ
Lake Baikal	বৈকাল হ্রদ
Lake Eyre	আয়ার হ্রদ
Lake Michigan	লেক মিশিগান
Landfill	আবর্জনাভূমি
Language	ভাষা
Lanthanum	ল্যান্থানাম
Laos	লাওস
Laptop	ল্যাপটপ কম্পিউটার
Las Vegas	লাস ভেগাস
Latin	লাতিন ভাষা
Latin America	লাতিন আমেরিকা
Latitude	অক্ষাংশ
Law	আইন
Lawrencium	লরেনসিয়াম
Lead	সীসা
Leap year	অধিবর্ষ
Lebanon	লেবানন
Lee Harvey Oswald	লি হার্ভে অসওয়াল্ড
Leipzig	লাইপ্‌ৎসিশ
Lens (optics)	লেন্স
Leonardo da Vinci	লিওনার্দো দা ভিঞ্চি
Leonhard Euler	লিওনার্ট অয়লার
Leprosy	কুষ্ঠ
Lepus (constellation)	শশক মণ্ডল
Lesotho	লেসোথো
Leto	লেটো
Leukemia	লিউকিমিয়া
Lexicology	অভিধানবিজ্ঞান
Lhasa	লাসা
Lhotse	লোৎসে
Liberia	লাইবেরিয়া
Library	গ্রন্থাগার
Libya	লিবিয়া
Liechtenstein	লিশ্‌টেনশ্‌টাইন
Lieutenant	লেফটেনেন্ট
Light	আলো
Light-emitting diode	লাইট এমিটিং ডায়োড
Light-year	আলোক বর্ষ
Lima	লিমা
Linear algebra	রৈখিক বীজগণিত
Linguistics	ভাষাবিজ্ঞান
Linus Pauling	লিনাস পাউলিং
Linux	লিনাক্স
Liquid crystal display	এলসিডি
Lisbon	লিসবন
Lise Meitner	লিজে মাইটনার
Lisp (programming language)	লিস্প (প্রোগ্রামিং ভাষা)
Literature	সাহিত্য
Lithium	লিথিয়াম
Lithography	লিথোগ্রাফি
Ljubljana	লিউব্লিয়ানা
Llama	লামা (প্রাণী)
Logic	যুক্তি
London	লন্ডন
Los Angeles	লস অ্যাঞ্জেলেস
Louis Pasteur	লুই পাস্তুর
Louisiana	লুইজিয়ানা
Ludwig Boltzmann	লুটভিগ বোল্‌ৎসমান
Ludwig Wittgenstein	লুডভিগ ভিটগেনশটাইন
Ludwig van Beethoven	লুড‌উইগ ভ্যান বেইটোভেন
Lung	ফুসফুস
Lung cancer	ফুসফুসের ক্যান্সার
Lupus (constellation)	শার্দূল মণ্ডল
Lusaka	লুসাকা
Lutetium	লুটেটিয়াম
Luxembourg	লুক্সেমবুর্গ
Luxembourg (city)	লুক্সেমবুর্গ (শহর)
Lychee	লিচু
Lynx (constellation)	বনমার্জার মণ্ডল
Lyra	বীণা মণ্ডল
Lysine	লাইসিন
Machine code	যান্ত্রিক ভাষা
Machu Picchu	মাচু পিচু
Macintosh	অ্যাপল ম্যাকিন্টশ
Madagascar	মাদাগাস্কার
Madrid	মাদ্রিদ
Magic (paranormal)	জাদু (মায়াবিদ্যা)
Magic square	জাদু বর্গ
Magna Carta	ম্যাগনা কার্টা
Magnesium	ম্যাগনেসিয়াম
Maharashtra	মহারাষ্ট্র
Mahatma Gandhi	মহাত্মা গান্ধী
Main	Template:মূল নিবন্ধ
Maine	মেইন
Major	মেজর
Makalu	মাকালু
Malaysia	মালয়েশিয়া
Malcolm X	ম্যালকম এক্স
Maldives	মালদ্বীপ
Mali	মালি
Malta	মাল্টা
Mammal	স্তন্যপায়ী
Management	ব্যবস্থাপনা
Manama	মানামা
Manchester	ম্যানচেস্টার
Manganese	ম্যাঙ্গানিজ
Mango	আম
Manhattan	ম্যানহাটন
Manila	ম্যানিলা
Manipur	মণিপুর
Map	মানচিত্র
Marcel Proust	মার্সেল প্রুস্ত্‌
March	মার্চ
March 17	মার্চ ১৭
March 19	মার্চ ১৯
March 2	মার্চ ২
March 25	মার্চ ২৫
Marco Polo	মার্কো পোলো
Margaret Thatcher	মার্গারেট থ্যাচার
Marie Curie	মারি ক্যুরি
Marilyn Monroe	মেরিলিন মনরো
Mark Twain	মার্ক টোয়েইন
Mars (mythology)	মার্স
Martin Heidegger	মার্টিন হাইডেগার
Martin Scorsese	মার্টিন স্কোরসেজি
Martin Van Buren	মার্টিন ভ্যান বিউরেন
Martina Navratilova	মার্টিনা নাভ্রাতিলোভা
Martinique	মার্তিনিক
Marxism	Category:মার্ক্সবাদ
Mary Wollstonecraft	মেরি ওলস্টোনক্র্যাফ্‌ট
Maryland	মেরিল্যান্ড
Massachusetts	ম্যাসাচুসেট্‌স
Mata Hari	মাতা হারি
Mathematics	গণিত
Mathematics	Category:প্রবেশদ্বার
Mathematics	প্রবেশদ্বার:গণিত
Matrix (mathematics)	মেট্রিক্স
Mauritania	মৌরিতানিয়া
Mauritius	মরিশাস
Max Born	মাক্স বর্ন
Max Planck	মাক্স প্লাংক
Maxwell's equations	ম্যাক্সওয়েলের সমীকরণসমূহ
May	মে
May 1	মে ১
May 24	মে ২৪
Measurement	পরিমাপ
Mecca	মক্কা
Mechanical engineering	যন্ত্র প্রকৌশল
Mechanics	বলবিদ্যা
Medicine	ঔষধ
Mediterranean Sea	ভূমধ্যসাগর
Meitnerium	মেইটনেরিয়াম
Mel Gibson	মেল গিবসন
Melting point	গলনাংক
Mendelevium	মেন্ডেলেভিয়াম
Mensa (constellation)	মেনসা মণ্ডল
Mercury (element)	পারদ (মৌল)
Mercury (planet)	বুধ গ্রহ
Mesolithic	মেসোলিথিক
Mesopotamia	মেসোপটেমিয়া
Messiah	মসিহ
Metaphysics	অধিবিদ্যা
Metre	মিটার
Mexico	মেক্সিকো
Michelangelo	মাইকেলেঞ্জেলো
Michigan	মিশিগান
Micronesia	মাইক্রোনেশিয়া
Microorganism	অণুজীব
Microscope	অণুবীক্ষণযন্ত্র
Microscopium	অনুবীক্ষণ মণ্ডল
Migraine	মাইগ্রেন
Miguel de Cervantes	মিগেল দে থের্ভান্তেস
Mikhail Gorbachev	মিখাইল গর্বাচেভ
Military	Category:সামরিক
Military rank	সামরিক পদ
Millard Fillmore	মিলার্ড ফিল্‌মোর
Million	নিযুত
Minerva	মিনার্ভা
Mining	খনন
Minnesota	মিনেসোটা
Minute	মিনিট
Mississippi River	মিসিসিপি নদী
Missouri	মিসুরি
Mitochondrion	মাইটোকন্ড্রিয়া
Mobile phone	মোবাইল ফোন
Modulation	মড্যুলেশন
Moldova	মলদোভা
Molecule	অণু
Molybdenum	মলিবডেনাম
Monday	সোমবার
Money	অর্থ (টাকা)
Mongolia	মঙ্গোলিয়া
Monopoly	একচেটিয়া কারবার
Mont Blanc	মোঁ ব্লঁ
Montana	মন্টানা
Montenegro	মন্টিনিগ্রো
Montevideo	মোন্তেবিদেও
Moon	চাঁদ
Moravia	মোরাভিয়া
Morocco	মরোক্কো
Morphology (linguistics)	রূপমূলতত্ত্ব
Morse code	মোর্স কোড
Moscow	মস্কো
Mosque	মসজিদ
Mother	মা
Mother Teresa	মাদার তেরেসা
Mount Ararat	আরারাত পর্বত
Mount Everest	মাউন্ট এভারেস্ট
Mount Fuji	ফুজিয়ামা
Mount Kilimanjaro	কিলিমাঞ্জারো
Mount McKinley	ম্যাকিন্‌লি পর্বত
Mount Vesuvius	ভিসুভিয়াস
Mountain	পর্বত
Mouse	ইঁদুর
Mozambique	মোজাম্বিক
Muhammad	হযরত মুহাম্মদ (সাঃ)
Muhammad Ali	মোহাম্মদ আলী
Mule	খচ্চর
Mumbai	মুম্বাই
Munich	মিউনিখ
Murray Gell-Mann	মারি গেল-মান
Musa (genus)	কলা (ফল)
Musca	মক্ষিকা মণ্ডল
Muscat	মাস্কাট
Museum	যাদুঘর
Music	সঙ্গীত
Mycology	ছত্রাকবিজ্ঞান
Myth	উপকথা
NATO	ন্যাটো
Nairobi	নাইরোবি
Namibia	নামিবিয়া
Nanga Parbat	নাঙ্গা পর্বত
Nanotechnology	ন্যানোপ্রযুক্তি
Nation	জাতি
National anthem	জাতীয় সঙ্গীত
Nature	প্রকৃতি
Nature	Category:প্রকৃতি
Nauru	নাউরু
Nazi Party	নাৎসি পার্টি
Nebraska	নেব্রাস্কা
Neil Armstrong	নিল আর্মস্ট্রং
Nelson Mandela	নেলসন ম্যান্ডেলা
Neodymium	নিওডিমিয়াম
Neon	নিয়ন
Nepal	নেপাল
Neptune	নেপচুন গ্রহ
Neptunium	নেপচুনিয়াম
Netherlands	নেদারল্যান্ড্‌স
Neurology	স্নায়ুবিদ্যা
Neurotransmitter	নিউরোট্রান্সমিটার
Neutron	নিউট্রন
Neutron star	নিউট্রন তারা
Nevada	নেভাডা
New Delhi	নয়া দিল্লী
New Hampshire	নিউ হ্যাম্প্‌শায়ার
New Jersey	নিউ জার্সি
New Mexico	নিউ মেক্সিকো
New Testament	নতুন বাইবেল
New York City	নিউ ইয়র্ক
Newton	নিউটন (একক)
Niagara Falls	নায়াগ্রা জলপ্রপাত
Nicaragua	নিকারাগুয়া
Nickel	নিকেল
Nicolaus Copernicus	নিকলাস কপারনিকাস
Nicosia	নিকোসিয়া
Niels Bohr	নিল্‌স বোর
Niels Henrik Abel	নিল্‌স হেনরিক আবেল
Niger	নাইজার
Nigeria	নাইজেরিয়া
Nile	নীল নদ
Niobium	নাইওবিয়াম
Nitrogen	নাইট্রোজেন
Noam Chomsky	নোম চম্‌স্কি
Nobel Prize	নোবেল পুরস্কার
Nobel Prize	Category:নোবেল পুরস্কার
Nobelium	নোবেলিয়াম
Noble gas	নিষ্ক্রিয় গ্যাস
Norma (constellation)	মানদণ্ড মণ্ডল
Norman Mailer	নরম্যান মেইলার্‌
North America	উত্তর আমেরিকা
North Carolina	নর্থ ক্যারোলাইনা
North Dakota	নর্থ ডাকোটা
North Korea	উত্তর কোরিয়া
North Pole	উত্তর মেরু
North Sea	উত্তর সাগর
North Star	ধ্রুবতারা
Norway	নরওয়ে
November	নভেম্বর
November 1	নভেম্বর ১
November 11	নভেম্বর ১১
November 2	নভেম্বর ২
November 5	নভেম্বর ৫
Number	সংখ্যা
Nymphaeaceae	শাপলা
OPEC	ওপেক
Ob River	ওব নদী
Occam's razor	ওকামের খুর
Ocean	মহাসমুদ্র
Ocean current	মহাসাগরীয় স্রোত
Oceania	ওশেনিয়া
Octans	অষ্টাংশ মণ্ডল
October	অক্টোবর
October 12	অক্টোবর ১২
October 24	অক্টোবর ২৪
Octopus	অক্টোপাস
Odin	ওডিন
Odysseus	অডিসিউস
Odyssey	ওডিসি
Ohio	ওহাইও
Ohm's law	ও'মের সূত্র
Oklahoma	ওক‌লাহোমা
Oliver Stone	অলিভার স্টোন
Olivine	অলিভিন
Olympic Games	অলিম্পিক গেমস
Oman	ওমান
Opera	অপেরা
Operating system	অপারেটিং সিস্টেম
Ophiuchus	সর্পধারী মণ্ডল
Optical fiber	অপটিক্যাল ফাইবার
Optics	আলোকবিজ্ঞান
Optimization (mathematics)	সেরা-অনুকূলকরণ (গণিত)
Orange (colour)	কমলা (রঙ)
Orange (fruit)	কমলা (ফল)
Orbit	কক্ষপথ (গ্রহ)
Oregon	অরেগন
Organ (anatomy)	অঙ্গ
Organ (music)	অর্গান
Organelle	অঙ্গাণু
Orion (constellation)	কালপুরুষ মণ্ডল
Orissa	ওড়িশা
Orson Welles	অরসন ওয়েল্‌স্‌
Orthography	লিখনবিধি
Osaka	ওসাকা
Osama bin Laden	ওসামা বিন লাদেন
Oscar Wilde	অস্কার ওয়াইল্ড
Osiris	ওসাইরিস
Osmium	অসমিয়াম
Ostrich	উটপাখি
Ottawa	অটোয়া
Otto von Bismarck	অটো ফন বিস্‌মার্ক
Ottoman Empire	উস্‌মানীয় সাম্রাজ্য
Oxygen	অক্সিজেন
Ozone	ওজোন
Pablo Picasso	পাবলো পিকাসো
Pacific Ocean	প্রশান্ত মহাসাগর
Pacific Ocean	Category:প্রশান্ত মহাসাগর
Paganism	অবিশ্বাসীবাদ (পেগানিজম)
Pakistan	পাকিস্তান
Paleolithic	প্যালিওলিথিক
Pali	পালি ভাষা
Palladium	প্যালাডিয়াম
Panama Canal	পানামা খাল
Panama City	পানামা সিটি
Pancreas	অগ্ন্যাশয়
Paradox	হেঁয়ালি
Paraguay	প্যারাগুয়ে
Parallax	লম্বন
Paris	প্যারিস
Parmenides	পার্মেনিদিস
Parsec	পারসেক
Particle physics	কণা পদার্থবিজ্ঞান
Pascal (unit)	প্যাস্কেল
Pasteurization	পাস্তুরায়ণ
Paul Gauguin	পল গোগাঁ
Paul McCartney	পল ম্যাককার্টনি
Pauli exclusion principle	পলির বর্জন নীতি
Pavo (constellation)	ময়ূর মণ্ডল
Pediatrics	শিশুরোগবিজ্ঞান
Pegasus (constellation)	পক্ষীরাজ মণ্ডল
Pennsylvania	পেন্সিল্‌ভেনিয়া
People's Republic of China	গণচীন
Pericles	পেরিক্লিস
Period (periodic table)	পর্যায় সারণীর পর্যায়
Periodic table	পর্যায় সারণী
Persephone	পার্সিফোন
Perseus (constellation)	পরশু মণ্ডল
Persian Gulf	পারস্য উপসাগর
Personal digital assistant	পারসোনাল ডিজিটাল এসিসটেন্ট
Peru	পেরু
Peter Sellers	পিটার সেলার্স
Petroleum	জ্বালানী
Pharaoh	ফারাও
Pharmacology	ফার্মাকোলজি
Pharynx	গলবিল
Philipp Lenard	ফিলিপ লেনার্ড
Philippines	ফিলিপাইন
Philology	সাংস্কৃতিক ভাষাতত্ত্ব
Philosophy	দর্শন
Philosophy	Category:দর্শন
Phnom Penh	প্‌নম পেন
Phoenix (constellation)	সম্পাতি মণ্ডল
Phoenix (spacecraft)	ফিনিক্স (নভোযান)
Phonetics	ধ্বনিবিজ্ঞান
Phonology	ধ্বনিতত্ত্ব
Phosphorus	ফসফরাস
Physical chemistry	ভৌত রসায়ন
Physics	পদার্থবিজ্ঞান
Physiology	শারীরবৃত্ত
Pi	পাই
Piano	পিয়ানো
Pictor	চিত্রপট মণ্ডল
Pierre Curie	পিয়ের ক্যুরি
Pierre de Fermat	পিয়ের দ্য ফের্মা
Pieter Zeeman	পিটার জেমান
Pineapple	আনারস
Pituitary gland	পিটুইটারি গ্রন্থি
Pixel	পিক্সেল
Planet	গ্রহ
Plant	উদ্ভিদ
Plastid	প্লাস্টিড
Plate tectonics	প্লেট ভূগঠনপ্রণালী
Platelet	অণুচক্রিকা
Platinum	প্লাটিনাম
Plato	প্লেটো
Pleistocene	প্লেইস্টোসিন
Pluto	প্লুটো
Pneumonia	নিউমোনিয়া
Poland	পোল্যান্ড
Police	পুলিশ
Politics	রাজনীতি
Politics	Category:রাজনীতি
Polonium	পোলোনিয়াম
Polynomial	বহুপদী (গণিত)
Pomelo	জাম্বুরা
Pope	পোপ
Port of Spain	পোর্ট অফ স্পেন
Port-au-Prince	পোর্ট অব প্রিন্স
Portugal	পর্তুগাল
Poseidon	পোসাইডন
Postal code	পোস্ট কোড
Potassium	পটাশিয়াম
Potato	আলু
Power (physics)	ক্ষমতা (পদার্থবিজ্ঞান)
Prague	প্রাগ
Praseodymium	প্রাসিওডিমিয়াম
Prehistory	প্রাক-ইতিহাস
Pressure	চাপ
Price	মূল্য
Prime number	মৌলিক সংখ্যা
Prism (geometry)	প্রিজম (জ্যামিতি)
Prism (optics)	প্রিজম (আলোকবিজ্ঞান)
Programming language	প্রোগ্রামিং ভাষা
Prokaryote	প্রাক-কেন্দ্রিক
Prometheus	প্রমিথিউস (দেবতা)
Promethium	প্রমিথিয়াম
Protactinium	প্রোটেক্টিনিয়াম
Protein	প্রোটিন
Proton	প্রোটন
Psychiatry	মনোরোগবিদ্যা
Psychology	মনোবিজ্ঞান
Ptolemy	টলেমি
Punjab (India)	পাঞ্জাব (ভারত)
Pupil	পিউপিল
Puppis	পাপিস মণ্ডল
Pyongyang	পিয়ং ইয়াং
Pythagoras	পিথাগোরাস
Pyxis	পিক্সিস মণ্ডল
Qatar	কাতার
Quadrilateral	চতুর্ভুজ
Quantum mechanics	কোয়ান্টাম বলবিজ্ঞান
Quark	কোয়ার্ক
Quasar	কোয়াসার
Quechua	কেচুয়া ভাষা
Queens	কুইন্‌স
Quentin Tarantino	কোয়েন্টিন টারান্টিনো
RNA	আরএনএ
Ra	রে
Rabindranath Tagore	রবীন্দ্রনাথ ঠাকুর
Radar	রাডার
Radio telescope	বেতার দূরবীক্ষণ যন্ত্র
Radium	রেডিয়াম
Radon	রেডন
Rainbow	রংধনু
Rama	রাম
Ramayana	রামায়ণ
Random access memory	র‌্যান্ডম অ্যাক্সেস মেমোরি
Raphael	রাফায়েল
Rational number	মূলদ সংখ্যা
Real number	বাস্তব সংখ্যা
Rectangle	আয়তক্ষেত্র
Red Sea	লোহিত সাগর
Red blood cell	লোহিত রক্তকণিকা
Redshift	লোহিত সরণ
Regiment	রেজিমেন্ট
Region	অঞ্চল
Relation (mathematics)	অন্বয়
Religion	ধর্ম
Rembrandt	রেমব্রন্ট
Renaissance	রেনেসাঁস
Reptile	সরীসৃপ
Republic of China	প্রজাতন্ত্রী চীন
Republic of Ireland	প্রজাতন্ত্রী আয়ারল্যান্ড
Republic of the Congo	কঙ্গো প্রজাতন্ত্র
Reticulum	আড়ক মণ্ডল
Rhenium	রেহনিয়াম
Rhine	রাইন নদী
