Latin	English
Radiatio Cosmica Microondica Prisca	Cosmic microwave background radiation
Cosmologia	Cosmology
Ora Opulenta	Costa Rica
Puma	Cougar
Concilium Chalcedonense	Council of Chalcedon
Concilium Ephesinum	Council of Ephesus
Concilium Tridentinum	Council of Trent
Coiotes	Coyote
Cancer	Crab
Crater (sidus)	Crater (constellation)
Creationismus	Creationism
Cremona	Cremona
Aevum Cretaceum	Cretaceous
Creta	Crete
Criccetius lusus	Cricket
Gryllus	Cricket (insect)
Crimaea	Crimea
Croatia	Croatia
Categoria:Croatia	Croatia
Crocodylidae	Crocodile
Crocodilia	Crocodilia
Cronus	Cronus
Crux	Cross
Manuballista (sensu stricto)	Crossbow
Crucigramma	Crossword
Corvus	Crow
Crux (sidus)	Crux
Cryptographia	Cryptography
Categoria:Cryptographia	Cryptography
Crystallum	Crystal
Cuba	Cuba
Categoria:Cuba	Cuba
Metrum cubicum	Cubic metre
Cucumis sativus	Cucumber
Cucurbitaceae	Cucurbitaceae
Cumbria	Cumbria
Cupressaceae	Cupressaceae
Curitiba	Curitiba
Curium	Curium
Categoria:Monetae	Currency
Cuscum	Cusco
Cybele	Cybele
Cyclades	Cyclades
Birotatio	Cycling
Cyclops	Cyclops
Cygnus (sidus)	Cygnus (constellation)
Cyperaceae	Cyperaceae
Cyprus	Cyprus
Categoria:Cyprus	Cyprus
Abecedarium Cyrillicum	Cyrillic alphabet
Cyrus II (rex Persarum)	Cyrus the Great
Res publica Bohemica	Czech Republic
Categoria:Tzekia	Czech Republic
Bohemoslovacia	Czechoslovakia
D	D
David Wark Griffith	D. W. Griffith
Acidum desoxyribonucleicum	DNA
