English	Catalan
Baron	Baró
Baroque	Barroc
Barranquilla	Barranquilla
Baryon	Barió
Basalt	Basalt
Base (chemistry)	Base química
Baseball	Beisbol
Baseball	Categoria:Beisbol
Basel	Basilea
Bash	Bash
Basidiomycota	Basidiomicet
Basil	Alfàbrega
Basil of Caesarea	Basili de Cesarea
Basilica	Basílica
Basilicata	Basilicata
Basiliscus	Basilisc (emperador)
Basilisk	Basilisc
Basketball	Bàsquet
Basketball	Categoria:Bàsquet
Bass guitar	Baix elèctric
Basse-Normandie	Baixa Normandia
Basseterre	Basseterre
Bassoon	Fagot
Bast (mythology)	Bastet
Bat	Ratapinyada
Bath	Bath
Batman	Batman
Baton Rouge	Baton Rouge
Bats	Categoria:Ratpenats
Battalion	Batalló
Battery (electricity)	Bateria elèctrica
Battle of Britain	Batalla d'Anglaterra
Battle of Lepanto (1571)	Batalla de Lepant
Battle of Marathon	Batalla de Marató
Battle of Midway	Batalla de Midway
Battle of Thermopylae	Batalla de les Termòpiles
Battle of Trafalgar	Batalla de Trafalgar
Battle of Verdun	Batalla de Verdun
Battle of Waterloo	Batalla de Waterloo
Battle of the Bulge	Batalla de les Ardenes
Battle of the Somme	Batalla del Somme
Bauhaus	Bauhaus
Bauxite	Bauxita
Bavaria	Baviera
Bavaria	Categoria:Baviera
Bay Laurel	Llorer
Bay of Bengal	Golf de Bengala
Bayer	Bayer
Bayonne	Baiona
Beach	Platja
Beagle	Beagle
Beak	Bec
Bear	Ós
Beaufort Sea	Mar de Beaufort
Beaufort scale	Escala de Beaufort
Beaver	Castor (animal)
Bebop	Bebop
Becquerel	Becquerel (unitat)
Bed	Llit
Bede	Beda
Bedouin	Beduí
Bee	Abella
Beech	Faig
Beer	Cervesa
Beetle	Coleòpter
Behaviorism	Conductisme
Beijing	Pequín
Beirut	Beirut
Belarus	Bielorússia
Belarus	Categoria:Bielorússia
Belfast	Belfast
Belgium	Bèlgica
Belgium	Categoria:Bèlgica
Belgrade	Belgrad
Belisarius	Belisari
Belize	Belize
Belize	Categoria:Belize
Bell (instrument)	Campana
Bellerophon	Bel·lerofont
Belly dance	Dansa del ventre
Belo Horizonte	Belo Horizonte
Beluga	Beluga
Benelux	Benelux
Benin	Benín
Benin	Categoria:Benín
Benito Mussolini	Benito Mussolini
Benjamin Britten	Benjamin Britten
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Benny Goodman	Benny Goodman
Beowulf	Beowulf
Bergen	Bergen
Bering Sea	Mar de Bering
Bering Strait	Estret de Bering
Berkelium	Berkeli
Berkshire	Berkshire
Berlin	Berlín
Berlin	Categoria:Berlín
Bermuda	Bermudes
Bermuda	Categoria:Bermudes
Bermuda Triangle	Triangle de les Bermudes
Bernardo Bertolucci	Bernardo Bertolucci
Berne	Berna
Bernhard Riemann	Georg Friedrich Bernhard Riemann
Berry	Baia
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryllium	Beril·li
Beta (letter)	Beta
Beta decay	Emissió beta
Betelgeuse	Betelgeuse
Bethlehem	Betlem
Beverly Hills	Beverly Hills
Bey	Bei
Bhutan	Bhutan
Bhutan	Categoria:Bhutan
Bible	Bíblia
Bible	Categoria:Bíblia
Bibliography	Bibliografia
Bicycle	Bicicleta
Big Bang	Big Bang
Bikini	Biquini
Bile	Bilis
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Estrella binària
Binoculars	Binocular
Biochemistry	Bioquímica
Biochemistry	Categoria:Bioquímica
Biodiversity	Biodiversitat
Biogeography	Biogeografia
Biography	Biografia
Biography	Portal:Biografies
Biology	Biologia
Biology	Categoria:Biologia
Biology	Portal:Biologia
Biomass	Biomassa
Biome	Bioma
Biometrics	Sensors biomètrics
Biophysics	Biofísica
Biopsy	Biòpsia
Biosphere	Biosfera
Biotechnology	Biotecnologia
Biotechnology	Categoria:Biotecnologia
Bipolar disorder	Trastorn bipolar
Birch	Bedoll
Bird	Ocell
Birth control	Contracepció
Bisexuality	Bisexualitat
Bishkek	Bixkek
Bishop	Bisbe
Bishop (chess)	Alfil
Bismarck	Bismarck (Estats Units)
Bismarck (disambiguation)	Bismarck
Bismuth	Bismut
Bissau	Bissau
Bit	Bit
Bithynia	Bitínia (província romana)
Bivalvia	Bivalve
Black	Negre
Black Death	Pesta Negra
Black Forest	Selva Negra
Black Kite	Milà negre
Black Sea	Mar Negra
Black Stork	Cigonya negra
Black body	Cos negre
Black hole	Forat negre
Black pepper	Pebre
Blackbird	Merla
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Ceguesa
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Bloc
Blood	Sang
Blood plasma	Plasma sanguini
Blood type	Grup sanguini
Blue	Blau
Blue Whale	Balena blava
Blues	Blues
Boar	Senglar
Board game	Joc de tauler
Boat	Embarcació
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bobsleigh
Body mass index	Índex de massa corporal
Bodybuilding	Culturisme
Bohemia	Bohèmia
Bohrium	Bohri
Boiling point	Punt d'ebullició
Boise	Boise
Boletus edulis	Cep (bolet)
Bolivia	Bolívia
Bolivia	Categoria:Bolívia
Bollywood	Bollywood
Bologna	Bolonya
Bolshevik	Bolxevisme
Bolzano	Bozen
Bomb	Bomba (arma)
Bombyx mori	Cuc de seda
Bond (finance)	Obligació (economia)
Bone	Os
Bone marrow	Medul·la òssia
Bonn	Bonn
Bonsai	Bonsai
Book	Llibre
Book of Esther	Llibre d'Ester
Book of Joshua	Llibre de Josuè
Book of Judges	Llibre dels Jutges
Book of Mormon	Llibre del Mormó
Book of Numbers	Llibre dels Nombres
Book of Revelation	Apocalipsi
Book of Ruth	Llibre de Rut
Boolean algebra (structure)	Àlgebra de Boole
Bordeaux	Bordeus
Boris Godunov	Borís Godunov
Boris Pasternak	Borís Leonídovitx Pasternak
Boris Spassky	Boris Spassky
Borneo	Borneo
Boron	Bor
Bosnia and Herzegovina	Bòsnia i Hercegovina
Bosnia and Herzegovina	Categoria:Bòsnia i Hercegovina
Boson	Bosó
Bosporus	Bòsfor
Boston	Boston
Bot	Plantilla:Bot
Botany	Botànica
Botany	Categoria:Botànica
Botswana	Botswana
Botswana	Categoria:Botswana
Bottle	Botella (envàs)
Bottlenose Dolphin	Dofí mular
Bourgeoisie	Burgesia
Bourgogne	Borgonya
Bouvet Island	Bouvet
Bow (weapon)	Arc compost
Boxer (dog)	Bòxer
Boxing	Boxa
Boyle's law	Llei de Boyle
Bracket	Parèntesi
Braga	Braga
Brahma	Brama
Braille	Braille
Brain	Cervell
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Brandy	Brandi
Brass	Llautó
Brassicaceae	Brassicàcia
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasil
Brazil	Categoria:Brasil
Brazzaville	Brazzaville
Bread	Pa
Breast	Pit
Bremen	Bremen
Bremen (state)	Estat de Bremen
