English	Korean
Atmospheric pressure	대기압
Atom	원자
Atomic mass	원자 질량
Atomic mass unit	원자 질량 단위
Atomic number	원자 번호
Atomic physics	분류:원자물리학
Atropine	아트로핀
Attica	아티키 지역
Attila the Hun	아틸라
Au	AU
Auckland	오클랜드 (뉴질랜드)
Auction	경매
August	8월
August 1	8월 1일
August 15	8월 15일
August 6	8월 6일
August Strindberg	아우구스트 스트린드베리
Augusta	오거스타 (메인 주)
Auguste Comte	오귀스트 콩트
Auguste Rodin	오귀스트 로댕
Augustine of Hippo	히포의 아우구스티누스
Augustus	아우구스투스
Auriga (constellation)	마차부자리
Aurora	오로라 (동음이의)
Aurora (astronomy)	오로라
Austin	오스틴 (텍사스 주)
Australasia	오스트랄라시아
Australia	오스트레일리아
Australia	분류:오스트레일리아
Australian dollar	오스트레일리아 달러
Australopithecus	오스트랄로피테쿠스
Austria	오스트리아
Austria	분류:오스트리아
Austria-Hungary	오스트리아-헝가리
Author	작가
Autism	자폐증
Auto racing	자동차 경주
Autobiography	자서전
Automated teller machine	현금 자동 입출금기
Automobile	자동차
Autotroph	자가영양생물
Autumn	가을
Auvergne (region)	오베르뉴
Avalanche	눈사태
Avant-garde	아방가르드
Avena	귀리속
Averroes	아베로에스
Avesta	아베스타
Aviation	분류:항공 교통
Avicenna	이븐 시나
Axe	도끼
Axiom	공리
Azerbaijan	아제르바이잔
Azerbaijan	분류:아제르바이잔
Azores	아조레스 제도
Aztec	아스텍 문명
B	B
BASIC	베이직
Baal	바알
Babylon	바빌론
Babylonia	바빌로니아
Bacteria	세균
Bacteria	분류:세균
Bacteriophage	박테리오파지
Badminton	배드민턴
Baffin Bay	배핀 만
Baffin Island	배핀 섬
Baghdad	바그다드
Bahamas	분류:바하마
Bahrain	바레인
Bahrain	분류:바레인
Baja California	바하칼리포르니아 주
Baklava	바크라와
Baku	바쿠
Balearic Islands	발레아레스 제도
Baleen whale	수염고래아목
Bali	발리 섬
Balkans	발칸 반도
Ball	공 (운동 기구)
Ballet	발레
Ballet	분류:발레
Ballistic missile	탄도 미사일
Ballpoint pen	볼펜
