Finnish	English
Antoine Lavoisier	Antoine Lavoisier
Anton Bruckner	Anton Bruckner
Anton Tšehov	Anton Chekhov
Antonio Stradivari	Antonio Stradivari
Antonio Vivaldi	Antonio Vivaldi
Antonyymi	Antonym
Antwerpen	Antwerp
Antwerpen (maakunta)	Antwerp (province)
Anubis	Anubis
Peräaukko	Anus
Aortta	Aorta
Apassit	Apache
Apatiitti	Apatite
Afasia	Aphasia
Aforismi	Aphorism
Afrodite	Aphrodite
Apia	Apia
Sarjakukkaiskasvit	Apiaceae
Apokryfiset kirjat	Apocrypha
Kiitäjälinnut	Apodiformes
Apollon	Apollo
Apollo	Apollo (disambiguation)
Apollo (avaruusohjelma)	Apollo program
Luokka:Apollo-ohjelma	Apollo program
Apoptoosi	Apoptosis
Appalakit	Appalachian Mountains
Tarhaomenapuu	Apple
Sovellettu matematiikka	Applied mathematics
Aprikoosi	Apricot
Huhtikuu	April
14. huhtikuuta	April 14
Aprillipäivä	April Fools' Day
Apsis	Apse
Apulia	Apulia
Paratiisilintu (tähdistö)	Apus
Akaba	Aqaba
Kuningasvesi	Aqua regia
Akvamariini	Aquamarine
Akvaario	Aquarium
Vesimies (tähdistö)	Aquarius (constellation)
Akvedukti	Aqueduct
Kotka (tähdistö)	Aquila (constellation)
Akvitania	Aquitaine
Alttari (tähdistö)	Ara (constellation)
Arabit	Arab
Arabiliitto	Arab League
Arabian niemimaa	Arabian Peninsula
Arabianmeri	Arabian Sea
Arabialainen kirjaimisto	Arabic alphabet
Arabian kieli	Arabic language
Vehkakasvit	Araceae
Hämähäkkieläimet	Arachnid
Arafuranmeri	Arafura Sea
Aragonia	Aragon
Araljärvi	Aral Sea
Aram Hatšaturjan	Aram Khachaturian
Arkadia	Arcadia
Arcangelo Corelli	Arcangelo Corelli
Kaari (rakennustekniikka)	Arch
Arkeologia	Archaeology
Luokka:Arkeologia	Archaeology
Archaeopteryx	Archaeopteryx
Arkkienkeli	Archangel
Arkkipiispa	Archbishop
