English	Esperanto
Astrophysics	Kategorio:Astrofiziko
Aswan	Asuano
Asymptote	Asimptoto
Atacama Desert	Atakamo
Aten	Atono
Atheism	Kategorio:Ateismo
Athena	Atena
Athens	Ateno
Athletics	Kategorio:Atletiko
Athletics (track and field)	Atletiko
Atlanta	Atlanta (Georgio)
Atlantic Ocean	Atlantika Oceano
Atlantic Ocean	Kategorio:Atlantika Oceano
Atlantis	Atlantido
Atlas (disambiguation)	Atlaso
Atlas Mountains	Atlasa Montaro
Atmosphere	Atmosfero (astro)
Atoll	Atolo
Atom	Atomo
Atomic mass	Atompezo
Atomic mass unit	Atommasa unuo
Atomic number	Atomnumero
Atomic physics	Kategorio:Atoma fiziko
Atropine	Atropino
Attica	Atiko
Attila the Hun	Atilo la Huno
Au	Au
Auckland	Auckland
Auction	Aŭkcio
August	Aŭgusto
August 1	1-a de aŭgusto
August 15	15-a de aŭgusto
August 6	6-a de aŭgusto
August Strindberg	August Strindberg
Augusta	Augusta (Majno)
Auguste Comte	Auguste Comte
Auguste Rodin	Auguste Rodin
Augustine of Hippo	Aŭgusteno de Hipono
Augustus	Aŭgusto Cezaro
Auriga (constellation)	Koĉero (konstelacio)
Aurora	Aŭroro
Aurora (astronomy)	Norda brilo
Austin	Aŭstino
Australasia	Aŭstralazio
Australia	Aŭstralio
Australia	Kategorio:Aŭstralio
Australian dollar	Aŭstralia dolaro
Australopithecus	Aŭstralopitekoj
Austria	Aŭstrio
Austria	Kategorio:Aŭstrio
Austria-Hungary	Aŭstrio-Hungario
Author	Aŭtoro
Autism	Aŭtismo
Auto racing	Aŭtosporto
Autobiography	Aŭtobiografio
Automated teller machine	Elektronika bankskatolo
Automobile	Aŭtomobilo
Autotroph	Aŭtotrofo
Autumn	Aŭtuno
Auvergne (region)	Aŭvernjo
Avalanche	Lavango
Avatar	Avataro
Avena	Aveno
Averroes	Ibn-Ruŝd
Avesta	Avesto
Aviation	Kategorio:Aviado
Aviation	Aviado
Avicenna	Aviceno
Avignon	Avignon
Avocado	Avokado
Axe	Hakilo
Axiom	Aksiomo
Ayatollah	Ajatolo
Ayn Rand	Ayn Rand
Azerbaijan	Azerbajĝano
Azerbaijan	Kategorio:Azerbajĝano
Azores	Acoroj
Aztec	Aztekoj
Azurite	Azurito
B	B
BASIC	BASIC (programlingvo)
Baal	Baalo
Baboon	Paviano
Babylon	Babilono
Babylonia	Babilonio
Backgammon	Triktrako
Bacteria	Bakterioj
Bacteria	Kategorio:Bakterioj
Bacteriophage	Bakteriofago
Bactrian Camel	Baktria kamelo
Badminton	Badmintono
Baffin Bay	Bafina Golfo
Baffin Island	Bafina Insulo
Baghdad	Bagdado
Bahamas	Kategorio:Bahamoj
Bahrain	Barejno
Bahrain	Kategorio:Barejno
Baja California	Baja California
Baku	Baku
