Slovenian	English
bolnišnični odpadki	hospital waste
talec	hostage
vroča voda	hot water
hotelska dejavnost	hotel industry
ura	hour
gospodinjstvo	household
kemikalija za uporabo v gospodinjstvu	household chemical
stroški gospodinjstva	household expenditure
gospodinjski predmeti, gospodinjske potrebščine, gospodinjska oprema	household goods
stanovanje, prebivališče ; stanovanje ; prebivališče	housing
gostota stanovanj	housing density
stanovanjska obnova	housing improvement
stanovanjska zakonodaja	housing legislation
program stanovanjske izgradnje	housing programme
standard kakovosti stanovanj	housing quality standard
človeško telo	human body
človeška bolezen	human disease
ekologija človeka	human ecology
človekov habitat	human habitat
človekovo zdravje ; zdravje ljudi	human health
migracije/preseljevanje ljudi	human migration
fiziologija človeka	human physiology
prebivalci, prebivalstvo	human population
človekove pravice	human rights
vede o človeku	human science
naselje	human settlement
upravljanje naselij	human settlement management
nesreča/katastrofa, ki jo povzroči človek	human-made disaster
humanitarna pomoč	humanitarian aid
humus	humus
sto	hundred
glad	hunger ; hunger ; hunger
lov	hunting
dovoljenje za lov	hunting licence
lovski rezervat	hunting reserve
orkan	hurricane
križanje, hibridizacija	hybridisation
vodnogospodarski objekt	hydraulic construction
hidrotehnika	hydraulic engineering
hidravlika	hydraulics
hidrobiologija	hydrobiology
ogljikovodik	hydrocarbon
rezervoar za ogljikovodike	hydrocarbon storage tank
solna kislina	hydrochloric acid ; muriatic acid
hidrokultura	hydroculture
hidroenergija	hydroelectric energy
hidroelektrarna	hydroelectric power plant
vodik	hydrogen
vodikov sulfid	hydrogen sulphide
hidrogeologija	hydrogeology
povodje, porečje	hydrographic basin
hidrografska mreža	hydrographic network
hidrografija	hydrography
hidrološko ravnovesje	hydrologic balance
hidrološki cikel	hydrologic cycle
hidrološka nesreča, hudourniška katastrofa	hydrologic disaster
hidrološke značilnosti območja	hydrologic flow
hidrologija	hydrology
hidroliza	hydrolysis
hidrometeorologija	hydrometeorology
hidrometrija	hydrometry
hidrosfera	hydrosphere
hijena	hyena
higiena	hygiene
kožokrilci (Hymenoptera) ; kožokrilci	hymenopteran
hipertekst	hypertext
led	ice
hokej na ledu	ice hockey
območje plavajočega/skladastega ledu na morski gladini	ice pack
ledena gora	iceberg
ideologija	ideology
razčlenjevanje slik	image classification
izboljšanje kakovosti slike	image enhancement
filtriranje slik	image filtering
digitalni sistem obdelave slik	image processing digital system
registracija slike	image registration
imisija	immission
ukrepi za zmanjševanje imisij	immission control
zakon o zmanjševanju imisij	immission control law
škoda zaradi imisij	immission damage
predvidevanje imisij	immission forecast
imisijska meja	immission limit
obremenitev z imisijami, imisijska obremenitev	immission load
imunski sistem	immune system
imunost	immunity
imunološki preskus	immunoassay
bolezen imunskega sistema	immunological disease
imunologija	immunology
presoja vplivov na okolje	impact assessment
zmanjševanje vplivov, minimizacija vplivov	impact minimisation
preprečevanje vplivov (na okolje)	impact prevention
preobrat/sprememba vplivov	impact reversal
vir vplivov (na okolje)	impact source
impaktor	impactor
izvedbeni zakon	implementation law
uvoz	import
uvozno dovoljenje	import licence
osiromašenje, obubožanje, izčrpanje ; osiromašenje ; obubožanje ; izčrpanje	impoverishment
impregnacijska snov	impregnating agent
impregnacija	impregnation
izboljšanje učinkovitosti	improvement of efficiency
kratkotrajni hrup	impulsive noise
na lokaciji	in situ
laboratorijski poskus, laboratorijska analiza	in vitro assay
poskus v telesu	in vivo assay
sklad za spodbude	incentive fund
davčna spodbuda	incentive tax
onesnaženje ob nesrečah	incidental pollution
sežiganje	incineration
sežiganje odpadkov	incineration of waste
ostanki pri sežigu odpadkov	incineration residue
sežigalnica	incinerator
dohodek, prihodek	income
davek na dohodek, dohodnina	income tax
ustanovitev/registracija (družbe, firme) ; ustanovitev ; registracija	incorporation
nedoločenost (v pogodbah, sporazumih itd.)	indefinite legal concept
odškodnina, nadomestilo škode, povračilo škode ; odškodnina ; nadomestilo škode ; povračilo škode	indemnity
indeks, kazalo ; indeks ; kazalo	index
indeksiranje dokumentacije	indexing of documentation
kazalec, indikator	indicator
kazalec/indikator kakovosti okolja	indicator of environmental quality
poznavanje lokalnih razmer	indigenous knowledge
domača tehnologija	indigenous technology
posredni/indirektni onesnaževalec	indirect discharger
indij	indium
posameznik	individual
notranji sistem zbiranja, obdelave in ponovne rabe odpade vode	individual wastewater treatment
onesnaženje zraka v zaprtih prostorih	indoor air pollution
zunanje okolje	indoor environment
industrijska dejavnost	industrial activity
industrijsko območje	industrial area
industrijska združba	industrial association
industrijsko poslopje	industrial building
industrijska rastlina	industrial crop
industrijski razvoj	industrial development
odlaganje industrijskih odpadkov	industrial dumping
industrijsko gospodarstvo	industrial economics
industrijske odplake	industrial effluent
industrijske emisija, emisije iz industrije	industrial emission
industrijsko okolje	industrial environment
okoljska politika v industriji	industrial environmental policy
industrijska oprema	industrial equipment
industrijski obrat	industrial installation
zakonodaja s področja industrije	industrial legislation
industrijska proizvodnja	industrial manufacturing
industrijski material	industrial material
medicina dela	industrial medicine
industrijski hrup	industrial noise
načrtovanje industrijskih dejavnosti	industrial planning
industrijski/proizvodni obrat ; industrijski ; proizvodni obrat	industrial plant (building) ; industrial plant
industrijska rastlina	industrial plant (organism) ; industrial plant
industrijska politika	industrial policy
industrijsko onesnaženje	industrial pollution
industrijski proces	industrial process
industrijski izdelek, industrijski proizvod	industrial product
industrijska proizvodnja	industrial production
statistični podatki o industrijski proizvodnji	industrial production statistics
pravica industrijske lastnine (patenti, zaščiteni modeli, blagovne znamke)	industrial property right
industrijska varnost, varnost industrijskih objektov in naprav	industrial safety
industrijska lokacija	industrial site
industrijska gošča	industrial sludge
industrijska družba	industrial society
struktura industrije	industrial structure
industrijski odpadki	industrial waste
industrijski odpadni plin	industrial waste gas
industrijska odpadna voda	industrial waste water
neuporabno industrijsko zemljišče	industrial wasteland
določanje površin za gospodarsko dejavnost	industrial zoning
industrializacija	industrialisation
industrija	industry
neaktivni, inertni odpadki	inert waste
stabilizacija in zgostitev odpadkov	inertisation
majhen otrok	infant
smrtnost/umrljivost dojenčkov	infant mortality
okužba, infekcija	infection
infekcijska bolezen	infectious disease
napad škodljivcev na pridelek, infestacija pridelka	infestation of crops
napad škodljivcev na živila, infestacija živil	infestation of food
pronicanje	infiltration
vnetljiva snov	inflammable substance
dotok meteorne vode (kanalizacija) ; dotok meteorne vode	inflow
informacija ; informacije ; podatki	info ; information
neformalna pogajanja	informal negotiation
informatika	informatics ; computer science ; information science
informacijsko središče	information centre
informacijsko središče	information clearing-house
izmenjava informacij	information exchange
informacijska infrastruktura	information infrastructure
informacijsko gradivo	information kit
informacijsko omrežje	information network
obdelava podatkov	information processing
informacijska/informativna služba ; informacijska služba ; informativna služba	information service
vir informacij	information source
informacijski sistem	information system
informacijska tehnologija	information technology ; IT
informacijska tehnologija (dejavnost)	information technology industry
prenos informacij	information transfer
kršitev (zakona, pogodbe), zloraba (pravice) ; kršitev ; zloraba	infraction
infrardeče sevanje	infrared radiation
infrazvok	infrasound
infrastruktura	infrastructure
prebivalec	inhabitant
začetno izobraževanje	initial training
poškodba	injury
črnilo	ink
ribolov v sladkih vodah	inland fishery
notranja plovba	inland navigation
vode na kopnem	inland water
prevoz/transport po notranjih plovnih poteh (rekah, kanalih ali jezerih)	inland waterways transport
novost, inovacija ; inovacija ; novost	innovation
anorganska kemija	inorganic chemistry
anorgansko gnojilo	inorganic fertiliser
anorgansko onesnaževalo	inorganic pollutant
anorganska snov	inorganic substance
žuželke (Insecta) ; žuželke	insect
insekticid	insecticide
žužkojedi (Insectivora) ; žužkojedi	insectivore
netopna snov	insoluble substance
(inšpekcijski) pregled ; pregled	inspection
pregled poslovnih knjig	inspection of records
inšpekcijska služba	inspection service
optimizacija objektov in naprav	installation optimisation
inštalacije, za katere je potrebno soglasje	installation requiring approval
obnova, restavriranje (zgradb)	installation restoration
institucionalna dejavnost	institutional activity
institucionalna struktura	institutional structure
inštitucionalizacija	institutionalisation
instrument ; inštrument	instrument ; musical instrument
izdelava inštrumentov	instrument manufacture
izdelava in uporaba inštrumentov	instrumentation
izolacija	insulation
zavarovanje	insurance
zavarovalništvo	insurance business
zavarovalniško kritje	insurance coverage
območje integralnega varstva narave, strogi naravni rezervat	integral natural reserve
integrirana tehnologija varstva okolja	integrated environmental protection technology
integralno upravljanje	integrated management
celovito zatiranje škodljivcev	integrated pest control
celovit nadzor in preprečevanje onesnaževanja	integrated pollution control
intenzivna živinoreja	intensive animal husbandry
intenzivno kmetijstvo	intensive farming
medknjižnična izposoja	inter-library loan
vzajemno delovanje pesticidov, interakcija pesticidov	interaction of pesticides
izmenjava elektronskih podatkov	interchange of electronic data
interdisciplinarno raziskovanje, interdisciplinarna raziskava	interdisciplinary research
obresti	interest
interesna skupina	interest group
začasna odločitev	interim decision
medlaboratorijska primerjava	interlaboratory comparison
polizdelki	intermediate goods
občasni hrup	intermittent noise
notranji evropski trg	internal European market
notranje migracije	internal migration
internalizacija zunanjih stroškov	internalisation of external costs
mednarodni sporazum, mednarodni dogovor	international agreement
mednarodna podpora	international assistance
mednarodno ravnovesje	international balance
mednarodno sodelovanje	international co-operation
mednarodna konkurenčnost	international competitiveness
mednarodni konflikt	international conflict
mednarodna konvencija	international convention
svetovna razporeditev	international distribution
mednarodna delitev dela	international division of labour
mednarodni gospodarski zakon	international economic law
mednarodni okoljski odnosi	international environmental relations
mednarodno usklajevanje	international harmonisation
mednarodno pravo	international law
mednarodna organizacija	international organisation
mednarodna politika	international politics
mednarodni odnosi	international relations
mednarodna varnost	international safety
mednarodna standardizacija	international standardisation
mednarodna trgovina	international trade
mednarodna transakcija, zunanjetrgovinski posel	international transaction
mednarodni vodotok	international watercourse
ekosistem mednarodnega pomena	internationally important ecosystem
storitev iskanja po internetu	internet search service
ponudnik medmrežnih storitev	internet service provider ; ISP ; Internet access provider ; Internet service provider
interpolacija	interpolation
metoda interpretacije	interpretation method
območje plimovanja	intertidal zone
intervencijski sklad	intervention fund
sanacijski poseg v naravo in pokrajino	intervention in nature and landscape
ukrepanje na kopnem	intervention on land
zastrupitev	intoxication
vnašanje živalskih vrst	introduction of animal species
vnašanje rastlinskih vrst	introduction of plant species
inventar, seznam, popis	inventory
popis škode v gozdu	inventory of forest damage
inverzija, obrat ; inverzija ; obrat	inversion
inverzijska plast	inversion layer
nevretenčar	invertebrate
naložba, investicija	investment
jod	iodine
ion	ion
ionska izmenjava	ion exchange
ionski izmenjevalec	ion exchanger
ionizirno sevanje	ionising radiation
ionosfera	ionosphere
iridij	iridium
železo	iron
železarstvo in jeklarstvo	iron and steel industry
črna metalurgija	iron industry
železni odpadki	iron scrap
predelava železa in jekla	ironwork industry
obsevanje	irradiation
nepovratnost	irreversibility of the phenomenon
umetno namakanje	irrigation
namakalno kmetijstvo	irrigation farming
namakalni sistem	irrigation system
otok	island ; isle
otoški ekosistem	island ecosystem
izomer	isomer
izotop	isotope
slonovina	ivory
šakal	jackal
jaguar	jaguar
jazz	jazz
solidarni dolžnik	joint debtor
skupna izvedba	joint implementation
novinar	journalist
obsodba, sodba, razsodba, sklep sodišča ; obsodba ; sodba ; razsodba ; sklep sodišča	judgement (sentence) ; sentence ; judgement
pravna pomoč	judicial assistance
sodni organ	judicial body
sodni sistem	judicial system
sodno pravilo, pravna norma	judiciary rule
judo	judo
sodni akt	juridical act
jurisdikcija, pravna/sodna pristojnost	jurisdiction
pravo	jurisprudence
pravičnost/zakonitost, pravosodje/sodstvo/sodna oblast	justice
kras	karst
kerozin	kerosene
skakač	knight ; knight
kripton	krypton
označevanje	labelling
laboratorij	laboratory
laboratorijski poskus	laboratory experiment
laboratorijska raziskava	laboratory research
laboratorijska tehnika	laboratory technique ; laboratory techniques
laboratorijski preskus	laboratory test
laboratorijski odpadki	laboratory waste
delo	labour
delovna sila	labour force
delovna zakonodaja	labour law
trg delovne sile	labour market
delovna razmerja, odnosi med delavci in delodajalci	labour relations
lak	lacquer
laguna	lagoon
čiščenje z laguno	lagooning
jezero	lake
jezerska kotanja	lake basin
onesnaženje jezer	lake pollution
luč, svetilka ; luč ; svetilka	lamp ; light
površje ; zemlja ; zemljišče	land
parcelacija	land allotment
čiščenje/trebljenje zemljišča	land clearing
ohranjanje/varstvo površin	land conservation
komasacija	land consolidation
pojavi na zemeljskem površju	land cover
prostorski razvoj	land development
odlaganje odpadkov na/v zemljo	land disposal
ekologija kopnega	land ecology
oblikovanje površja	land forming
kopenski sesalec	land mammal
gospodarjenje z zemljišči in načrtovanje	land management and planning
raba zemljišč	land occupation
načrtovanje rabe zemljišč	land planning
onesnaženje tal	land pollution
melioracija	land reclamation
zemljiška knjiga, kataster	land register
sanacija tal za rabo	land restoration
sanacija tal v gorskih območjih	land restoration in mountain areas
oblikovanje regionalne politike, regionalno planiranje in usklajevanje	land setup
zemljiški davek	land tax
kopenski prevoz/transport, prevoz po kopnem	land transportation
raba tal	land use
razvrstitev (klasifikacija) rabe tal	land use classification
načrt rabe tal	land use plan
načrtovanje rabe tal	land use planning
zemljiškoposestno razmerje	land use regime
vrednost zemljišča	land value
aktivnost na kopnem	land-based activity
onesnaževanje morja s kopnega	land-based marine pollution
območje, potrebno prostorske ureditve	land-management intervention area
odlagališče odpadkov ; odlagališče odpadkov, deponija ; deponija	landfill
tesnenje odlagališčnega dna	landfill base sealing
prekritje deponije	landfill covering
odplinjevanje deponije	landfill degasification
deponijski plin	landfill gas
deponijske izcedne vode	landfill leachate
reliefna oblika	landform
pokrajina, krajina	landscape
rudarska pokrajina/krajina	landscape after mining
spreminjanje pokrajine/krajine	landscape alteration
krajinska arhitektura	landscape architecture
pokrajinski/krajinski element ; pokrajinski ; krajinski element	landscape component
ohranjanje pokrajine/krajine	landscape conservation
politika ohranjanja pokrajine/krajine	landscape conservation policy
obsežnejši poseg v krajino	landscape consumption
pokrajinska ekologija	landscape ecology
izvajanje ukrepov za ohranjanje pokrajine/krajine	landscape management
krajinsko načrtovanje	landscape planning
varstvo pokrajine/krajine	landscape protection
zavarovano krajinsko območje	landscape protection area
izraba pokrajine	landscape utilisation
zemeljski plaz	landslide
velika zgorevalna naprava	large combustion plant
laser	laser ; Light Amplification by Stimulated Emission of Radiation
zemljepisna/geografska širina	latitude
pranje in likanje	laundering
zakon, zakonitost ; zakon ; zakonitost	law
zakonodaja	law
pravo	law ; law (science)
zakonsko dopolnilo, novela/amandma (zakona)	law amendment
veja prava	law branch
osnutek zakona	law draft
izvajanje zakona	law enforcement
zakon o zaporih	law relating to prisons
lavrencij	lawrencium
izpiranje	leaching
svinec	lead
svinčeva spojina	lead compound
vsebnost svinca v krvi	lead level in blood
zakon o vsebnosti svinca v bencinu	lead-in-petrol law
list	leaf
iztekanje (tekočine), uhajanje (plina), pronicanje ; pronicanje ; iztekanje ; uhajanje	leakage
najem, zakup ; najem ; zakup	lease
usnje	leather
usnjarska industrija	leather industry
pravna osnova, zakonska podlaga	legal basis
pravna oblika organizacij	legal form of organisations
pravni postopek	legal procedure
pravniški poklic, pravna stroka	legal profession
pravni predpis	legal regulation
pravno sredstvo	legal remedy
pravni sistem	legal system
pravni dokument	legal text
zakonita pravica	legally protected right
zakonodaja, (vsi) zakoni, pravni predpisi	legislation
zakonodaja o onesnaževanju okolja	legislation on pollution
zakonodajna oblast	legislative authority
zakonodajna pristojnost, zakonodajna kompetenca	legislative competence
informacije o zakonodaji, pravne informacije	legislative information
zakonodajni postopek	legislative procedure
zakonodajno telo	legislature
prostočasna dejavnost, dejavnost/aktivnost v prostem času, hobi	leisure activity
rekreacijsko središče	leisure centre
prosti čas	leisure time
limona	lemon
leopard	leopard
metulji (Lepidoptera)	lepidopteran
manj razvita država	less developed country
črka	letter
levkemija	leukaemia
stopnja izobrazbe	level of education
obdavčenje, obdavčitev, pobiranje davkov/dajatev ; obdavčitev ; obdavčenje ; pobiranje davkov ; pobiranje dajatev	levy
leksikon ; leksikon, slovar ; slovar	lexicon
(pogodbena) obveznost, odgovornost ; odgovornost ; obveznost	liability
zakonodaja o prevzemu odgovornosti	liability legislation
knjižnica	library
knjižnična storitev	library service
postopek izdaje dovoljenj/licenc, postopek licenciranja	licencing procedure
lišaj	lichen
življenjski cikel	life cycle
vede o živih organizmih, biološke vede	life science
nadzor nad življenjskim ciklom izdelka	life-cycle management
življenjski slog/stil	lifestyle
svetloba, luč ; svetloba ; luč	light
razsvetljava	lighting
lignit	lignite
pridobivanje lignita	lignite mining
apno	lime
apnenec	limestone
mejna vrednost	limit value
limnologija	limnology
črta	line
linijski vir (onesnaženja)	line source
linijski vir zvoka	linear source of sound
tesnilna plast	liner material
jezikoslovje ; lingvístika	linguistics
lev	lion
ustnica	lip
lipid	lipid
lipofilna snov	lipophilic substance
šminka	lipstick
utekočinjeni plin	liquefied gas
tekočina	liquid
gnojnica in gnojevka	liquid manure
tekoče stanje	liquid state
tekoči odpadki	liquid waste
književnost, literatura ; književnost ; literatura	literature
banka podatkov o literaturi	literature data bank
literarna ocena/kritika	literature evaluation
literarna študija	literature study
litij	lithium
litosfera	lithosphere
pravni spor, proces, pravdni/sodni postopek ; sodni postopek ; pravni spor ; proces ; pravdni	litigation
odpadki ; stelja (za živino) ; stelja	litter
mezinec	little finger ; pinkie
območje plimovanja ; območje plimovanja, litoral ; litoral	littoral
jetra	liver
živina	livestock
vzreja živine	livestock breeding
živinoreja	livestock farming
življenjske razmere, življenjski pogoji	living condition
bivalno okolje	living environment
življenjski prostor	living space
življenjski standard	living standard
kuščariji (Lacertidae)	lizard
maksimalna obremenitev, nosilnost	load bearing capacity
lokalno pogozdovanje	local afforestation
lokalna uprava	local authority
lokalni razvoj	local development
lokalne finance	local finance
lokalna oblast/uprava	local government
lokalna politika	local government policy
lokalna oskrba s toploto	local heat supply
krajevni potniški promet	local passenger service
lokalna rekreacija	local recreation
raba lokalnih virov	local resource utilisation
lokalni/krajevni promet	local traffic
lociranje industrije	location of industries
lokomotiva	locomotive
stanovanje, namestitev, oddajanje sob ; stanovanje ; namestitev ; oddajanje sob	lodging
medkrajevni promet	long-distance traffic
medkrajevni prevoz/transport	long-distance transport
dolgotrajni učinek/vpliv, dolgotrajna posledica	long-term effect
dolgotrajni poskus/eksperiment, dolgoročni poskus/eksperiment	long-term experiment
zemljepisna/geografska dolžina	longitude
tovornjak, kamion ; tovornjak ; kamion	lorry
izguba	loss
uničenje biotopa	loss of biotope
loterija	lottery
glasnost, hrupnost	loudness
nizek vodostaj	low flow
solidarnostna/socialna stanovanja	low-cost housing
nizek polet	low-level flight
enostavna tehnologija	low-level technology
mazivo	lubricant
svetilnost	luminosity
južina ; južina ; južina ; južina ; južina ; obed ; obed ; obed ; obed ; obed	lunch ; lunch ; lunch ; lunch ; luncheon
pljuča	lung
lug	lye
limfni sistem	lymphatic system
lizimetrija	lysimetry
proizvodnja strojev, strojegradnja	machine manufacture
stroji	machinery ; mechanism
skuša	mackerel
makroekonomski cilj	macroeconomic goal
makroekonomija	macroeconomics
makrofit	macrophyte
magnezij	magnesium
magnetni trak	magnetic tape
magnetizem	magnetism
vzdrževanje (opreme, strojev) ; vzdrževanje	maintenance (technical) ; maintenance
vzdrževanje/ohranjanje okolja	maintenance of environment
velika/huda nezgoda, katastrofa	major accident
hudo tveganje	major risk
naprave/objekti z visoko stopnjo tveganja	major risk installation
malarija	malaria
spačenost, skaženost	malformation
nezadostna/slaba prehrana	malnutrition
sesalec	mammal
človek	man
podnebne spremembe, ki jih povzroča človek	man-made climate change
upravljanje, vodenje, gospodarjenje, ravnanje	management
računovodstvo	management accounting
pogodba o upravljanju, individualna pogodba za vodilne delavce	management contract
gospodarjenje z naravnimi viri	management of natural resources
načrt upravljanja, načrt gospodarjenja ; načrt upravljanja ; načrt gospodarjenja	management plan
metoda vodenja/upravljanja	management technique
mandarinščina	mandarin ; Mandarin ; Standard Mandarin
pooblastilo, ukaz, naročilo	mandate
mangan	manganese
mangrova	mangrove
(človeška) moč, delovna sila/delavci	manpower
proizvodna dejavnost	manufacturing activity
trgovina za namen proizvodnje	manufacturing trade
gnoj	manure
proizvodnja gnoja	manure production
karta ; zemljevid	map
karta ; zemljevid	map chart
kartiranje	mapping
kartiranje lišajev	mapping of lichens
makija	maquis
marmor	marble
kobila	mare
zemljišče z mejno donosnostjo	marginal land
marikultura	mariculture
marina, majhno pristanišče ; marina ; majhno pristanišče	marina
biologija morja	marine biology
ekologija morja	marine ecology
morski ekosistem	marine ecosystem
ladijsko strojništvo, ladijska strojegradnja	marine engineering
morsko okolje	marine environment
morska favna	marine fauna
morski ribolov	marine fishery
geologija morja	marine geology
morski sesalec	marine mammal
monitoring morja (spremljanje onesnaženosti morja)	marine monitoring
morski organizem	marine organism
vodni park	marine park
onesnaženje morja	marine pollution
morski rezervat	marine reserve
zakonski stan	marital status
pomorsko pravo	maritime law
pomorska plovba	maritime navigation
pomorski prevoz, pomorski transport	maritime transport
sledilna snov, sledilo	marker
trg ; trg, tržišče ; tržišče	market ; marketplace
tržna ekonomija, blagovno-denarno gospodarstvo	market economy
struktura trga	market form
komercialno sadjarstvo in vrtnarstvo	market gardening
tržna cena	market price
tržna raziskava	market research
tržna raziskava	market study
trženje, marketing ; trženje ; marketing	marketing
barje	marsh
vrečarji (Marsupialia) ; vrečarji	marsupial
zidarstvo	masonry
sredstva javnega obveščanja	mass media
množična rekreacija	mass recreation
snovni pretok	mass transport
materiali ; snov, material	material ; materials
življenjski cikel materialov	material life cycle
veda o gradivih	materials science
matematična analiza	mathematical analysis
matematična metoda	mathematical method
najvišja dopustna koncentracija	maximum admissible concentration
maksimalna koncentracija imisij	maximum immission concentration
majoneza	mayonnaise
travnik	meadow
produkcijska sredstva v kmetijstvu	means of agricultural production
komunikacijska sredstva	means of communication
meritev, merjenje	measuring
merilni instrument	measuring instrument
merilna metoda	measuring method
program meritev/merjenja	measuring programme
meso	meat
strojna/mehanska oprema	mechanical equipment
strojna industrija	mechanical industry
tresenje	mechanical vibration
medicina ; medicina (znanost)	medical science
zdravilna rastlina	medicinal plant
medicina	medicine ; medicine (practice)
melodija	melody ; tune
topljenje	melting
opna, membrana ; opna ; membrana	membrane
mendelevij	mendelevium
meningitis	meningitis
trgovec	merchant
redni ladijski prevoz	merchant shipping
živo srebro	mercury
metabolizem, presnavljanje, presnova ; metabolizem ; presnavljanje ; presnova	metabolism
metabolit, produkt presnove ; metabolit ; produkt presnove	metabolite
metapodatek, metapodatki	metainformation
kovina	metal
kovinski oksid	metal oxide
kovinski izdelek	metal product
industrija/proizvodnja kovinskih izdelkov, kovinska industrija	metal products industry
kovinski odpadki	metal waste
kovinski mineral	metallic mineral
metalurgija, kovinarstvo	metallurgical industry
metalurgija	metallurgy
metafizika	metaphysics
meteor ; meteor ; meteor ; meteor ; meteor	meteor ; meteor ; meteor ; meteor ; meteor ; shooting star ; falling star
meteorit	meteorite
vremenska ujma	meteorological disaster
meteorološki parameter	meteorological parameter
meteorološki pojav	meteorological phenomenon
meteorološka raziskava	meteorological research
meteorologija, vremenoslovje	meteorology
metan ; metilhidrid	methane ; marsh gas ; methyl hydride
pridobivanje metana	methanisation
metanol	methanol
metoda	method
metodologija	methodology
metrologija, meroslovje	metrology
prestolnica, glavno mesto, metropola ; prestolnica ; glavno mesto ; metropola	metropolis
mikroorganizem	micro-organism
mikrobiološka analiza	microbiological analysis
mikrobiologija	microbiology
mikroklima	microclimate
mikroklimatologija	microclimatology
mikroračunalnik	microcomputer
mikroekosistem	microecosystem
mikroelektronika	microelectronics ; microminiaturization ; microsystem electronics
mikrofiltracija	microfiltration
mikroonesnaževalo	micropollutant
mikroskopija	microscopy
mikroval	microwave
migracijska delovna sila	migrant labour
ptica selivka	migratory bird
ribe selivke	migratory fish
vojaške dejavnosti/aktivnosti	military activities
vojaški zračni promet	military air traffic
vojaški vidiki	military aspects
vojaška oprema	military equipment
vojaška cona, vojaško območje	military zone
mleko	milk
mlin	mill
rudnik	mine
zasipavanje rudnikov	mine filling
mineral	mineral
mineralno sredstvo za izboljšanje lastnosti tal	mineral conditioner
mineralno nahajališče	mineral deposit
pridobivanje mineralov	mineral extraction
mineralno vlakno	mineral fibre
pridobivanje nekovinskih mineralnih surovin	mineral industry
mineralna snov	mineral matter
mineralno olje	mineral oil
onesnaževanje v rudarstvu	mineral pollution
mineralni viri, mineralne zaloge	mineral resource
mineralni odpadki	mineral waste
mineralna voda	mineral water
mineralizacija	mineralisation
mineralogija	mineralogy
načrtovanje (proizvodnje, storitev) z minimalnimi stroški	minimal cost planning
zmanjševanje škode	minimisation of damage
rudarsko območje	mining district
rudarstvo	mining industry
zakon o rudarstvu	mining law
rudarski proizvod	mining product
predpis o rudarski dejavnosti	mining regulation
sanacija opuščenega rudnika	mining site restoration ; mine reclamation
odpadki rudarjenja, jalovina	mining waste
pristojnost ministra	minister competence
ministrska odredba, odlok, odločba	ministerial decree
ministrstvo	ministry
ministrska stavba, ministrstvo ; ministrstvo ; ministrska stavba	ministry ; ministry building
mladoletnik	minor
manjšina	minority
minuta	minute
različni izdelki	miscellaneous product
mešljivost	miscibility
meglica	mist
pršica	mite
omilitveni ukrep	mitigation measure
mitoza	mitosis
mešano kmetijstvo	mixed farming
mešani gozd	mixed forest
območje različne rabe	mixed use area
mešanje	mixing
mobilno bivališče	mobile home
način prevoza/transporta	mode of transportation
model	model
modeliranje	modelling
vlaga	moisture
molekularna biologija	molecular biology
mehkužec	mollusc
molibden	molybdenum
ovrednotenje finančnega premoženja	monetary assessment
denarno/blagovno gospodarstvo	monetary economics
denarni/monetarni odnosi	monetary relations
denarni trg	money market
monitoring, monitorstvo, spremljanje, opazovanje ; monitoring ; monitorstvo ; spremljanje ; opazovanje	monitoring
kriterij monitoringa	monitoring criterion
podatki, pridobljeni z monitoringom	monitoring data
oprema za monitoring	monitoring equipment
mreža opazovalnih postaj	monitoring network
opazovalna postaja	monitoring station
tehnika monitoringa	monitoring technique
monopol	monopoly
spomenik	monument
morfin	morphine
morfologija	morphology
smrtnost, umrljivost	mortality
mozaik	mosaic
mošeja	mosque
mah	moss
motet	motet
tašča	mother-in-law ; mother in law
motorno gorivo	motor fuel
motorno vozilo	motor vehicle
izpušni plin iz motornega vozila	motor vehicle exhaust gas
industrija motornih vozil	motor vehicle industry
onesnaževanje iz motornih vozil	motor vehicle pollution
motorno kolo	motorcycle ; motorbike
avtocesta	motorway ; pike ; expressway ; freeway ; state highway ; superhighway ; throughway ; thruway
gora	mountain
gorsko podnebje	mountain climate
višinski gozd	mountain forest
gospodarjenje z gorami	mountain management
varstvo gora	mountain protection
gorovje	mountain range
gorsko letovišče	mountain resort
gorato območje	mountainous area
košnja	mowing
blato	mud
blatna ravnica	mud flat
mulčenje	mulch
večstranski (multilateralni) sporazum	multilateral agreement
večpredstavnostna tehnologija	multimedia technology
večnacionalna družba, multinacionalka	multinational firm
multispektralni skener	multispectral scanner
komunalna dejavnost	municipal cleansing service
komunalna deponija	municipal dumping
občinski okoljski načrt	municipal environment plan
občinska okoljska politika	municipal environmental policy
občinska zakonodaja	municipal law
občinska raven	municipal level
komunalni odpadki	municipal waste
oskrba z vodo	municipal water distribution system
občinsko gospodarjenje z vodo	municipal water management
občina	municipality
mišični sistem	muscular system
muzej	museum
goba	mushroom
glasba	music
muzikal	musical
glasbenik	musician
komar	musquito ; mosquito
gojenje školjk, školjkarstvo	mussel farming
kune (Mustelidae)	mustelid
mutagen	mutagen
mutagenost	mutagenicity
preskušanje mutagenosti	mutagenicity testing
mutant	mutant
sproščanje/vnos mutiranih mikroorganizmov	mutated micro-organisms release
mutacija	mutation
micelij, podgobje ; micelij ; podgobje	mycete
mikologija	mycology
mikoriza	mycorrhiza
mit	myth
podnožišče	nadir
plenica	nappy
narodnogospodarsko računovodstvo	national accounting
državna meja	national boundary
nacionalno/narodno gospodarstvo	national economy
