Slovenian	English
računovodski sistem	accounting system
akumulator ; baterija	accumulator
kislina	acid
kisle padavine	acid deposition
kisel dež	acid rain
zakisovanje	acidification
kislost	acidity
stopnja kislosti	acidity degree
zvočno ugodje	acoustic comfort
zvočni filter	acoustic filter ; audio filter
zvočna izolacija	acoustic insulation
raven zvoka	acoustic level ; sound pressure level
zvočne lastnosti	acoustic property
akustična kakovost	acoustical quality
akustika	acoustics
pridobitev	acquisition
dejanje ; ravnanje	act ; deed
aktinidi	actinide
aktinij	actinium
delovna skupina	action group ; action committee
aktivno oglje	activated carbon
aktivno blato	activated sludge
aktivna udeležba	active participation
aktivno prebivalstvo	active population
obdobje prilagajanja	adaptation period
seštevanje	addition
dodatna embalaža	additional packaging
aditiv, dodatek živilom	additive
ustrezna oskrba s hrano	adequate food supply
adheziv, lepilo ; lepilo ; adheziv	adhesive
pridevnik	adjective ; describing word
prilagoditi	adjust
uprava ; upravljanje, vodenje, uprava, administracija ; upravljanje ; vodenje ; administracija	administration ; direction ; management
upravni organ	administrative body ; administrative organ
administrativna meja	administrative boundary
upravna pristojnost ; upravna usposobljenost, upravna pristojnost ; upravna usposobljenost	administrative competence ; administrative ability
dokument ; upravni akt/dokument/listina ; upravni akt ; listina	administrative deed
upravna odredba	administrative fiat
upravni napotki	administrative instructions
upravno pravo	administrative law
upravna dejavnost	administrative occupation
upravna organizacija/organiziranost	administrative organisation
upravni postopek	administrative procedure
kazenski ukrep	administrative sanction
posvojitev	adoption
adsorpcija	adsorption
odrasla oseba	adult
izobraževanje odraslih	adult education
oglas ; reklama	advertisement ; promotion
nasvet, obvestilo/sporočilo ; obvestilo ; nasvet ; sporočilo	advice
zračenje	aeration
antena	aerial
letalski posnetek	aerial photograph
letalska fotografija	aerial photography
aerobni proces	aerobic process
aerobno čiščenje	aerobic treatment
aerobiologija	aerobiology
aerodinamični hrup	aerodynamic noise
aerosol	aerosol
estetika	aesthetics
pogozdovanje	afforestation ; tree planting ; afforestment
naknadno zgorevanje	afterburning ; afterburning ; afterburner
starost	age
nasilen	aggressive
napadalec	aggressor ; assailant ; attacker ; assaulter
agorafobija	agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia
pogodba	agreement
dogovor, sporazum, pogodba	agreement
dogovor, sporazum ; sporazum ; dogovor	agreement
živilskopredelovalna industrija	agri-foodstuff
biotehnologija v kmetijstvu	agricultural biotechnology
kmečko poslopje	agricultural building
katastrofa v kmetijstvu	agricultural disaster
ekologija kmetijstva	agricultural ecology ; agroecology
agrarna ekonomika	agricultural economics
odpadek iz kmetijstva	agricultural effluent
kmetijsko inženirstvo	agricultural engineering
kmetijska oprema, kmetijska mehanizacija	agricultural equipment
kmetijska mehanizacija, kmetijski stroji ; kmetijska mehanizacija ; kmetijski stroji ; kmetijska oprema	agricultural equipment ; agricultural machinery ; farm machinery
kmetijska raba (površin)	agricultural exploitation
hidromelioracije	agricultural hydraulics
kmetijska površina	agricultural land
kmetijska pokrajina	agricultural landscape
kmetijska zakonodaja	agricultural legislation
kmetijsko gospodarjenje	agricultural management
metoda kmetijske pridelave	agricultural method
kmetijski škodljivci	agricultural pest
kmetijsko načrtovanje	agricultural planning
kmetijska politika	agricultural policy
onesnaženje iz kmetijstva	agricultural pollution
kmetijski pridelek/proizvod	agricultural product
kmetijska pridelava	agricultural production ; farm production ; agricultural output
kmetijske nepremičnine	agricultural real estate
skladiščenje kmetijskih pridelkov	agricultural storage
kmetijska oprema in poslopja	agricultural structure
podcenjevanje kmetijstva	agricultural undervaluation
kmetijski odpadki, odpadki iz kmetijstva ; kmetijski odpadki ; odpadki iz kmetijstva	agricultural waste
kmetijstvo	agriculture
kmetijstvo ; kmetijstvo	agriculture ; agriculture
veliki kmetijski obrati	agriculture and cattle industry
okvirni kmetijski načrt	agriculture framework plan
turizem na kmetiji	agritourism
agrokemično sredstvo	agrochemical
gozdno kmetijstvo	agroforestry
agroživilska industrija	agroindustry
agrometeorologija	agrometeorology
agronomska vrednost	agronomic value
agronomija	agronomy
agrosistem	agrosystem
politika nudenja pomoči	aid policy
zrak	air
klimatizacija	air conditioning ; AC ; air-conditioning
