Norwegian	﻿English
yrke	employment ; employment ; job ; job ; occupation ; work ; work
sysselsetting og miljø	employment and environment
sysselsettingseffekt	employment level effect
sysselsettingsstruktur	employment structure
emulgering	emulsification
emulsjon	emulsion
innkapsling (asbest)	encapsulation
leksikon	encyclopaedia
teknologi for rensing før utslipp	end-of-pipe technology
truet dyreart	endangered animal species
truet planteart	endangered plant species
endemisk art	endemic species
det endokrine system	endocrine system
endokrinologi	endocrinology
energi	energy
energibalanse	energy balance
energibruk	energy consumption
energiomdanning	energy conversion
energibehov	energy demand
energisløsing	energy dissipation
energiforsyningssystem	energy distribution system
energiøkonomi	energy economics
energieffektivitet	energy efficiency
energiindustri	energy industry
energilovgivning	energy legislation
energiforvaltning	energy management
energimarked	energy market
energipolitikk	energy policy
energiprosess	energy process
energiproduksjon	energy production
energiressurs	energy resource
energisparing	energy saving
energikilde	energy source
energibærer (materiale)	energy source material
energilagring	energy storage
energiforsyning	energy supply
energiteknologi	energy technology
energitype	energy type
energibruk	energy utilisation ; energy use
tvangsfullbyrdelse	enforcement
motor	engine
ingeniør	engineer
teknikk	engineering
ingeniørarbeid	engineering work
velbekommen	enjoy your meal ; have a nice meal
utvidelsespolitikk	enlargement policy
utvidelsesprogram	enlargement programme
anriket uran	enriched uranium
anriking	enrichment
enterovirus	enterovirus
miljø	environment
miljøvennlighet	environment friendly
miljømarked	environment market
miljøulykke	environmental accident
miljøregnskap	environmental accounting
miljøadministrasjonsorgan	environmental administration institution
miljøanalyse	environmental analysis
engstelse for miljøet	environmental anxiety
miljøaspekt ved bosetninger	environmental aspect of human settlements
miljøvurdering	environmental assessment
miljøforringelse	environmental assessment criterion
miljørevisjon	environmental auditing
miljøbevissthet	environmental awareness
miljøendring	environmental change
miljøkjemikalielovgivning	environmental chemicals legislation
miljøkjemi	environmental chemistry
miljøborgerskap	environmental citizenship
miljøforenelighet	environmental compatibility
miljøkonsekvens	environmental consequence
miljøvern	environmental conservation
miljøberedskapsplanlegging	environmental contingency planning
miljøstyring	environmental control
miljøkostnad	environmental cost
miljøkriminalitet	environmental crime
miljøstrafferett	environmental criminal law
miljøkriminalitet	environmental criminality
miljøkriterium	environmental criterion
miljøkultur	environmental culture
miljøskade	environmental damage
miljødata	environmental data
miljøutvikling	environmental development
verdifastsettelse av miljø	environmental economic valuation
miljøøkonomi	environmental economics
miljøøkonomi i et firma	environmental economics of firms
økonomiske forhold i tilknytning til miljø	environmental economy issue
miljøutdanning	environmental education
miljøteknikk	environmental engineering
miljøkonsulenttjeneste	environmental enterprise
miljøetikk	environmental ethics
miljøvennlig innkjøpspolitikk	environmental friendly procurement
miljøfond	environmental fund
miljøfare	environmental hazard
miljømedisin	environmental health
miljøbetinget helsefare	environmental health hazard
helserelatert miljøkonsekvensanalyse	environmental health impact assessment
miljørelatert helsevern	environmental health protection
miljøhistorie	environmental history
miljøbelastning	environmental impact
miljøbelastning fra landbruk	environmental impact of agriculture
miljøbelastning fra akvakultur	environmental impact of aquaculture
miljøbelastning fra energibruk	environmental impact of energy
miljøbelastning fra fiske	environmental impact of fishing
miljøbelastning fra skogbruk	environmental impact of forestry
miljøbelastning fra husholdninger	environmental impact of households
miljøbelastning fra industri	environmental impact of industry
miljøbelastning fra fritidsaktiviteter	environmental impact of recreation
miljøbelastning fra turisme	environmental impact of tourism
miljøbelastning fra transport	environmental impact of transport
miljøkonsekvenserklæring	environmental impact statement
miljøbelastningsundersøkelse	environmental impact study
miljørelatert incitament	environmental incentive
miljøindeks	environmental index
miljøindikator	environmental indicator
miljøindustri	environmental industry
miljøinformatikk	environmental informatics
miljøinformasjon	environmental information
miljøinformasjonsnettverk	environmental information network
miljøinformasjonssystem	environmental information system
miljøverninvestering	environmental investment
miljørett	environmental law
håndheving av miljølov	environmental law enforcement
miljølovgivning	environmental legislation
miljøvernlovgivning for landbruket	environmental legislation on agriculture
miljølovgivningsprosess	environmental legislative process
miljøansvar	environmental liability
miljølisens	environmental licence
miljøforvaltning	environmental management
miljømedisin	environmental medicine
miljøforseelse	environmental misconduct
miljøovervåking	environmental monitoring
miljøstøy	environmental noise
miljørelatert yrke	environmental occupation
miljøforståelse	environmental perception
miljøplan	environmental plan
miljøplanlegging	environmental planning
miljøpolitikk	environmental policy
miljøpolitisk virkemiddel	environmental policy instrument
miljøforurensning	environmental pollution
miljøprioritet	environmental priority
løsning av miljøproblemer	environmental problem solving
miljøprogram	environmental programme
miljøvern	environmental protection
miljømyndighet	environmental protection agency
miljøvernforening	environmental protection association
miljøvernomkostning	environmental protection cost
miljøvern i bedriften	environmental protection in the enterprise
miljøkrav	environmental protection order
miljøvernorganisasjon	environmental protection organisation
miljøvernforskrift	environmental protection regulation
miljøvernteknologi	environmental protection technology
miljøpsykologi	environmental psychology
miljøkvalitet	environmental quality
miljøkvalitetskriterium	environmental quality criterion
miljøkvalitetsmål	environmental quality objective
miljøkvalitetsstandard	environmental quality standard
miljørapport	environmental report
miljøforskning	environmental research
miljørisiko	environmental risk
miljørisikovurdering	environmental risk assessment
miljøfag	environmental science
miljøsikkerhet	environmental security
miljøprøvebank	environmental specimen bank
miljøerklæring (øko-audit) ; miljøerklæring ; øko-audit	environmental statement (eco-audit) ; environmental statement ; eco-audit
miljøstatistikk	environmental statistics
miljøbørs	environmental stock exchange
miljøundersøkelse	environmental study
miljørelatert subsidie	environmental subsidy
miljøarkitektur	environmental sustainable architecture
miljøavgift	environmental tax
miljøundervisning	environmental teaching
miljøteknologi	environmental technology
miljøterminologi	environmental terminology
opplæring i miljøspørsmål	environmental training
miljøkrig	environmental warfare
environmentalisme	environmentalism
miljøfarlig stoff	environmentally dangerous substance
miljøvennlig bedriftsstyring	environmentally friendly management
miljøvennlig produkt	environmentally friendly product
miljørelatert sykdom	environmentally related disease
miljøbevisst atferd	environmentally responsible behaviour
miljøskadelig firma	environmentally unfriendly firm
enzym	enzyme
episenter	epicentre
epidemi	epidemic
epidemiologi	epidemiology
epigram	epigram
epilepsi	epilepsy
likning	equation
ekvator	equator
ekvatorialklima	equatorial climate
hestedyr	equine
teknisk utstyr	equipment
ekvivalent dose	equivalent dose
erbium	erbium
ergonomi	ergonomics
erosjon	erosion
erosjonsvern	erosion control
eiendomsforpaktning	estate rental
estuarbiologi	estuarine biology
estuarint verneområde	estuarine conservation area
estuarium	estuary
forurensning av estuarium	estuary pollution
etsing	etching
etsende stoff	etching substance
etanol	ethanol
eter	ether
etikk	ethics
etnologi	ethnology
etologi	ethology
europium	europium
eutrofiering	eutrophication
evaluering	evaluation
evalueringskriterium	evaluation criterion
evalueringsmetode	evaluation method
teknologivurdering	evaluation of technology
fordampning	evaporation
evapotranspirasjon	evapotranspiration
evolusjon	evolution
eksakt vitenskap	exact science
utgravd hull	excavated hole
utgraving	excavation (process) ; excavation ; earthworks ; digging
utgravingshaug	excavation heap
utgravingsside	excavation side
utgravingssted	excavation site
ekstraordinær skatt	exceptional tax
overskytende høyde på fabrikkpiper	excessive height of chimney stacks
utvekslingspolitikk	exchange policy
gjennomføringsordre	executive order
eksosanlegg	exhaust device
eksos	exhaust gas
utstillingsgjenstand	exhibit
eksisterende kjemikalie	existing chemical
fremmed organisme	exotic species
utgift	expenditure
eksperiment	experiment
eksperimentell studie	experimental study
ekspertsystem	expert system
avtapning av underjordisk vann	exploitation of underground water
undersøkelse	exploration
eksplosjon	explosion
sprengstoff	explosive
eksport	export
eksportlisens	export licence
eksport av farlig avfall	export of hazardous wastes
eksponering	exposure
ekspropriasjon	expropriation
ekstensiv kvegavl	extensive cattle farming
ekstern kostnad	externality
utdødd art	extinct species
utryddelse (økologisk) ; utryddelse	extinction (ecological) ; extinction
utvinning	extraction
ekstraktindustri	extractive industry
øye	eye
øyenbryn	eyebrow
tekstil	fabric
ansikt	face
faktormarked	factor market
industrielt jordbruk	factory farming
fekal bakterie	faecal bacterium
nedfall	fallout
brakkområde	fallow area
familie	family
familierett	family law
familieplanlegging	family planning
hungersnød	famine
gård	farm
husdyr	farm animal
gårdsbygning	farm building
pris ved salg fra gård	farm price
landbruksmetode	farming technique
hurtigreaktor	fast reactor
hurtig trafikk	fast traffic
forkastning	fault
fauna	fauna
gjenoppretting av dyre- og planteliv	fauna restoration
statlig myndighet	federal authority
forbundsregjering	federal government
føderal lov	federal law
honorar	fee
foring av dyr	feeding of animals
sans for naturen	feeling for nature
kattedyr	felid
kvinne	female ; woman
kalkmyr	fen
fermentering	fermentation
fermium	fermium
bregne	fern
ferje	ferry
gjødsel	fertiliser
gjødsellovgivning	fertiliser law
fiber	fibre
fiberglass	fibreglass
åker	field ; land ; land ; acre ; patch
innmarkskade	field damage
feltforsøk	field experiment
feltundersøkelse	field study
fyllmasse	filling material
bensinstasjon	filling station
film	film
filter	filter
filterkake	filter cake
filtrering	filtration
sluttlagring	final storage
finans	finances
økonomisk hjelp	financial aid
økonomisk hjelp	financial assistance
økonomisk kompensasjon	financial compensation
økonomisk bidrag	financial contribution
fond	financial fund
økonomisk virkemiddel	financial instrument
finanslovgivning	financial law
finansforvaltning	financial management
finansmarked	financial market
finansiering	financing
bot	fine
fint støv	fine dust
brann	fire
brannsikring	fire precaution
brannvern	fire protection
brannsikringskrav	fire safety requirement
brannvesen	fire service
brannhemmende middel	fireproofing agent
fyrverkeri	firework
fyring	firing
firma	firm ; corporation ; enterprise ; company ; venture
først ; første	first
fisk	fish
fiskesykdom	fish disease
fiskeoppdrett	fish farming
fiskedød	fish kill
fiskebestand	fish stock
fisketoksisitet	fish toxicity
fiskeriforvaltning	fisheries management
fiskeristruktur	fisheries structure
fiskeri	fishery
fiskeriøkonomi	fishery economics
fiskeripolitikk	fishery policy
fiskeressurs	fishery resource
fiske	fishing
fiskebanke	fishing ground
fiskeindustri	fishing industry
fiskerilovgivning	fishing law
fiskekort	fishing licence
fiskereservat	fishing preserve
fiskefartøy	fishing vessel
armatur	fitting (plumbing) ; fitting ; plumbing equipment ; plumbing fixtures
bekvemmelighetsflagg	flag of convenience
brannfarlig produkt	flammable product
fakling	flaring
smaksstoff	flavouring
loppe	flea
fleksibelt miljøvernpålegg	flexible approach to environmental protection
flokkuleringsmiddel	flocculant
flokkulering	flocculation
flom	flood
flomsikring	flood control
flomvarsling	flood forecast
flomvern	flood protection
flomavrenning	flood runoff
oversvømmelse	flooding
flora (økologi) ; flora	flora (biology) ; flora
flora (dokument) ; flora	flora (document) ; flora
gjenoppretting av flora	flora restoration
flotasjon	flotation
strøm	flow
strømningsfelt	flow field
blomst	flower ; bloom ; blossom
blomsterplante	flowering plant
rennende vann	flowing water
røykgass	flue gas
strømningslære	fluidics
fluidisering	fluidisation
fluidisert sjikt	fluidised bed
fluoridering	fluoridation
fluor	fluorine
spyling	flushing
elveressurs	fluvial resource
flygeaske	fly ash
skumdanner	foaming agent
for ; fôr	fodder ; provender ; forage
forplante	fodder plant
tåke	fog
lauv	foliage
folketradisjon	folk tradition
folklore	folklore
matvare	food
tilsetningsstoff i mat	food additive
næringskjede	food chain
matvarehandel	food commerce
matvarekontaminering	food contamination
matvarehygiene	food hygiene
matvareindustri	food industry
matvarebestråling	food irradiation
matforurensende stoff	food pollutant
matvarekonservering	food preservation
næringsmiddelindustri	food processing industry
matvareproduksjon	food production (agriculture) ; food production
matkvalitet	food quality
matbehov	food requirement
ernæringsfag	food science
matlagring	food storage
næringsmiddelteknologi	food technology
matvaretransport	food transport
næringsmiddel	foodstuff
fot	foot
gangsti	footpath
forkontaminering	forage contamination
foravling	forage crop
forlovgivning	forage law
vade ; vadeplass	ford
varsling	forecast
preklusjon	foreclosure
utenriksøkonomi	foreign economic relations
utenrikspolitikk	foreign policy
utenrikshandel	foreign trade
skog	forest
skogsbiologisk reservat	forest biological reserve
skogdekkeødeleggelse	forest cover destruction
skogskade	forest damage
skogsforringelse	forest deterioration
skogøkologi	forest ecology
skogøkosystem	forest ecosystem
skogsutnyttelse	forest exploitation
skogbrann	forest fire
skogindustri	forest industry
skogforvaltning	forest management
skadegjører på skog	forest pest
skogbrukspolitikk	forest policy
skogbruksprodukt	forest product
skogproduksjon	forest production
skogvern	forest protection
skogreservat	forest reserve
skogressurs	forest resource
skogbruk	forestry
skogbruksøkonomi	forestry economics
skogbruksloven	forestry law
skogbrukslovgivning	forestry legislation
skogbruksmetode	forestry practice
skogbruksenhet	forestry unit
statsform	form of government
speditør	forwarding agent
fossil	fossil
fossilt brensel	fossil fuel
begroing	fouling growth
fontene	fountain
firetaktsmotor	four stroke engine
rammelovgivning	framework legislation
francium	francium
fri kapitalbevegelse	free movement of capital
frihandel	free trade
frihet	freedom
ytringsfrihet	freedom of speech ; freedom of speech
godstransport	freight transport
freon	freon
ferskvann	freshwater
ferskvannsforringelse	freshwater degradation
ferskvannsøkosystem	freshwater ecosystem
ferskvannsorganisme	freshwater organism
forurensning av ferskvann	freshwater pollution
ferskvannsressurs	freshwater resource
frosk	frog
frost	frost
frukt	fruit
fruktdyrking	fruit cultivation
frukttre	fruit tree
brensel	fuel
brenselstilsetning	fuel additive
brennalkohol	fuel alcohol
brenselcelle	fuel cell
brennstoffsammensetning	fuel composition
brenselforbruk	fuel consumption
brennolje	fuel oil
brennstofftankanlegg	fuel tank installation
ved	fuel wood
damp	fume
gassing	fumigation
(kjemisk stoff etter funksjon)	functional substance
soppmiddel	fungicide
sopp	fungus
pels	fur
pelsdyr	fur animal
furan	furan
ovn	furnace
møbel	furniture
møbelindustri	furniture industry
pelshandel	furriery
gadolinium	gadolinium
galleblæren	gallbladder
hønsefugl	gallinacean
gallium	gallium
galvanisering	galvanisation
spill	game
vilt	game
gammastråling	gamma radiation
hage	garden
hageavfall	garden waste
gass	gas
gasskromatografi	gas chromatography
gasselskap	gas company
gassmotor	gas engine
gasskondensering	gas liquefaction
gassblanding	gas mixture
gassrørledningsnettverk	gas network
gassrørledning	gas pipeline
gasskraftverk	gas powered plant
gassrensing	gas purification
gassreservoar	gas reservoir
gassforsyning	gas supply
luftforurenser i gassform	gaseous air pollutant
gassform	gaseous state
forgassing	gasification
gasohol	gasohol
bensinmotor	gasoline engine
fordøyelsessystem	gastrointestinal tract ; alimentary canal
gastropode	gastropod
gassverk	gaswork
arvestoff	gene
generelt	general
general	general
generelt forvaltningstiltak	general administrative order
generell kjemi	general chemistry
allmenndannelse	general education
genetisk mangfold	genetic diversity
genetisk effekt	genetic effect
genteknologi	genetic engineering
genteknologilovgivning	genetic engineering legislation
genetisk informasjon	genetic information
genmodifisering	genetic modification
genpool	genetic pool ; gene pool
genetisk ressurs	genetic resource
genetisk variasjon	genetic variation
genmodifisert organisme	genetically modified organism
genetikk	genetics
genotoksisitet	genotoxicity
stedfestede data	geo-referenced data
stedfestet informasjon	geo-referenced information
geodesi	geodesy
geogen faktor	geogenic factor
geografisk informasjonssystem	geographic information system
geografisk befolkningsfordeling	geographical distribution of population
geografisk projeksjon	geographical projection
geografi	geography
geologisk katastrofe	geological disaster
geologisk prosess	geological process
geologi	geology
geometrisk korreksjon	geometric correction
geometri	geometry
geomorfologisk prosess	geomorphic process
geomorfologi	geomorphology
geofysisk miljø	geophysical environment
geofysikk	geophysics
geoteknikk	geotechnics
geoteknikk	geotechnology
geotermisk energi	geothermal energy
farlig mikroorganisme	germ
kimplasma	germ plasm
germanium	germanium
spiring	germination
giraff	giraffe
jente ; pike	girl
bre	glacier
glasiologi	glaciology
glass	glass
glassindustri	glass industry
briller	glasses ; spectacles
glattis	glaze
globalt aspekt	global aspect
global konvensjon	global convention
global modell	global model
global oppvarming	global warming
glossar	glossary
lim	glue
glykolyse	glycolysis
mål for enkeltstående forretningsforetak	goal of individual economic business
gull	gold
golf	golf
gonoré	gonorrhea
god kveld	good evening
hensiktsmessig forvaltning	good management
varer	goods
varer og tjenester	goods and services
gås	goose
gorilla	gorilla
regjering	government (cabinet)
statlig rådgivningsorgan	government advisory body
regjeringsbygg	government building
regjeringsansvar	government liability
regjeringspolitikk	government policy
korn (matvare) ; korn	grain
gress	graminaceous plant
grammatikk	grammer ; grammar
barnebarn	grandchild
bestefar	grandfather
granitt	granite
granolometri	granulometry
gress	grass
gressbrann	grass fire
gresshoppe	grasshopper
eng- og beitemark	grassland
grus	gravel
grusuttak	gravel extraction
grustak	gravel pit
beiting	grazing
miljøvennlig bygning	green building
grønnstripe	green corridor
grønngjødsel	green manure
grønn revolusjon	green revolution
grøntområde	green space
marin giftalgeoppblomstring	green tide
bladgrønnsak	green vegetable
dyrking i veksthus	greenhouse cultivation
drivhuseffekt	greenhouse effect
drivhusgass	greenhouse gas
ruteteknikk (kart)	gridding
oppmaling	grinding
brutto nasjonalinntekt	gross national product
grunnvann	groundwater
utsette grunnvann for fare	groundwater endangering
grunnvannsuttak	groundwater extraction
grunnvannsforurensning	groundwater pollution
grunnvannsvern	groundwater protection
grunnvannskvalitet	groundwater quality
gruppeatferd	group behaviour
giljotin	guillotine ; guillotine ; guillotine
bukt	gulf
måke	gull
nakenfrøet plante	gymnosperm
gips	gypsum
habitat	habitat
habitatødeleggelse	habitat destruction
hematologi	haematology
blødning	haemorrhage ; bleeding
hafnium	hafnium
haiku	haiku
hagl	hail
hår	hair
halveringstid	half-life
haloform	haloform
halogenert bifenyl	halogenated biphenyl
halogenert forbindelse	halogenated compound
halogenert hydrokarbon	halogenated hydrocarbon
halogenert fenol	halogenated phenol
halogenert forurensende stoff	halogenated pollutant
håndverk	handicraft
håndverksvirksomhet	handicraft business
snørrfille	handkerchief
havn	harbour
spesialavfall	hard-to-dispose-of waste
hårdhet	hardness
lovharmonisering	harmonisation of law
høsting	harvest
hassium	hassium
hat	hate ; hatred
fare	hazard
risikoområde	hazard area
fare ved forurensende stoff	hazard of pollutants
eksport av farlige kjemikalier	hazardous chemical export
helsefarlig stoff	hazardous substance
lovgivning om helsefarlige stoffer	hazardous substances legislation
farlig avfall	hazardous waste
spesialavfallsdeponi	hazardous waste dump
farlig arbeidsmateriale	hazardous working material
dis	haze
han	he
hode	head
nes	headland
åkerreine	headland
helse	health
helseomsorg	health care
helsearbeider	health care profession
helsepåvirkning fra støy	health effect of noise
helseinstitusjon	health facility
helsefare	health hazard
helselovgivning	health legislation
helseforskrift	health regulation
helsetjeneste	health service
forhold mellom helse og miljø	health-environment relationship
helserelatert bioteknologi	health-related biotechnology
hørsel	hearing
hørselsskarphet	hearing acuity
hørselssvekkelse	hearing impairment
høringsprosedyre	hearing procedure
hørselvern	hearing protection
hørselsystem	hearing system
varme	heat
kraftvarmeverk	heat and power station
varmepumpe	heat pump
varmelagring	heat storage
varmeforsyning	heat supply
varmeapparat	heater
hedning	heathen ; infidel ; pagan
heilandskap	heathland
oppvarming	heating
varmeanlegg	heating plant
tungtransport	heavy goods vehicle traffic
tungmetall	heavy metal
tungmetallbelastning	heavy metal load
hekk	hedge
pinnsvin	hedgehog
hedonisme	hedonism
hegemoni	hegemony
helikopter	helicopter
helium	helium
ugressmiddel	herbicide
planteeter	herbivore ; plant eater
heroin	heroin
heterosyklisk forbindelse	heterocyclic compound
høyfjell	high mountain
flo	high tide water
høyspentledning	high voltage line
høyhus	high-rise building
høyhastighetsjernbane	high-speed railway
høyhastighetstog	high-speed train
høyere utdanning	higher education
hovedriksveg	highway
turløype	hiking trail
historisk senter	historic centre
historisk utvikling	historical evolution
historisk minnesmerke	historical monument
historisk undersøkelse	historical research
historisk grunn	historical site
historiografi	historiography
historie	history
ferie	holiday ; opor-garai
feriekoloni	holiday camp
holmium	holmium
hus	home ; home ; house
villahage	home garden
hjemmeside	homepage
homologering	homologation
håp	hope
hormon	hormone
hest	horse
hagebruk	horticulture
sykehus	hospital ; clinic
sykehusavfall	hospital waste
varmtvann	hot water
hotellvirksomhet	hotel industry
husholdning	household
husholdningskjemikalie	household chemical
husholdningsutgifter	household expenditure
innbo og løsøre	household goods
innlosjering	housing
boligtetthet	housing density
boligforbedring	housing improvement
boliglovgivning	housing legislation
boligbyggingsprogram	housing programme
standard for boligkvalitet	housing quality standard
blåbær	huckleberry ; blueberry
menneskekroppen	human body
menneskesykdom	human disease
human økologi	human ecology
menneskets leveområde	human habitat
menneskelig helse	human health
befolkningsmigrasjon	human migration
humanfysiologi	human physiology
befolkning	human population
menneskerettighet	human rights
humaniora	human science
bebyggelse	human settlement
bosetningsforvaltning	human settlement management
menneskeutløst katastrofe	human-made disaster
humanitær hjelp	humanitarian aid
humus	humus
sult	hunger ; hunger ; hunger
jakt	hunting
jaktkort	hunting licence
jaktreservat	hunting reserve
orkan	hurricane
hybridisering	hybridisation
hydraulisk konstruksjon	hydraulic construction
vannbyggingsteknikk	hydraulic engineering
hydraulikk	hydraulics
hydrobiologi	hydrobiology
hydrokarbon	hydrocarbon
lagertank for hydrokarbon	hydrocarbon storage tank
saltsyre	hydrochloric acid ; muriatic acid
hydrokultur	hydroculture
vannkraft	hydroelectric energy
vannkraftverk	hydroelectric power plant
hydrogen	hydrogen
hydrogensulfid	hydrogen sulphide
hydrogeologi	hydrogeology
hydrografisk basseng	hydrographic basin
dreneringsnett	hydrographic network
hydrografi	hydrography
vannbalanse (hydrologi)	hydrologic balance
hydrologisk kretsløp	hydrologic cycle
hydrologisk katastrofe	hydrologic disaster
vannstrømning	hydrologic flow
hydrologi	hydrology
hydrolyse	hydrolysis
hydrometeorologi	hydrometeorology
hydrometri	hydrometry
hydrosfære	hydrosphere
hyene	hyena
hygiene	hygiene
årevinge	hymenopteran
hypertekst	hypertext
smalere begrep	hyponym ; narrower terms ; narrower term
is	ice
ishockey	ice hockey
pakkis	ice pack
isfjell	iceberg
ideologi	ideology
bildeklassifisering	image classification
bildeforbedring	image enhancement
bildefiltrering	image filtering
bildebehandlingsystem	image processing digital system
bilderegistrering	image registration
immisjon	immission
immisjonskontroll	immission control
immisjonskontroll-lovgivning	immission control law
immisjonsskade	immission damage
immisjonsprognose	immission forecast
immisjonsgrense	immission limit
immisjonsbelastning	immission load
immunsystem	immune system
immunitet	immunity
immunitetsprøving	immunoassay
immunsykdom	immunological disease
immunologi	immunology
konsekvensanalyse	impact assessment
minimisering av miljøbelastning	impact minimisation
forebygging av miljøbelastning	impact prevention
reversering av miljøbelastning	impact reversal
belastningskilde	impact source
impaktor	impactor
implementeringslov	implementation law
import	import
importtillatelse	import licence
forringelse	impoverishment
impregneringsmiddel	impregnating agent
impregnering	impregnation
effektivisering	improvement of efficiency
impulsstøy	impulsive noise
in situ	in situ
in vitro-måling	in vitro assay
in vivo-måling	in vivo assay
incitamentfond	incentive fund
incitamentskattlegging	incentive tax
tilfeldig forurensning	incidental pollution
forbrenning	incineration
avfallsforbrenning	incineration of waste
forbrenningsrest	incineration residue
forbrenningsanlegg	incinerator
inntekt	income
inntektsskatt	income tax
inkorporering	incorporation
udefinert juridisk begrep	indefinite legal concept
skadeserstatning	indemnity
uavhengighet	independence
indeks	index
indeksering av dokumentasjon	indexing of documentation
indikator	indicator
indikator for miljøkvalitet	indicator of environmental quality
antatt kunnskap	indigenous knowledge
lokal teknologi	indigenous technology
indirekte induser	indirect discharger
indium	indium
individuell avløpsvannbehandling	individual wastewater treatment
forurensning av inneluft	indoor air pollution
inneklima	indoor environment
industriell aktivitet	industrial activity
industriområde	industrial area
industriforbund	industrial association
industribygning	industrial building
industriplante	industrial crop
industriell utvikling	industrial development
industrifyllplass	industrial dumping
industriøkonomi	industrial economics
industriavløp	industrial effluent
industriutslipp	industrial emission
industrimiljø	industrial environment
industrimiljøpolitikk	industrial environmental policy
industriutstyr	industrial equipment
industrianlegg	industrial installation
industrilovgivning	industrial legislation
industriell produksjon	industrial manufacturing
industrimateriale	industrial material
bedriftsmedisin	industrial medicine
industristøy	industrial noise
industriplanlegging	industrial planning
industrianlegg	industrial plant (building) ; industrial plant
industriplante	industrial plant (organism) ; industrial plant
industripolitikk	industrial policy
industriforurensning	industrial pollution
industriprosess	industrial process
industriprodukt	industrial product
industriproduksjon	industrial production
industristatistikk	industrial production statistics
beskyttelse av industrieiendom	industrial property right
sikkerhet på arbeidsplassen	industrial safety
industritomt	industrial site
industrislam	industrial sludge
industrisamfunn	industrial society
industristruktur	industrial structure
industriavfall	industrial waste
industriavgass	industrial waste gas
industriavløpsvann	industrial waste water
tidligere industriområde	industrial wasteland
industriell arealbruksrestriksjon	industrial zoning
industriutbygging	industrialisation
industri	industry
inert avfall	inert waste
inertisering	inertisation
småbarn	infant
barnedødelighet	infant mortality
infeksjon	infection
infeksjonssykdom	infectious disease
skadedyrangrep på avling	infestation of crops
skadedyrangrep på mat	infestation of food
infiltrasjon	infiltration
brennbart materiale	inflammable substance
tilsig	inflow
informasjon	info ; information
uformell forhandling	informal negotiation
informatikk	informatics ; computer science ; information science
informasjonssenter	information centre
informasjonsavdeling	information clearing-house
informasjonsutveksling	information exchange
informasjonsinfrastruktur	information infrastructure
informasjonspakke	information kit
informasjonsnettverk	information network
informasjonsbehandling	information processing
informasjonstjeneste	information service
informasjonskilde	information source
informasjonssystem	information system
informasjonsteknologi	information technology ; IT
IT-industri	information technology industry
informasjonsoverføring	information transfer
krenkelse	infraction
infrarød stråling	infrared radiation
infralyd	infrasound
infrastruktur	infrastructure
innbygger	inhabitant
begynneropplæring	initial training
skade	injury
blekk	ink
innlandsfiske	inland fishery
innsjøfart	inland navigation
innlandsvann	inland water
innenlands vannveistransport	inland waterways transport
innovasjon	innovation
uorganisk kjemi	inorganic chemistry
kunstgjødsel	inorganic fertiliser
uorganisk forurensende stoff	inorganic pollutant
uorganisk stoff	inorganic substance
insekt	insect
insektmiddel	insecticide
insekteter	insectivore
uoppløselig stoff	insoluble substance
inspeksjon	inspection
dokumentgjennomgang	inspection of records
inspeksjonstjeneste	inspection service
anleggsoptimering	installation optimisation
godkjenningkrav til anlegg	installation requiring approval
restaurering av installasjoner	installation restoration
institusjonell aktivitet	institutional activity
institusjonsstruktur	institutional structure
institusjonalisering	institutionalisation
musikkinstrument	instrument ; musical instrument
instrumentproduksjon	instrument manufacture
instrumentering	instrumentation
isolasjon	insulation
forsikring	insurance
forsikringsvirksomhet	insurance business
forsikringsdekning	insurance coverage
komplett naturreservat	integral natural reserve
integrert miljøvernteknologi	integrated environmental protection technology
integrert forvaltning	integrated management
integrert bekjemping	integrated pest control
integrert forurensningsbekjemping	integrated pollution control
intensivt husdyrbruk	intensive animal husbandry
intensivt jordbruk	intensive farming
lånesamarbeid mellom bibliotek	inter-library loan
bekjempingsmiddelinteraksjon	interaction of pesticides
utveksling av elektroniske data	interchange of electronic data
tverrfaglig forskning	interdisciplinary research
rente	interest
interessegruppe	interest group
delavgjørelse	interim decision
ringprøving	interlaboratory comparison
innsatsvare	intermediate goods
periodisk støy	intermittent noise
det indre europeiske markedet	internal European market
indre migrasjon	internal migration
internalisering av eksterne kostnader	internalisation of external costs
internasjonal avtale	international agreement
internasjonal hjelp	international assistance
internasjonal balanse	international balance
internasjonalt samarbeid	international co-operation
internasjonal konkurransedyktighet	international competitiveness
internasjonal konflikt	international conflict
internasjonal konvensjon	international convention
internasjonal fordeling	international distribution
internasjonal arbeidsdeling	international division of labour
internasjonal økonomiregulerende lov	international economic law
internasjonale miljøforhold	international environmental relations
internasjonal harmonisering	international harmonisation
folkerett	international law
internasjonal organisasjon	international organisation
internasjonal politikk	international politics
internasjonalt forhold	international relations
internasjonal sikkerhet	international safety
internasjonal standardisering	international standardisation
internasjonal handel	international trade
internasjonal sammenligning	international transaction
internasjonalt vassdrag	international watercourse
økosystem av internasjonal betydning	internationally important ecosystem
søketjeneste via Internettet	internet search service
tjenesteyter for Internettet	internet service provider ; ISP ; Internet access provider ; Internet service provider
interpolering	interpolation
tolkningsmetode	interpretation method
tidevannssone	intertidal zone
inngrepsfond	intervention fund
natur- og landskapsinngrep	intervention in nature and landscape
inngrep på land	intervention on land
forgiftning	intoxication
