Chinese	﻿English
过程 [guò chéng], 进程 [jìn chéng]	process
大小 [dà xiǎo], 尺寸 [chǐ cun]	size
声音 [shēng yīn]	sound
蒸汽 [zhēng qì]	steam
力 [lì]	strength
时间 [shí jiān]	time
计量单位 [jì liàng dān wèi]	unit
重力 [zhòng lì]	weight
男朋友 [nán péng you]	boyfriend
约会 [yuē huì]	date
女朋友 [nǚ péng you]	girlfriend
客人 [kè rén]	guest
亲爱的 [qīn ài de]	honey
吻 [wěn]	kiss
聚会 [jù huì], 派对 [pài duì]	party
性行为 [xìng xíng wéi], 做爱 [zuò ài]	sex
微笑 [wēi xiào]	smile
惊奇 [jīng qí], 诧异 [chà yì]	surprise
拜访 [bài fǎng], 参观 [cān guān]	visit
生物学 [shēng wù xué]	biology
原因 [yuán yīn]	cause
化学 [huà xué]	chemistry
比较 [bǐ jiào]	comparison
结果 [jié guǒ]	consequence
学科 [xué kē]	discipline
发现 [fā xiàn]	discovery
发现 [fā xiàn]	discovery
事件	event
证据 [zhèng jù]	evidence
例子 [lì zi]	example
事实 [shì shí]	fact
问题 [wèn tí]	issue
内核	kernel
方法 [fāng fǎ]	method
时期 [shí qī]	phase
过程	procedure
生产	production
程序	program
项目 [xiàng mù]	project
范围	range
研究 [yán jiū]	research
调查 [diào chá]	research
科学 [kē xué]	science
社会 [shè huì]	society
系统 [xì tǒng]	system
科技 [kē jì], 工艺 [gōng yì]	technology
理论 [lǐ lùn]	theory
趋势 [qū shì]	trend
问题 [wèn tí]	trouble
用户 [yòng hù]	user
军队 [jūn duì]	army
军事基地 [jūn shì jī dì]	base
俱乐部 [jù lè bù]	club
陪伴 [péi bàn]	company
竞争 [jìng zhēng], 竞赛 [jìng sài]	contest
国家 [guó jiā]	country
法院 [fǎ yuàn]	court
犯罪 [fàn zuì]	crime
文明 [wén míng]	culture
民主共和国	democracy
统治 [tǒng zhì]	dominion
选举 [xuǎn jǔ]	election
存在 [cún zài]	existence
女性 [nǚ xìng]	female
政府 [zhèng fǔ]	government
历史 [lì shǐ]	history
个体 [gè tǐ]	individual
机构 [jī gòu]	institution
国王 [guó wáng]	king
男性 [nán xìng]	male
成员 [chéng yuán]	member
国民 [guó mín]	nation
新闻 [xīn wén]	news
噪音 [zào yīn]	noise
命令 [mìng lìng]	order
组织 [zǔ zhī], 机构 [jī gòu]	organization
通行证 [tōng xíng zhèng], 许可证 [xǔ kě zhèng]	pass
护照 [hù zhào]	passport
和平 [hé píng]	peace
人群 [rén qún], 群体 [qún tǐ]	people
警方 [jǐng fāng], 警察机关	police
政策 [zhèng cè]	policy
人口 [rén kǒu]	population
人民 [rén mín]	public
惩罚 [chéng fá]	punishment
信仰 [xìn yǎng]	religion
宗教信仰	religion
政区	state
标题 [biāo tí]	title
联合 [lián hé]	union
战争 [zhàn zhēng]	war
意志 [yì zhì]	will
遗嘱 [yí zhǔ]	will
奖品	award
球 [qiú]	ball
棒球 [bàng qiú]	baseball
自行车 [zì xíng chē]	bike
冠军 [guàn jūn]	championship
竞争对手	competitor
奖杯	cup
足球 [zú qiú]	football
比赛 [bǐ sài], 游戏 [yóu xì]	game
球门 [qiú mén]	goal
目的地 [mù dì dì]	goal
黄金 [huáng jīn]	gold
高尔夫球 [gāo ěr fū qiú]	golf
竞赛 [jìng sài], 比赛 [bǐ sài]	match
参赛者 [cān sài zhě]	player
记录 [jì lù]	record
银 [yín]	silver
网球 [wǎng qiú]	tennis
投 [tóu], 扔 [rēng]	throw
