مَحِيض (maḥīḍ)‎, Noun
مُخْرِج (muḵrij)‎, Noun
مَدَآئِن (madaʾāʾin)‎, Noun
مَّدْحُور (mmadḥūr)‎, Noun
مُّدْخَل (mmudḵal)‎, Noun
مِّدْرَار (mmidrār)‎, Noun
مَذْمُوم (maḏmūm)‎, Noun
مُرْسَىٰ (mursā)‎, Noun
مِزَاج (mizāj)‎, Noun
مُّسْتَقِرّ (mmustaqirr)‎, Noun
مُسَخَّرَٰت (musaḵḵarāt)‎, Noun
مُسْرِف (musrif)‎, Adjective
مَسْطُور (masṭūr)‎, Noun
مُّسَلَّمَة (mmusallama)‎, Adjective
مَّسْنُون (mmasnūn)‎, Noun
مَشْحُون (mašḥūn)‎, Noun
مَّشْرَب (mmašrab)‎, Noun
مُشْرِكَٰت (mušrikāt)‎, Noun
مَشْهُود (mašhūd)‎, Noun
مَشْـَٔمَة‎, Noun
مُصْفَرّ (muṣfarr)‎, Noun
مُصَلِّين (muṣallīn)‎, Noun
مَضَاجِع (maḍājiʿ)‎, Noun
مُضْغَة (muḍḡa)‎, Noun
مُّضِلّ (mmuḍill)‎, Noun
مُعَٰجِزِين (muʿājizīn)‎, Noun
مَعْذِرَة (maʿḏira)‎, Noun
مَعْشَر (maʿšar)‎, Noun
مَعِيشَة (maʿīša)‎, Noun
مَّعِين (mmaʿīn)‎, Noun
مَّغْرَم (mmaḡram)‎, Noun
مَفَاتِح (mafātiḥ)‎, Noun
مُقَام (muqām)‎, Noun
مِقْدَار (miqdār)‎, Noun
مُقْسِطِين (muqsiṭīn)‎, Noun
مَّكْنُون (mmaknūn)‎, Noun
مَّكِين (mmakīn)‎, Adjective
مَّلْجَإ (mmaljaʾ)‎, Noun
مُّلْقُون (mmulqūn)‎, Noun
مَمَات (mamāt)‎, Noun
مُنتَقِمُون‎, Noun
مُنتَهَىٰ‎, Noun
مُنقَلِبُون‎, Noun
مُنكِرُون‎, Noun
مُّهْتَد (mmuhtad)‎, Noun
مُهْطِعِين (muhṭiʿīn)‎, Noun
مُهْل (muhl)‎, Noun
مَّهِين (mmahīn)‎, Adjective
مَّوَاضِع (mmawāḍiʿ)‎, Noun
مَوْتَت (mawtat)‎, Noun
مُؤْتَفِكَة (muʾtafika)‎, Noun
مَّوْثِق (mmawṯiq)‎, Noun
مَوْلُود (mawlūd)‎, Noun
مَيْسِر (maysir)‎, Noun
مَيْمَنَة (maymana)‎, Noun
