هَيْـَٔة‎, Noun
سِّلْم (ssilm)‎, Proper noun
سَمّ (samm)‎, Noun
سَمْك (samk)‎, Noun
سَنَا (sanā)‎, Noun
سُنبُل‎, Noun
سِنِين (sinīn)‎, Time adverb
سِنَة (sina)‎, Noun
سُهُول (suhūl)‎, Noun
سَوَآء (sawaʾāʾ)‎, Adjective
سُوَاع (suwāʿ)‎, Proper noun
سُؤَال (suʾāl)‎, Noun
سُّوٓأَىٰٓ‎, Noun
سُود (sūd)‎, Adjective
سُور (sūr)‎, Noun
سَوْط (sawṭ)‎, Noun
سُؤْل (suʾl)‎, Noun
سُوًى (suwan)‎, Adjective
سِيرَت (sīrat)‎, Noun
سَيْنَآء (saynaʾāʾ)‎, Proper noun
سِينِين (sīnīn)‎, Proper noun
سَيِّئ (sayyiʾ)‎, Noun
سَيِّئَة (sayyiʾa)‎, Adjective
شَٰخِصَة (šāḵiṣa)‎, Noun
شَٰطِئ (šāṭiʾ)‎, Noun
شَاكِلَت (šākilat)‎, Noun
شَٰمِخَٰت (šāmiḵāt)‎, Adjective
شَانِئ (šāniʾ)‎, Noun
شِّتَآء (ššitaʾāʾ)‎, Noun
شَتَّىٰ (šattā)‎, Adjective
شُحُوم (šuḥūm)‎, Noun
شُرْب (šurb)‎, Noun
شِرْذِمَة (širḏima)‎, Noun
شَرَر (šarar)‎, Noun
شُرَّع (šurraʿ)‎, Noun
شِرْعَة (širʿa)‎, Noun
شَرْقِيّ (šarqiyy)‎, Adjective
شَرْقِيَّة (šarqiyya)‎, Noun
شَرِيعَة (šarīʿa)‎, Noun
شَطْـٔ‎, Noun
شُعَب (šuʿab)‎, Noun
شِّعْرَىٰ (ššiʿrā)‎, Proper noun
شُعُوب (šuʿūb)‎, Noun
شُغُل (šuḡul)‎, Noun
شَفَتَيْن (šafatayn)‎, Noun
شَّفْع (ššafʿ)‎, Noun
شَّفَق (ššafaq)‎, Noun
شَفِيع (šafīʿ)‎, Adjective
شِقّ (šiqq)‎, Noun
شَقّ (šaqq)‎, Noun
شِقْوَت (šiqwat)‎, Noun
شُّقَّة (ššuqqa)‎, Noun
شُكْر (šukr)‎, Noun
شَكْل (šakl)‎, Noun
شَكُور (šakūr)‎, Noun
شُهُب (šuhub)‎, Noun
شُوَاظ (šuwāẓ)‎, Noun
شَوْب (šawb)‎, Noun
شُورَىٰ (šūrā)‎, Noun
شَّوْكَة (ššawka)‎, Noun
شَّوَىٰ (ššawā)‎, Noun
شِيب (šīb)‎, Noun
شَيْب (šayb)‎, Noun
شَيْبَة (šayba)‎, Noun
شَيْخ (šayḵ)‎, Noun
شِيَة (šiya)‎, Noun
صَّآخَّة (ṣṣaʾāḵḵa)‎, Noun
صَّآفُّون (ṣṣaʾāffūn)‎, Noun
صَّٰٓئِمَٰت‎, Noun
صَّٰٓئِمِين‎, Noun
صَابِر (ṣābir)‎, Adjective
صَّٰبِرَٰت (ṣṣābirāt)‎, Noun
صَابِرَة (ṣābira)‎, Adjective
صَّٰدِقَٰت (ṣṣādiqāt)‎, Noun
صَٰرِمِين (ṣārimīn)‎, Noun
صَّٰفِنَٰت (ṣṣāfināt)‎, Noun
صَال (ṣāl)‎, Noun
صَٰمِتُون (ṣāmitūn)‎, Noun
صَبّ (ṣabb)‎, Noun
صَبَاح (ṣabāḥ)‎, Noun
صُبْح (ṣubḥ)‎, Time adverb
صِبْغ (ṣibḡ)‎, Noun
صِحَاف (ṣiḥāf)‎, Noun
صَّخْر (ṣṣaḵr)‎, Noun
صَّدْع (ṣṣadʿ)‎, Noun
صَّدَفَيْن (ṣṣadafayn)‎, Noun
صَدُقَٰت (ṣaduqāt)‎, Noun
صُدُود (ṣudūd)‎, Noun
صَدِيد (ṣadīd)‎, Adjective
صِدِّيقَة (ṣiddīqa)‎, Noun
صِرّ (ṣirr)‎, Noun
صَرْعَىٰ (ṣarʿā)‎, Noun
صَرْف (ṣarf)‎, Noun
صَرِيخ (ṣarīḵ)‎, Noun
صَّرِيم (ṣṣarīm)‎, Noun
صَرَّة (ṣarra)‎, Noun
صَعَد (ṣaʿad)‎, Adjective
صَعِق (ṣaʿiq)‎, Noun
صَعُود (ṣaʿūd)‎, Noun
صَغَار (ṣaḡār)‎, Noun
صَغِيرَة (ṣaḡīra)‎, Adjective
صَغِيرَة (ṣaḡīra)‎, Noun
صَّفَا (ṣṣafā)‎, Proper noun
صُفْر (ṣufr)‎, Adjective
صَفْرَآء (ṣafraʾāʾ)‎, Adjective
صَفْصَف (ṣafṣaf)‎, Adjective
صَفْوَان (ṣafwān)‎, Noun
صَلْد (ṣald)‎, Noun
صِلِيّ (ṣiliyy)‎, Noun
صَّمَد (ṣṣamad)‎, Noun
صَنْعَة (ṣanʿa)‎, Noun
صِهْر (ṣihr)‎, Noun
صَوَآفّ (ṣawaʾāff)‎, Noun
صَوَاب (ṣawāb)‎, Noun
صُوَاع (ṣuwāʿ)‎, Noun
صَوَٰمِع (ṣawāmiʿ)‎, Noun
صَوْم (ṣawm)‎, Noun
صَيَاصِي (ṣayāṣī)‎, Noun
صَيِّب (ṣayyib)‎, Noun
صَّيْف (ṣṣayf)‎, Noun
ضَآئِق (ḍaʾāʾiq)‎, Noun
ضَاحِك (ḍāḥik)‎, Noun
ضَاحِكَة (ḍāḥika)‎, Noun
ضَامِر (ḍāmir)‎, Noun
ضَّأْن (ḍḍaʾn)‎, Noun
ضَبْح (ḍabḥ)‎, Noun
ضِدّ (ḍidd)‎, Noun
ضَّرَر (ḍḍarar)‎, Noun
ضَرِيع (ḍarīʿ)‎, Noun
ضِعَٰف (ḍiʿāf)‎, Adjective
ضَعِيف (ḍaʿīf)‎, Adjective
ضَّفَادِع (ḍḍafādiʿ)‎, Noun
ضَنك‎, Adjective
ضَنِين (ḍanīn)‎, Noun
ضَيْر (ḍayr)‎, Noun
ضِيزَىٰٓ‎, Adjective
ضَيِّق (ḍayyiq)‎, Noun
ضَيِّق (ḍayyiq)‎, Adjective
طَّآمَّة (ṭṭaʾāmma)‎, Noun
طَآئِعِين (ṭaʾāʾiʿīn)‎, Noun
طَآئِفَة (ṭaʾāʾifa)‎, Adjective
طَاعِم (ṭāʿim)‎, Noun
طَّاغِيَة (ṭṭāḡiya)‎, Noun
طَّالِب (ṭṭālib)‎, Noun
طَعْم (ṭaʿm)‎, Noun
طَعْن (ṭaʿn)‎, Noun
طَغْوَىٰ (ṭaḡwā)‎, Noun
طَلّ (ṭall)‎, Noun
طَلَب (ṭalab)‎, Noun
طَلْح (ṭalḥ)‎, Noun
طَوَّٰفُون (ṭawwāfūn)‎, Noun
طُوبَىٰ (ṭūbā)‎, Noun
طَّوْد (ṭṭawd)‎, Noun
طُول (ṭūl)‎, Noun
طَىّ (ṭāā)‎, Noun
ظَّآنِّين (ẓẓaʾānnīn)‎, Adjective
ظَعْن (ẓaʿn)‎, Noun
ظُفُر (ẓufur)‎, Noun
ظُلُمَٰت (ẓulumāt)‎, Adjective
ظَمَأ (ẓamaʾ)‎, Noun
ظَّمْـَٔان‎, Noun
ظِهْرِيّ (ẓihriyy)‎, Noun
ظَّهِيرَة (ẓẓahīra)‎, Noun
عَآدِّين (ʿaʾāddīn)‎, Noun
عَآئِدُون (ʿaʾāʾidūn)‎, Noun
عَآئِل (ʿaʾāʾil)‎, Noun
عَابِد (ʿābid)‎, Adjective
عَٰبِدَٰت (ʿābidāt)‎, Adjective
عَابِرِى‎, Noun
عَاتِيَة (ʿātiya)‎, Adjective
عَٰدِيَٰت (ʿādiyāt)‎, Noun
عَاصِف (ʿāṣif)‎, Adjective
عَاصِف (ʿāṣif)‎, Noun
عَٰصِفَٰت (ʿāṣifāt)‎, Noun
عَاصِفَة (ʿāṣifa)‎, Noun
عَافِين (ʿāfīn)‎, Noun
عَال (ʿāl)‎, Noun
عَالِين (ʿālīn)‎, Adjective
عَالِين (ʿālīn)‎, Noun
عَامِلَة (ʿāmila)‎, Adjective
عَبَث (ʿabaṯ)‎, Noun
عَبْقَرِىّ‎, Noun
عَبُوس (ʿabūs)‎, Adjective
عُتُلّ (ʿutull)‎, Adjective
عَتِيد (ʿatīd)‎, Adjective
عَتِيد (ʿatīd)‎, Noun
عُجَاب (ʿujāb)‎, Adjective
عَجَل (ʿajal)‎, Noun
عَجُول (ʿajūl)‎, Adjective
عَدَد (ʿadad)‎, Adjective
عَدَس (ʿadas)‎, Noun
عَدُوّ (ʿaduww)‎, Adjective
عُدَّة (ʿudda)‎, Noun
عُرُب (ʿurub)‎, Adjective
عَرَبِيّ (ʿarabiyy)‎, Noun
عُرْجُون (ʿurjūn)‎, Noun
عُرْضَة (ʿurḍa)‎, Noun
عَرَفَٰت (ʿarafāt)‎, Proper noun
عَرِم (ʿarim)‎, Noun
عَرِيض (ʿarīḍ)‎, Adjective
عِزّ (ʿizz)‎, Noun
عُزَيْر (ʿuzayr)‎, Proper noun
عِزِين (ʿizīn)‎, Noun
عَسِر (ʿasir)‎, Adjective
عُسْرَىٰ (ʿusrā)‎, Noun
عَسَل (ʿasal)‎, Noun
عِشَار (ʿišār)‎, Noun
عَشْر (ʿašr)‎, Time adverb
عَشْر (ʿašr)‎, Adjective
عِشْرُون (ʿišrūn)‎, Noun
عَشِير (ʿašīr)‎, Noun
عَشِيَّة (ʿašiyya)‎, Noun
عَصْر (ʿaṣr)‎, Noun
عَصْف (ʿaṣf)‎, Noun
عِصَم (ʿiṣam)‎, Noun
عَصِيّ (ʿaṣiyy)‎, Adjective
عَصِيّ (ʿaṣiyy)‎, Noun
عِصْيَان (ʿiṣyān)‎, Noun
عَصِيب (ʿaṣīb)‎, Adjective
عِضِين (ʿiḍīn)‎, Noun
عِطْف (ʿiṭf)‎, Noun
عِفْرِيت (ʿifrīt)‎, Noun
عُقْب (ʿuqb)‎, Noun
عُقُود (ʿuqūd)‎, Noun
عَقِيم (ʿaqīm)‎, Noun
عَلَٰمَٰت (ʿalāmāt)‎, Noun
عَلَق (ʿalaq)‎, Noun
عُلْيَا (ʿulyā)‎, Noun
عِمَاد (ʿimād)‎, Noun
عِمَارَة (ʿimāra)‎, Noun
عَمْر (ʿamr)‎, Noun
عَمُون (ʿamūn)‎, Adjective
عَمُون (ʿamūn)‎, Noun
عَمِيق (ʿamīq)‎, Adjective
عَنَت (ʿanat)‎, Noun
عَنِيد (ʿanīd)‎, Noun
عَوَان (ʿawān)‎, Noun
عِيد (ʿīd)‎, Noun
عَيْلَة (ʿayla)‎, Noun
عِين (ʿīn)‎, Adjective
غَآئِبَة (ḡaʾāʾiba)‎, Noun
غَآئِظُون (ḡaʾāʾiẓūn)‎, Noun
غَار (ḡār)‎, Noun
غَٰرِمِين (ḡārimīn)‎, Noun
غَاسِق (ḡāsiq)‎, Noun
غَٰفِلَٰت (ḡāfilāt)‎, Adjective
غَبَرَة (ḡabara)‎, Noun
غَدَآء (ḡadaʾāʾ)‎, Noun
غَدَق (ḡadaq)‎, Adjective
غَرَابِيب (ḡarābīb)‎, Noun
غَرَام (ḡarām)‎, Noun
غَرْبِىّ‎, Adjective
غَرْبِيَّة (ḡarbiyya)‎, Noun
غُرُفَٰت (ḡurufāt)‎, Noun
غَرْق (ḡarq)‎, Noun
غَرَق (ḡaraq)‎, Noun
غَزْل (ḡazl)‎, Noun
غُزًّى (ḡuzzan)‎, Noun
غَسَق (ḡasaq)‎, Noun
غِسْلِين (ḡislīn)‎, Noun
غَصْب (ḡaṣb)‎, Noun
غُصَّة (ḡuṣṣa)‎, Noun
غُفْرَان (ḡufrān)‎, Noun
غَلَب (ḡalab)‎, Noun
غُلْب (ḡulb)‎, Adjective
غِلْظَة (ḡilẓa)‎, Noun
غَلْى‎, Noun
غَلِيظ (ḡalīẓ)‎, Noun
غَمَرَٰت (ḡamarāt)‎, Noun
غُمَّة (ḡumma)‎, Noun
غَوَّاص (ḡawwāṣ)‎, Noun
غَوْل (ḡawl)‎, Noun
غَوِىّ‎, Noun
فَا (fā)‎, Noun
فَٰتِحِين (fātiḥīn)‎, Noun
فَٰتِنِين (fātinīn)‎, Noun
فَاجِر (fājir)‎, Noun
فَارِض (fāriḍ)‎, Adjective
فَٰرِغ (fāriḡ)‎, Noun
فَٰرِقَٰت (fāriqāt)‎, Noun
فَٰرِهِين (fārihīn)‎, Noun
فَٰصِلِين (fāṣilīn)‎, Noun
فَاقِرَة (fāqira)‎, Noun
فَاقِع (fāqiʿ)‎, Adjective
فَان (fān)‎, Noun
فَتَّاح (fattāḥ)‎, Noun
فَتْرَة (fatra)‎, Noun
فُتُون (futūn)‎, Noun
فَتًى (fatan)‎, Noun
فَتَيَان (fatayān)‎, Noun
فَجّ (fajj)‎, Adjective
فُجَّار (fujjār)‎, Adjective
فُجُور (fujūr)‎, Noun
فَجْوَة (fajwa)‎, Noun
فَخَّار (faḵḵār)‎, Noun
فِدَآء (fidaʾāʾ)‎, Noun
فَرَاش (farāš)‎, Noun
فَرْث (farṯ)‎, Noun
فَرْش (farš)‎, Noun
فُرُط (furuṭ)‎, Noun
فَرْع (farʿ)‎, Noun
فَرْق (farq)‎, Noun
فِرْق (firq)‎, Noun
فِرْقَة (firqa)‎, Noun
فَرِيّ (fariyy)‎, Adjective
فَصْل (faṣl)‎, Adjective
فَصِيلَت (faṣīlat)‎, Noun
فِطْرَت (fiṭrat)‎, Noun
فُطُور (fuṭūr)‎, Noun
فَظّ (faẓẓ)‎, Noun
فِعْل (fiʿl)‎, Noun
فَعْلَت (faʿlat)‎, Noun
فَقْر (faqr)‎, Noun
فَكّ (fakk)‎, Noun
فَكِهِين (fakihīn)‎, Noun
فُلَان (fulān)‎, Noun
فَلَق (falaq)‎, Noun
فَوَاق (fawāq)‎, Noun
فَوْت (fawt)‎, Noun
فَوْر (fawr)‎, Noun
فُوم (fūm)‎, Noun
فِئَت (fiʾat)‎, Noun
فِيل (fīl)‎, Noun
قَآئِلُون (qaʾāʾilūn)‎, Noun
قَآئِمَة (qaʾāʾima)‎, Adjective
قَاب (qāb)‎, Noun
قَابِل (qābil)‎, Noun
قَاصِد (qāṣid)‎, Noun
قَاصِف (qāṣif)‎, Noun
قَاض (qāḍ)‎, Noun
قَاضِيَة (qāḍiya)‎, Noun
قَاطِعَة (qāṭiʿa)‎, Noun
قَاع (qāʿ)‎, Noun
قَالِين (qālīn)‎, Noun
قَٰنِتَٰت (qānitāt)‎, Adjective
قَٰنِطِين (qāniṭīn)‎, Noun
قَانِع (qāniʿ)‎, Noun
قَبَآئِل (qabaʾāʾil)‎, Noun
قَبْض (qabḍ)‎, Noun
قَبُول (qabūl)‎, Noun
قَتَر (qatar)‎, Noun
قَتَرَة (qatara)‎, Noun
قَتْلَى (qatlā)‎, Noun
قَتُور (qatūr)‎, Adjective
قِثَّآئ (qiṯṯaʾāʾ)‎, Noun
قَدْح (qadḥ)‎, Noun
قِدَد (qidad)‎, Adjective
قُدُور (qudūr)‎, Noun
قَدِير (qadīr)‎, Adjective
قُرُبَٰت (qurubāt)‎, Noun
قُرْبَة (qurba)‎, Noun
