English	Norwegian
event horizon	hendelseshorisont
every	hver
everybody	alle
everything	alt
evil	ond; slem
example	eksempel; døme
exclamation mark	utropstegn (n)
existence	eksistens (m); tilværelse (m)
expression	uttrykk (n); (m)
eyelash	øyenvipper
eyelid	øyelokk (n)
face	ansikt (n); fjes (n)
factory	fabrikk (m)
fairy	fe
fairy tale	eventyr (n)
falcon	falk (m)
fall	falle
fallow deer	dåhjort; dådyr
family	familie (m)
fan	vifte
far	langt borte; fjern
farm	gård (m); gard (m); bondegård (m)
farmer	bonde (m); gårdbruker (m)
fart	fise; fjerte; proppe; prompe; slippe en vind
fascism	fasisme (m); fascisme (m)
fashion	mote (m)
fast	faste (m)
fat	fett (n)
father	far; pappa; fader
federation	føderasjon
female	kvinne
fermium	fermium
ferret	frett
ferry	ferje
fever	feber (m)
field	åker (m) 
fifteen	femten
fifth	femte 
fifty	femti
fig	fiken (m)
fight	slåss; kjempe
fighter plane	jagerfly
find	finne
finger	finger (m)
finish	fullføre; avslutte
fir	edelgran
fire	ovn (m)
first	først
fish	fiske
fist	neve (m); knyttneve (m)
five	fem
five hundred	fem hundre
flag	flagg (n)
flea	loppe (f)
floor	(n)
flour	mjøl
flower	blomst (m)
fluorine	fluor
flute	fløyte (f)
fly	fly
foal	føll (n); fole (m)
fog	tåke; skodde
follow	følge
food	mat (m); føde (m); næring (m)
fool	tosk (m); dust (m)
foot	pote; labb
football	amerikansk fotball
for	for; fordi
for example	for eksempel; til dømes
forefinger	pekefinger (m)
foreign	utenlandsk
foreigner	utlending (m)
forest	skog (m)
forget	glemme
fortress	festning
forty	førti
fountain	fontene; springvann
four	fire
fourteen	fjorten
fox	rev (m)
francium	francium
free	åpen; fri
freedom	fridom
freedom of speech	ytringsfrihet (m)
friend	venn (m); venninne (f)
friendship	vennskap
frog	frosk (m)
from	fra
fruit	frukt (m)
fuck	pule; knulle; jokke
fuck you	faen ta deg; føkk deg
full	full
function	funksjon (m)
funeral	begravelse (m); jordfestelse (m)
fungus	sopp
funnel	trakt
furniture	møbel
future	framtid (m)
gadolinium	gadolinium
galaxy	galakse (m)
gall bladder	galleblæren
gallium	gallium
game	spill 
garbage	avfall (n); søppel (n); boss (n)
garden	hage (m); have (m)
gasoline	bensin
gay	bøg (m)
genocide	folkemord
geography	geografi
geometry	geometri (f)
germanium	germanium
geyser	geysir
ghost	spøkelse (n); gjenferd; gjenganger; fantom (n); ånd; dauding; skrømt; gespenster; draug; sjel
ginger	ingefær (m)
give	gi 
glacier	isbre (m)
global warming	global oppvarming
glove	vante (m); hanske (m)
go	reise; fare; dra
goalkeeper	målvakt (m)
goblin	nisse
god	gud (m)
gold	gull (n)
golden eagle	kongeørn
goldfish	gullfisk
golf	golf
gondola	gondol
gonorrhea	gonoré
good	god; godt
good day	god dag
good luck	lykke til
good night	god natt
goodbye	adjø; farvel; avskjed; hadet bra; hadet; ses; snakkes; hei 
google	google; googla 
goose	gås
gooseberry	stikkelsbær (n)
goshawk	hønsehauk
government	regjering
grammar	grammatikk
grandchild	barnebarn
granddaughter	sønnedatter 
grandfather	bestefar; morfar 
grandmother	bestemor; mormor (m); farmor (m) 
grandson	sønnesønn 
grape	drue (m)
grass	gress (n)
grasshopper	gresshoppe (f)
graveyard	kirkegård (m); gravlund; leggplass
great spotted woodpecker	flaggspett
great tit	kjøttmeis; talgmeis; talgokse (m)
green	grønn
green tea	grønn te
green woodpecker	grønnspett
grey	grå
grey heron	gråhegre
greylag goose	grågås
griffon vulture	gåsegribb
guava	guava
guilt	skyld
guinea fowl	perlehøne
guinea pig	marsvin (n)
guitar	gitar
gull	måke (f)
gypsy	sigøyner (m); sigøynerske (f)
hafnium	hafnium
hail	hagl (n)
hair	hår
hajj	hadj (m) 
hammock	hengekøye (f)
hamster	hamster (m)
hand	hand; hånd (m)
hangover	bakrus (m)
happen	foregå; inntreffe; skje
happiness	lykke (m); glede (m)
happy	heldig
happy birthday	gratulerer med dagen
hard drive	platelager
hare	hare (m)
hashish	hasj
hassium	hassium
hat	hatt (m); lue
hate	hate
hatred	hat (n)
have	ha
hay	høy (n)
he	han
head	leder (m); sjef (m)
health	helse
hear	høre
heart	hjerter (n)
heaven	himmel (m); sky (m)
hedgehog	piggsvin (n); pinnsvin (n)
heel	hel (m)
helicopter	helikopter (n)
helium	helium
hell	helvete (n)
hello	hallo
help	hjelpe
hemp	hamp
hen	høne
her	henne 
here	hit
hero	helt (m)
heron	hegre; heire (m)
hi	hei
hill	ås (m)
his	hans; sin 
history	historie (f)
hit	slå
holmium	holmium
home	hjem (n); heim (n)
homophobia	homofobi
honey	honning (m)
hoof	hov (m)
hope	håpe
hornet	geithams (m)
horse	hest (m)
horseshoe	hestesko (m)
hospital	sykehus (n)
hot	varm; het
hotel	hotell
hour	time
house	hus (n)
how are you	hvordan har du det
how much does it cost	hvor mye koster det?; hva koster det?
hug	klem (m)
human	menneske
human being	menneske (n)
human rights	menneskerettigheter
humanism	humanisme
hundred	hundre
hungry	sulten
hunt	jakt
hurricane	orkan
husband	ektemann; husbond
hydrate	hydrat (n)
hydrogen	hydrogen; vannstoff
hyena	hyene (m)
ibex	steinbukk
ice cream	iskrem (m); is (m)
iceberg	isfjell; isberg
icebreaker	isbryter
idea	idé (m)
idiom	idiom
idiot	idiot (m)
if	hvis; om; når
igneous rock	magmatisk bergart
ill	syk
immigration	innvandring
important	alvorlig; betydelig; viktig
in	i
index	innhold (m); indeks (m); innholdsfortegnelse (m)
indium	indium
infection	infeksjon (m)
inflation	inflasjon
information	informasjon (m)
injury	skade (m)
ink	blekk (n)
insanity	sinnssykdom
insect	insekt (n)
insulin	insulin
intelligence	intelligens (m)
interest	interesse (m)
interesting	interessant
internal combustion engine	forbrenningsmotor
interpreter	tolk
intestine	tarm (m); tarmer
iodine	jod
iridium	iridium
iron	strøk (f)
is	er
island	øy (m)
it	det
ivory	elfenben
jackdaw	kaie
jay	nøtteskrike 
jellyfish	manet
jihad	jihad (m)
joule	joule
journalism	journalistikk
journey	reise
judge	dommer (m)
juice	juice; jus
jump	hoppe
juniper	einer (m)
kangaroo	kenguru (m)
kestrel	falk; hauk
key	nøkkel (m)
keyboard	tastatur (n)
kill	drepe
king	konge (m)
kingdom	kongerike (n); kongedømme (n); kongeriket
kiss	kysse
kitchen	kjøkken (n)
kitten	kattunge (m)
knee	kne (n)
knife	kniv (m)
knight	ridder
know	kjenne
knowledge	kunnskap
koala	koala (m)
krypton	krypton
ladybird	marifly; marihøne
ladybug	marifly; marihøne
lamb	lam (n)
land	land (n)
language	språk 
lanthanum	lantan
larch	lerk
large	stor
laser	laser (m)
last	sist
laugh	latter (m); lått (m)
lava	lava
law	lov (m)
lawrencium	lawrencium
