Norwegian	﻿English
søt	cute
pappa	dad
daglig	daily
løvetann (m)	dandelion
flass (n)	dandruff
farlig	dangerous
mørk materie	dark matter
mørke (n)	darkness
stevnemøte (n); date (m)	date
daddelpalme	date palm
dativ (m)	dative case
datter	daughter
dag (m)	day
døv	deaf
kjær	dear
død (m)	death
tiår (n); årti (n); dekade (m); decennium (n); desennium (n)	decade
hjort	deer
grad (m)	degree
demokrati (n); folkestyre (n)	democracy
demon	demon
tannlege	dentist
ørken	desert
dessert	dessert
djevel (m)	devil
dialekt (m)	dialect
diaré (m)	diarrhea
dagbok (m)	diary
kuk; pikk (m)	dick
terning	die
vanskelig	difficult
siffer	digit
dinosaur (m); dinosaurus (m)	dinosaur
skitten	dirty
diskusjon; debatt (m)	discussion
sjukdom (m)	disease
skillsmisse (m)	divorce
gjøre	do
Snakker du engelsk?	do you speak English
snakker du norsk 	do you speak something
dobra	dobra
hund (m); bikkje (f)	dog
dukke	doll
dollar (m)	dollar
delfin (m)	dolphin
donasjon	donation
esel (n)	donkey
dør (m)	door
syvsover; sovemus	dormouse
tvil (m)	doubt
smultring (m)	doughnut
due (m)	dove
ned	down
drage (m); lindorm; linnorm; sjøslange	dragon
øyenstikker (m)	dragonfly
tegne	draw
drøm (m)	dream
kle	dress
drikke	drink
dromedar	dromedary
full	drunk
tørr	dry
dubnium	dubnium
and (f)	duck
hertug	duke
støv (n); dust (f)	dust
plikt (m)	duty
dinamitt (n)	dynamite
dysleksi	dyslexia
dysprosium	dysprosium
e-post (m); e-brev (n)	e
f.eks.; t.d. 	e.g.
alle; alt; enhver; hver; hver enkelt	each
ørn (m)	eagle
hubro	eagle owl
øre	ear
jord (m)	earth
jordskjelv (n)	earthquake
øst; aust	east
lett (m); lette; enkel (m); enkelt (n); enkle	easy
ekko (n)	echo
øko-	eco
økologi (m)	ecology
økonomi	economics
økosystem (n)	ecosystem
spiselig	edible
redigere	edit
utdanning	education
ål (m)	eel
egg (n)	egg
aubergine; eggfrukt	eggplant
åtte	eight
atten	eighteen
åtti	eighty
einsteinium	einsteinium
ejakulasjon	ejaculation
albue	elbow
elektrisitet (m)	electricity
elektromagnetisme (m)	electromagnetism
elektron	electron
elektronikk	electronics
elefant (m)	elephant
elleve	eleven
alv (m)	elf
ambassade (m)	embassy
keiser (m)	emperor
tom	empty
encyklopedi	encyclopedia
slutte	end
fiende (m); uvenn (m)	enemy
energi	energy
motor (m)	engine
ingeniør (m)	engineer
komme inn	enter
entomologi	entomology
episenter	epicentre
epitel	epithelium
likning	equation
erbium	erbium
ereksjon (m); stå; reisning (m)	erection
røyskatt	ermine
etymologi (m) 	etymology
eukaryoter	eukaryote
euro	euro
europium	europium
eutanasi; dødshjelp	euthanasia
kveld	evening
hendelseshorisont	event horizon
hver	every
alle	everybody
alt	everything
ond; slem	evil
eksempel; døme	example
utropstegn (n)	exclamation mark
eksistens (m); tilværelse (m)	existence
uttrykk (n); (m)	expression
øyenvipper	eyelash
øyelokk (n)	eyelid
ansikt (n); fjes (n)	face
fabrikk (m)	factory
fe	fairy
eventyr (n)	fairy tale
falk (m)	falcon
falle	fall
dåhjort; dådyr	fallow deer
familie (m)	family
vifte	fan
langt borte; fjern	far
gård (m); gard (m); bondegård (m)	farm
bonde (m); gårdbruker (m)	farmer
fise; fjerte; proppe; prompe; slippe en vind	fart
fasisme (m); fascisme (m)	fascism
mote (m)	fashion
faste (m)	fast
fett (n)	fat
far; pappa; fader	father
føderasjon	federation
kvinne	female
fermium	fermium
frett	ferret
ferje	ferry
feber (m)	fever
åker (m) 	field
femten	fifteen
femte 	fifth
femti	fifty
fiken (m)	fig
slåss; kjempe	fight
jagerfly	fighter plane
finne	find
finger (m)	finger
fullføre; avslutte	finish
edelgran	fir
ovn (m)	fire
først	first
fiske	fish
neve (m); knyttneve (m)	fist
fem	five
fem hundre	five hundred
flagg (n)	flag
loppe (f)	flea
(n)	floor
mjøl	flour
blomst (m)	flower
fluor	fluorine
fløyte (f)	flute
fly	fly
føll (n); fole (m)	foal
tåke; skodde	fog
følge	follow
mat (m); føde (m); næring (m)	food
tosk (m); dust (m)	fool
pote; labb	foot
amerikansk fotball	football
for; fordi	for
for eksempel; til dømes	for example
pekefinger (m)	forefinger
utenlandsk	foreign
utlending (m)	foreigner
skog (m)	forest
glemme	forget
festning	fortress
førti	forty
fontene; springvann	fountain
fire	four
fjorten	fourteen
rev (m)	fox
francium	francium
åpen; fri	free
fridom	freedom
ytringsfrihet (m)	freedom of speech
venn (m); venninne (f)	friend
vennskap	friendship
frosk (m)	frog
fra	from
frukt (m)	fruit
pule; knulle; jokke	fuck
faen ta deg; føkk deg	fuck you
full	full
funksjon (m)	function
begravelse (m); jordfestelse (m)	funeral
sopp	fungus
trakt	funnel
møbel	furniture
framtid (m)	future
gadolinium	gadolinium
galakse (m)	galaxy
galleblæren	gall bladder
gallium	gallium
spill 	game
avfall (n); søppel (n); boss (n)	garbage
hage (m); have (m)	garden
bensin	gasoline
