小姐 (xiǎojie)
小時／小时 (xiǎoshí)
謝謝／谢谢 (xièxie)
辛苦 (xīnkǔ)
新年 (xīnnián)
新聞／新闻 (xīnwén)
信封 (xìnfēng)
星期 (xīngqī)
星期日 (xīngqīrì)
幸福 (xìngfú)
休息 (xiūxi)
需要 (xūyào)
許多／许多 (xǔduō)
學生／学生 (xuésheng)
學習／学习 (xuéxí)
學校／学校 (xuéxiào)
學院／学院 (xuéyuàn)
研究 (yánjiū)
顏色／颜色 (yánsè)
眼睛 (yǎnjīng)
演出 (yǎnchū)
宴會／宴会 (yànhuì)
樣子／样子 (yàngzi)
要求 (yāoqiú)
要是 (yàoshi)
也許／也许 (yěxǔ)
一……就…… (yī...jiù...)
一般 (yībān)
一邊……一邊……／一边……一边…… (yībiān...yībiān...)
一點兒／一点儿 (yīdiǎr)
一定 (yīdìng)
一共 (yīgòng)
一會兒／一会儿 (yīhuìr)
一塊兒／一块儿 (yīkuàir)
一起 (yīqǐ)
一切 (yīqiè)
一下兒／一下儿 (yīxiàr)
一些 (yīxiē)
一樣／一样 (yīyàng)
一直 (yīzhí)
衣服 (yīfu)
醫生／医生 (yīshēng)
醫院／医院 (yīyuàn)
已經／已经 (yǐjīng)
以後／以后 (yǐhòu)
以前 (yǐqián)
以為／以为 (yǐwéi)
椅子 (yǐzi)
藝術／艺术 (yìshù)
意見／意见 (yìjiàn)
意思 (yìsi)
意義／意义 (yìyì)
因為／因为 (yīnwèi)
音樂／音乐 (yīnyuè)
銀行／银行 (yínháng)
應該／应该 (yīnggāi)
英語／英语 (Yīngyǔ)
影響／影响 (yǐngxiǎng)
永遠／永远 (yǒngyuǎn)
尤其 (yóuqí)
郵局／邮局 (yóujú)
郵票／邮票 (yóupiào)
游泳 (yóuyǒng)
有的 (yǒude)
有名 (yǒumíng)
有時候／有时候 (yǒushíhou)
有些 (yǒuxiē)
有意思 (yǒu yìsi)
友好 (yǒuhǎo)
友誼／友谊 (yǒuyì)
愉快 (yúkuài)
語法／语法 (yǔfǎ)
語言／语言 (yǔyán)
預習／预习 (yùxí)
遇到 (yùdào)
原來／原来 (yuánlái)
原諒／原谅 (yuánliàng)
願意／愿意 (yuànyì)
月亮 (yuèliang)
月球 (yuèqiú)
運動／运动 (yùndòng)
再見／再见 (zàijiàn)
咱們／咱们 (zánmen)
早晨 (zǎochén)
早飯／早饭 (zǎofàn)
怎麼／怎么 (zěnme)
怎麼樣／怎么样 (zěnmeyàng)
怎樣／怎样 (zěnyàng)
增加 (zēngjiā)
展覽／展览 (zhǎnlǎn)
掌握 (zhǎngwò)
著急／着急 (zháojí)
照顧／照顾 (zhàogù)
照相 (zhàoxiàng)
這個／这个 (zhège)
這裡／这里 (zhèlǐ)
這麼／这么 (zhème)
這些／这些 (zhèxiē)
這樣／这样 (zhèyàng)
真正 (zhēnzhèng)
整齊／整齐 (zhěngqí)
正確／正确 (zhèngquè)
正在 (zhèngzài)
政府 (zhèngfǔ)
政治 (zhèngzhì)
知道 (zhīdào)
知識／知识 (zhīshi)
……之間／之间 (zhī jiān)
只好 (zhǐhǎo)
中間／中间 (zhōngjiān)
中文 (Zhōngwén)
中午 (zhōngwǔ)
中學／中学 (zhōngxué)
鐘頭／钟头 (zhōngtóu)
重要 (zhòngyào)
周圍／周围 (zhōuwéi)
主要 (zhǔyào)
主意 (zhǔyì)
注意 (zhùyì)
準備／准备 (zhǔnbèi)
桌子 (zhuōzi)
自己 (zìjǐ)
自行車／自行车 (zìxíngchē)
總是／总是 (zǒngshì)
足球 (zúqiú)
組織／组织 (zǔzhī)
祖國／祖国 (zǔguó)
最初 (zuìchū)
最後／最后 (zuìhòu)
最近 (zuìjìn)
昨天 (zuótiān)
作業／作业 (zuòyè)
